time,enrolled,available,waitlisted,total
2023-05-25T01:16:01,0,146,0,146
2023-05-25T01:27:37,0,146,0,146
2023-05-25T01:39:12,0,146,0,146
2023-05-25T01:50:57,0,146,0,146
2023-05-25T02:02:32,0,146,0,146
2023-05-25T02:14:08,0,146,0,146
2023-05-25T02:25:44,0,146,0,146
2023-05-25T02:37:18,0,146,0,146
2023-05-25T02:48:51,0,146,0,146
2023-05-25T03:00:24,0,146,0,146
2023-05-25T03:12:01,0,146,0,146
2023-05-25T03:24:00,0,146,0,146
2023-05-25T03:35:37,0,146,0,146
2023-05-25T03:47:13,0,146,0,146
2023-05-25T03:58:49,0,146,0,146
2023-05-25T04:18:11,0,146,0,146
2023-05-25T04:30:12,0,146,0,146
2023-05-25T04:41:49,0,146,0,146
2023-05-25T04:53:25,0,146,0,146
2023-05-25T05:05:01,0,146,0,146
2023-05-25T05:16:38,0,146,0,146
2023-05-25T05:28:14,0,146,0,146
2023-05-25T05:39:50,0,146,0,146
2023-05-25T05:51:26,0,146,0,146
2023-05-25T06:03:03,0,146,0,146
2023-05-25T06:14:39,0,146,0,146
2023-05-25T06:26:13,0,146,0,146
2023-05-25T06:37:48,0,146,0,146
2023-05-25T06:49:24,0,146,0,146
2023-05-25T07:00:59,0,146,0,146
2023-05-25T07:12:34,0,146,0,146
2023-05-25T07:24:09,0,146,0,146
2023-05-25T07:35:42,0,146,0,146
2023-05-25T07:47:20,0,146,0,146
2023-05-25T07:58:55,0,146,0,146
2023-05-25T08:10:29,0,146,0,146
2023-05-25T08:22:14,0,146,0,146
2023-05-25T08:33:48,0,146,0,146
2023-05-25T08:45:21,0,146,0,146
2023-05-25T08:56:53,0,146,0,146
2023-05-25T09:08:27,0,146,0,146
2023-05-25T09:19:59,0,146,0,146
2023-05-25T09:31:32,0,146,0,146
2023-05-25T09:43:04,0,146,0,146
2023-05-25T09:54:37,0,146,0,146
2023-05-25T10:06:11,0,146,0,146
2023-05-25T10:17:55,0,146,0,146
2023-05-25T10:29:28,0,146,0,146
2023-05-25T10:41:01,0,146,0,146
2023-05-25T10:52:44,0,146,0,146
2023-05-25T11:04:16,0,146,0,146
2023-05-25T11:15:48,0,146,0,146
2023-05-25T11:27:22,0,146,0,146
2023-05-25T11:38:54,0,146,0,146
2023-05-25T11:50:27,0,146,0,146
2023-05-25T12:02:11,0,146,0,146
2023-05-25T12:13:44,0,146,0,146
2023-05-25T12:25:17,0,146,0,146
2023-05-25T12:36:50,0,146,0,146
2023-05-25T12:48:23,0,146,0,146
2023-05-25T13:00:06,0,146,0,146
2023-05-25T13:11:39,0,146,0,146
2023-05-25T13:23:12,0,146,0,146
2023-05-25T13:34:45,0,146,0,146
2023-05-25T13:46:18,0,146,0,146
2023-05-25T13:57:51,0,146,0,146
2023-05-25T14:09:36,0,146,0,146
2023-05-25T14:21:09,0,146,0,146
2023-05-25T14:32:42,0,146,0,146
2023-05-25T14:44:15,0,146,0,146
2023-05-25T14:55:49,0,146,0,146
2023-05-25T15:07:33,0,146,0,146
2023-05-25T15:19:07,0,146,0,146
2023-05-25T15:30:42,0,146,0,146
2023-05-25T15:42:16,0,146,0,146
2023-05-25T15:53:51,0,146,0,146
2023-05-25T16:05:36,0,42,0,42
2023-05-25T16:17:11,0,0,0,0
2023-05-25T16:28:46,0,0,0,0
2023-05-25T16:40:21,0,0,0,0
2023-05-25T16:51:56,0,0,0,0
2023-05-25T17:03:33,0,0,0,0
2023-05-25T17:15:20,0,0,0,0
2023-05-25T17:26:56,0,0,0,0
2023-05-25T17:38:31,0,0,0,0
2023-05-25T17:50:07,0,0,0,0
2023-05-25T18:01:43,0,0,0,0
2023-05-25T18:13:20,0,0,0,0
2023-05-25T18:24:55,0,0,0,0
2023-05-25T18:36:40,0,0,0,0
2023-05-25T18:48:16,0,0,0,0
2023-05-25T18:59:52,0,0,0,0
2023-05-25T19:11:28,0,0,0,0
2023-05-25T19:23:04,0,0,0,0
2023-05-25T19:34:40,0,0,0,0
2023-05-25T19:46:16,0,0,0,0
2023-05-25T19:58:01,0,0,0,0
2023-05-25T20:09:37,0,0,0,0
