time,enrolled,available,waitlisted,total
2023-07-06T13:22:12,0,0,0,0
2023-07-06T13:34:37,0,0,0,0
2023-07-06T13:47:02,0,0,0,0
2023-07-06T13:59:26,0,0,0,0
2023-07-06T14:11:51,0,0,0,0
2023-07-06T14:24:28,0,0,0,0
2023-07-06T14:36:53,0,0,0,0
2023-07-06T14:49:18,0,0,0,0
2023-07-06T15:01:42,0,0,0,0
2023-07-06T15:14:06,0,0,0,0
2023-07-06T15:26:31,0,0,0,0
2023-07-06T15:38:56,0,0,0,0
2023-07-06T15:51:21,0,0,0,0
2023-07-06T16:03:56,0,0,0,0
2023-07-06T16:16:20,0,0,0,0
2023-07-06T16:28:46,0,0,0,0
2023-07-06T16:41:11,0,0,0,0
2023-07-06T16:53:35,0,0,0,0
2023-07-06T17:06:01,0,0,0,0
2023-07-06T17:18:27,0,0,0,0
2023-07-06T17:30:53,0,0,0,0
2023-07-06T17:43:30,0,0,0,0
2023-07-06T17:56:03,0,0,0,0
2023-07-06T18:08:28,0,0,0,0
2023-07-06T18:20:52,0,0,0,0
2023-07-06T18:33:17,0,0,0,0
2023-07-06T18:45:42,0,0,0,0
2023-07-06T18:58:07,0,0,0,0
2023-07-06T19:10:33,0,0,0,0
2023-07-06T19:22:58,0,0,0,0
2023-07-06T19:35:23,0,0,0,0
2023-07-06T19:47:48,0,0,0,0
2023-07-06T20:00:13,0,0,0,0
2023-07-06T20:12:48,0,0,0,0
2023-07-06T20:25:14,0,0,0,0
2023-07-06T20:37:39,0,0,0,0
2023-07-06T20:50:03,0,0,0,0
2023-07-06T21:02:29,0,0,0,0
2023-07-06T21:14:54,0,0,0,0
2023-07-06T21:27:19,0,0,0,0
2023-07-06T21:39:44,0,0,0,0
2023-07-06T21:52:09,0,0,0,0
2023-07-06T22:04:35,0,0,0,0
2023-07-06T22:17:00,0,0,0,0
2023-07-06T22:29:24,0,0,0,0
2023-07-06T22:41:49,0,0,0,0
2023-07-06T22:54:14,0,0,0,0
2023-07-06T23:06:50,0,0,0,0
2023-07-06T23:19:16,0,0,0,0
2023-07-06T23:31:41,0,0,0,0
2023-07-06T23:44:07,0,0,0,0
2023-07-06T23:56:33,0,0,0,0
2023-07-07T00:08:59,0,0,0,0
2023-07-07T00:21:32,0,0,0,0
2023-07-07T00:34:00,0,0,0,0
2023-07-07T00:46:29,0,0,0,0
2023-07-07T00:58:58,0,0,0,0
2023-07-07T01:11:27,0,0,0,0
2023-07-07T01:23:56,0,0,0,0
2023-07-07T01:36:26,0,0,0,0
2023-07-07T01:48:57,0,0,0,0
2023-07-07T02:01:25,0,0,0,0
2023-07-07T02:14:03,0,0,0,0
2023-07-07T02:26:33,0,0,0,0
2023-07-07T02:39:14,0,0,0,0
2023-07-07T02:51:44,0,0,0,0
2023-07-07T03:04:12,0,0,0,0
2023-07-07T03:16:40,0,0,0,0
2023-07-07T03:29:08,0,0,0,0
2023-07-07T03:41:36,0,0,0,0
2023-07-07T03:54:04,0,0,0,0
2023-07-07T04:06:31,0,0,0,0
2023-07-07T04:29:55,0,0,0,0
2023-07-07T04:42:45,0,0,0,0
2023-07-07T04:55:15,0,0,0,0
2023-07-07T05:07:43,0,0,0,0
2023-07-07T05:20:11,0,0,0,0
2023-07-07T05:32:41,0,0,0,0
2023-07-07T05:45:09,0,0,0,0
2023-07-07T05:57:38,0,0,0,0
2023-07-07T06:10:06,0,0,0,0
2023-07-07T06:22:34,0,0,0,0
2023-07-07T06:35:02,0,0,0,0
2023-07-07T06:47:30,0,0,0,0
2023-07-07T06:59:58,0,0,0,0
2023-07-07T07:12:26,0,0,0,0
2023-07-07T07:24:53,0,0,0,0
2023-07-07T07:37:19,0,0,0,0
2023-07-07T07:49:44,0,0,0,0
2023-07-07T08:02:09,0,0,0,0
2023-07-07T08:14:37,0,0,0,0
2023-07-07T08:27:02,0,0,0,0
2023-07-07T08:39:36,0,0,0,0
2023-07-07T08:52:01,0,0,0,0
2023-07-07T09:04:26,0,0,0,0
2023-07-07T09:16:51,0,0,0,0
2023-07-07T09:29:17,0,0,0,0
2023-07-07T09:41:42,0,0,0,0
2023-07-07T09:54:07,0,0,0,0
2023-07-07T10:06:31,0,0,0,0
2023-07-07T10:18:56,0,0,0,0
2023-07-07T10:31:21,0,0,0,0
2023-07-07T10:43:46,0,0,0,0
2023-07-07T10:56:10,0,0,0,0
2023-07-07T11:08:47,0,0,0,0
2023-07-07T11:21:12,0,0,0,0
2023-07-07T11:33:37,0,0,0,0
2023-07-07T11:46:02,0,0,0,0
2023-07-07T11:58:27,0,0,0,0
2023-07-07T12:10:51,0,0,0,0
2023-07-07T12:23:16,0,0,0,0
2023-07-07T12:35:41,0,0,0,0
2023-07-07T12:48:05,0,0,0,0
2023-07-07T13:00:30,0,0,0,0
2023-07-07T13:12:56,0,0,0,0
2023-07-07T13:25:21,0,0,0,0
2023-07-07T13:37:46,0,0,0,0
2023-07-07T13:50:24,0,0,0,0
2023-07-07T14:02:49,0,0,0,0
2023-07-07T14:15:13,0,0,0,0
2023-07-07T14:27:38,0,0,0,0
2023-07-07T14:40:02,0,0,0,0
2023-07-07T14:52:28,0,0,0,0
2023-07-07T15:04:53,0,0,0,0
2023-07-07T15:17:18,0,0,0,0
2023-07-07T15:29:43,0,0,0,0
2023-07-07T15:42:07,0,0,0,0
2023-07-07T15:54:32,0,0,0,0
2023-07-07T16:06:57,0,0,0,0
2023-07-07T16:19:22,0,0,0,0
2023-07-07T16:31:58,0,0,0,0
2023-07-07T16:44:23,0,0,0,0
2023-07-07T16:56:48,0,0,0,0
2023-07-07T17:09:14,0,0,0,0
2023-07-07T17:21:40,0,0,0,0
2023-07-07T17:34:05,0,0,0,0
2023-07-07T17:46:29,0,0,0,0
2023-07-07T17:58:53,0,0,0,0
2023-07-07T18:11:18,0,0,0,0
2023-07-07T18:23:42,0,0,0,0
2023-07-07T18:36:07,0,0,0,0
2023-07-07T18:48:42,0,0,0,0
2023-07-07T19:01:06,0,0,0,0
2023-07-07T19:13:32,0,0,0,0
2023-07-07T19:25:57,0,0,0,0
2023-07-07T19:38:22,0,0,0,0
2023-07-07T19:50:47,0,0,0,0
2023-07-07T20:03:13,0,0,0,0
2023-07-07T20:15:38,0,0,0,0
2023-07-07T20:28:03,0,0,0,0
2023-07-07T20:40:28,0,0,0,0
2023-07-07T20:52:53,0,0,0,0
2023-07-07T21:05:17,0,0,0,0
2023-07-07T21:17:44,0,0,0,0
2023-07-07T21:30:09,0,0,0,0
2023-07-07T21:42:34,0,0,0,0
2023-07-07T21:54:59,0,0,0,0
2023-07-07T22:07:24,0,0,0,0
2023-07-07T22:19:49,0,0,0,0
2023-07-07T22:32:25,0,0,0,0
2023-07-07T22:44:50,0,0,0,0
2023-07-07T22:57:14,0,0,0,0
2023-07-07T23:09:40,0,0,0,0
2023-07-07T23:22:06,0,0,0,0
2023-07-07T23:34:31,0,0,0,0
2023-07-07T23:46:56,0,0,0,0
2023-07-07T23:59:22,0,0,0,0
2023-07-08T00:11:49,0,0,0,0
2023-07-08T00:24:23,0,0,0,0
2023-07-08T00:36:52,0,0,0,0
2023-07-08T00:49:21,0,0,0,0
2023-07-08T01:01:50,0,0,0,0
2023-07-08T01:14:18,0,0,0,0
2023-07-08T01:26:47,0,0,0,0
2023-07-08T01:39:18,0,0,0,0
2023-07-08T01:51:48,0,0,0,0
2023-07-08T02:04:17,0,0,0,0
