time,enrolled,available,waitlisted,total
2023-08-07T08:31:56,0,0,0,0
2023-08-07T08:44:33,0,0,0,0
2023-08-07T08:57:08,0,0,0,0
2023-08-07T09:09:43,0,0,0,0
2023-08-07T09:22:18,0,0,0,0
2023-08-07T09:34:55,0,0,0,0
2023-08-07T09:47:31,0,0,0,0
2023-08-07T10:00:19,0,0,0,0
2023-08-07T10:12:55,0,0,0,0
2023-08-07T10:25:31,0,0,0,0
2023-08-07T10:38:07,0,0,0,0
2023-08-07T10:50:42,0,0,0,0
2023-08-07T11:03:18,0,0,0,0
2023-08-07T11:16:06,0,0,0,0
2023-08-07T11:28:41,0,0,0,0
2023-08-07T11:41:17,0,0,0,0
2023-08-07T11:53:53,0,0,0,0
2023-08-07T12:06:28,0,0,0,0
2023-08-07T12:19:14,0,0,0,0
2023-08-07T12:31:49,0,0,0,0
2023-08-07T12:44:25,0,0,0,0
2023-08-07T12:57:03,0,0,0,0
2023-08-07T13:09:39,0,0,0,0
2023-08-07T13:22:25,0,0,0,0
2023-08-07T13:35:00,0,0,0,0
2023-08-07T13:47:35,0,0,0,0
2023-08-07T14:00:10,0,0,0,0
2023-08-07T14:12:46,0,0,0,0
2023-08-07T14:25:21,0,0,0,0
2023-08-07T14:37:57,0,0,0,0
2023-08-07T14:50:44,0,0,0,0
2023-08-07T15:03:19,0,0,0,0
2023-08-07T15:15:56,0,0,0,0
2023-08-07T15:28:31,0,0,0,0
2023-08-07T15:41:08,0,0,0,0
2023-08-07T15:53:44,0,0,0,0
2023-08-07T16:06:22,0,0,0,0
2023-08-07T16:18:58,0,0,0,0
2023-08-07T16:31:45,0,0,0,0
2023-08-07T16:44:22,0,0,0,0
2023-08-07T16:56:59,0,0,0,0
2023-08-07T17:09:36,0,0,0,0
2023-08-07T17:22:13,0,0,0,0
2023-08-07T17:34:51,0,0,0,0
2023-08-07T17:47:27,0,0,0,0
2023-08-07T18:00:13,0,0,0,0
2023-08-07T18:12:50,0,0,0,0
2023-08-07T18:25:27,0,0,0,0
2023-08-07T18:38:04,0,0,0,0
2023-08-07T18:50:40,0,0,0,0
2023-08-07T19:03:17,0,0,0,0
2023-08-07T19:15:54,0,0,0,0
2023-08-07T19:28:42,0,0,0,0
2023-08-07T19:41:19,0,0,0,0
2023-08-07T19:53:56,0,0,0,0
2023-08-07T20:06:33,0,0,0,0
2023-08-07T20:19:10,0,0,0,0
2023-08-07T20:31:47,0,0,0,0
2023-08-07T20:44:24,0,0,0,0
2023-08-07T20:57:01,0,0,0,0
2023-08-07T21:09:38,0,0,0,0
2023-08-07T21:22:26,0,0,0,0
2023-08-07T21:35:02,0,0,0,0
2023-08-07T21:47:40,0,0,0,0
2023-08-07T22:00:17,0,0,0,0
2023-08-07T22:12:53,0,0,0,0
2023-08-07T22:25:29,0,0,0,0
2023-08-07T22:38:07,0,0,0,0
2023-08-07T22:50:45,0,0,0,0
