time,enrolled,available,waitlisted,total
2023-08-10T13:21:03,0,0,0,0
2023-08-10T13:33:41,0,0,0,0
2023-08-10T13:46:19,0,0,0,0
2023-08-10T13:58:57,0,0,0,0
2023-08-10T14:11:34,0,0,0,0
2023-08-10T14:24:23,0,0,0,0
2023-08-10T14:37:01,0,0,0,0
2023-08-10T14:49:38,0,0,0,0
2023-08-10T15:02:15,0,0,0,0
2023-08-10T15:14:53,0,0,0,0
2023-08-10T15:27:31,0,0,0,0
2023-08-10T15:40:08,0,0,0,0
2023-08-10T15:52:56,0,0,0,0
2023-08-10T16:05:33,0,0,0,0
2023-08-10T16:18:10,0,0,0,0
2023-08-10T16:30:47,0,0,0,0
2023-08-10T16:43:24,0,0,0,0
2023-08-10T16:56:01,0,0,0,0
2023-08-10T17:08:38,0,0,0,0
2023-08-10T17:21:19,0,0,0,0
2023-08-10T17:34:06,0,0,0,0
2023-08-10T17:46:43,0,0,0,0
2023-08-10T17:59:21,0,0,0,0
2023-08-10T18:11:58,0,0,0,0
2023-08-10T18:24:37,0,0,0,0
2023-08-10T18:37:16,0,0,0,0
2023-08-10T18:49:52,0,0,0,0
2023-08-10T19:02:31,0,0,0,0
2023-08-10T19:15:09,0,0,0,0
2023-08-10T19:27:47,0,0,0,0
2023-08-10T19:40:36,0,0,0,0
2023-08-10T19:53:14,0,0,0,0
2023-08-10T20:05:52,0,0,0,0
2023-08-10T20:18:30,0,0,0,0
2023-08-10T20:31:08,0,0,0,0
2023-08-10T20:43:46,0,0,0,0
2023-08-10T20:56:25,0,0,0,0
2023-08-10T21:09:02,0,0,0,0
2023-08-10T21:21:40,0,0,0,0
2023-08-10T21:34:18,0,0,0,0
2023-08-10T21:46:55,0,0,0,0
2023-08-10T21:59:33,0,0,0,0
2023-08-10T22:12:20,0,0,0,0
2023-08-10T22:24:57,0,0,0,0
2023-08-10T22:37:35,0,0,0,0
2023-08-10T22:50:12,0,0,0,0
2023-08-10T23:02:50,0,0,0,0
2023-08-10T23:15:31,0,0,0,0
2023-08-10T23:28:09,0,0,0,0
2023-08-10T23:40:47,0,0,0,0
2023-08-10T23:53:25,0,0,0,0
2023-08-11T00:06:07,0,0,0,0
2023-08-11T00:18:49,0,0,0,0
2023-08-11T00:31:29,0,0,0,0
2023-08-11T00:44:21,0,0,0,0
2023-08-11T00:57:03,0,0,0,0
2023-08-11T01:09:45,0,0,0,0
2023-08-11T01:22:27,0,0,0,0
2023-08-11T01:35:09,0,0,0,0
2023-08-11T01:47:52,0,0,0,0
2023-08-11T02:00:36,0,0,0,0
2023-08-11T02:13:15,0,0,0,0
2023-08-11T02:25:53,0,0,0,0
2023-08-11T02:38:31,0,0,0,0
2023-08-11T02:51:08,0,0,0,0
2023-08-11T03:03:46,0,0,0,0
2023-08-11T03:16:26,0,0,0,0
2023-08-11T03:29:07,0,0,0,0
2023-08-11T03:41:48,0,0,0,0
2023-08-11T03:54:28,0,0,0,0
2023-08-11T04:07:09,0,0,0,0
2023-08-11T04:20:03,0,0,0,0
2023-08-11T04:32:48,0,0,0,0
2023-08-11T04:47:18,0,0,0,0
2023-08-11T05:00:01,0,0,0,0
2023-08-11T05:12:44,0,0,0,0
2023-08-11T05:25:25,0,0,0,0
2023-08-11T05:38:07,0,0,0,0
2023-08-11T05:50:50,0,0,0,0
2023-08-11T06:03:30,0,0,0,0
2023-08-11T06:16:10,0,0,0,0
2023-08-11T06:28:51,0,0,0,0
2023-08-11T06:41:32,0,0,0,0
2023-08-11T06:54:13,0,0,0,0
2023-08-11T07:06:55,0,0,0,0
2023-08-11T07:19:36,0,0,0,0
2023-08-11T07:32:15,0,0,0,0
2023-08-11T07:44:54,0,0,0,0
2023-08-11T07:57:34,0,0,0,0
2023-08-11T08:10:13,0,0,0,0
2023-08-11T08:22:54,0,0,0,0
2023-08-11T08:35:34,0,0,0,0
2023-08-11T08:48:14,0,0,0,0
2023-08-11T09:00:53,0,0,0,0
2023-08-11T09:13:43,0,0,0,0
2023-08-11T09:26:22,0,0,0,0
2023-08-11T09:39:02,0,0,0,0
2023-08-11T09:51:42,0,0,0,0
2023-08-11T10:04:19,0,0,0,0
2023-08-11T10:16:58,0,0,0,0
2023-08-11T10:29:36,0,0,0,0
2023-08-11T10:42:14,0,0,0,0
2023-08-11T10:54:50,0,0,0,0
2023-08-11T11:07:28,0,0,0,0
2023-08-11T11:20:06,0,0,0,0
2023-08-11T11:32:43,0,0,0,0
2023-08-11T11:45:22,0,0,0,0
2023-08-11T11:58:08,0,0,0,0
2023-08-11T12:10:46,0,0,0,0
2023-08-11T12:23:23,0,0,0,0
2023-08-11T12:36:00,0,0,0,0
2023-08-11T12:48:37,0,0,0,0
2023-08-11T13:01:15,0,0,0,0
2023-08-11T13:13:52,0,0,0,0
2023-08-11T13:26:29,0,0,0,0
2023-08-11T13:39:07,0,0,0,0
2023-08-11T13:51:43,0,0,0,0
2023-08-11T14:04:31,0,0,0,0
