time,enrolled,available,waitlisted,total
2023-09-12T13:52:28,0,9999,0,9999
2023-09-12T14:05:28,0,9999,0,9999
2023-09-12T14:18:36,0,9999,0,9999
2023-09-12T14:31:33,0,9999,0,9999
2023-09-12T14:44:31,0,9999,0,9999
2023-09-12T14:57:28,0,9999,0,9999
2023-09-12T15:10:27,0,9999,0,9999
2023-09-12T15:23:36,0,9999,0,9999
2023-09-12T15:36:33,0,9999,0,9999
2023-09-12T15:49:31,0,9999,0,9999
2023-09-12T16:02:29,0,9999,0,9999
2023-09-12T16:15:26,0,9999,0,9999
2023-09-12T16:28:23,0,9999,0,9999
2023-09-12T16:41:32,0,9999,0,9999
2023-09-12T16:54:29,0,9999,0,9999
2023-09-12T17:07:26,0,9999,0,9999
2023-09-12T17:20:24,0,9999,0,9999
2023-09-12T17:33:21,0,9999,0,9999
2023-09-12T17:46:19,0,9999,0,9999
2023-09-12T17:59:15,0,9999,0,9999
2023-09-12T18:12:24,0,9999,0,9999
2023-09-12T18:25:21,0,9999,0,9999
2023-09-12T18:38:18,0,9999,0,9999
2023-09-12T18:51:14,0,9999,0,9999
2023-09-12T19:04:12,0,9999,0,9999
2023-09-12T19:17:12,0,9999,0,9999
2023-09-12T19:30:20,0,9999,0,9999
2023-09-12T19:43:18,0,9999,0,9999
2023-09-12T19:56:15,0,9999,0,9999
2023-09-12T20:09:12,0,9999,0,9999
2023-09-12T20:22:10,0,9999,0,9999
2023-09-12T20:35:07,0,9999,0,9999
2023-09-12T20:48:06,0,9999,0,9999
2023-09-12T21:01:02,0,9999,0,9999
2023-09-12T21:14:11,0,9999,0,9999
2023-09-12T21:27:08,0,9999,0,9999
2023-09-12T21:40:06,0,9999,0,9999
2023-09-12T21:53:03,0,9999,0,9999
2023-09-12T22:06:00,0,9999,0,9999
2023-09-12T22:18:57,0,9999,0,9999
2023-09-12T22:31:55,0,9999,0,9999
2023-09-12T22:45:04,0,9999,0,9999
2023-09-12T22:58:01,0,9999,0,9999
2023-09-12T23:10:59,0,9999,0,9999
2023-09-12T23:23:57,0,9999,0,9999
2023-09-12T23:36:55,0,9999,0,9999
2023-09-12T23:49:53,0,9999,0,9999
2023-09-13T00:02:50,0,9999,0,9999
2023-09-13T00:16:01,0,9999,0,9999
2023-09-13T00:29:01,0,9999,0,9999
2023-09-13T00:42:02,0,9999,0,9999
2023-09-13T00:55:04,0,9999,0,9999
2023-09-13T01:08:08,0,9999,0,9999
2023-09-13T01:21:12,0,9999,0,9999
2023-09-13T01:34:15,0,9999,0,9999
2023-09-13T01:47:16,0,9999,0,9999
2023-09-13T02:00:18,0,9999,0,9999
2023-09-13T02:13:21,0,9999,0,9999
2023-09-13T02:26:22,0,9999,0,9999
2023-09-13T02:39:32,0,9999,0,9999
2023-09-13T02:52:34,0,9999,0,9999
2023-09-13T03:05:35,0,9999,0,9999
2023-09-13T03:18:40,0,9999,0,9999
2023-09-13T03:31:43,0,9999,0,9999
2023-09-13T03:44:43,0,9999,0,9999
2023-09-13T03:57:45,0,9999,0,9999
2023-09-13T04:10:49,0,9999,0,9999
2023-09-13T04:26:06,0,9999,0,9999
2023-09-13T04:39:28,0,9999,0,9999
2023-09-13T04:52:32,0,9999,0,9999
2023-09-13T05:05:38,0,9999,0,9999
2023-09-13T05:18:40,0,9999,0,9999
2023-09-13T05:31:42,0,9999,0,9999
2023-09-13T05:44:43,0,9999,0,9999
2023-09-13T05:57:45,0,9999,0,9999
2023-09-13T06:10:46,0,9999,0,9999
2023-09-13T06:23:46,0,9999,0,9999
2023-09-13T06:36:47,0,9999,0,9999
2023-09-13T06:49:48,0,9999,0,9999
2023-09-13T07:02:49,0,9999,0,9999
2023-09-13T07:15:49,0,9999,0,9999
2023-09-13T07:28:52,0,9999,0,9999
2023-09-13T07:41:52,0,9999,0,9999
2023-09-13T07:54:51,0,9999,0,9999
2023-09-13T08:07:52,0,9999,0,9999
2023-09-13T08:21:01,0,9999,0,9999
2023-09-13T08:34:02,0,9999,0,9999
2023-09-13T08:47:03,0,9999,0,9999
2023-09-13T09:00:02,0,9999,0,9999
2023-09-13T09:13:02,0,9999,0,9999
2023-09-13T09:26:02,0,9999,0,9999
2023-09-13T09:39:00,0,9999,0,9999
2023-09-13T09:51:59,0,9999,0,9999
2023-09-13T10:04:56,0,9999,0,9999
2023-09-13T10:18:06,0,9999,0,9999
2023-09-13T10:31:03,0,9999,0,9999
2023-09-13T10:44:01,0,9999,0,9999
2023-09-13T10:56:59,0,9999,0,9999
2023-09-13T11:09:57,0,9999,0,9999
2023-09-13T11:22:55,0,9999,0,9999
