time,enrolled,available,waitlisted,total
2023-05-25T01:17:03,0,150,0,150
2023-05-25T01:28:39,0,150,0,150
2023-05-25T01:40:14,0,150,0,150
2023-05-25T01:51:59,0,150,0,150
2023-05-25T02:03:34,0,150,0,150
2023-05-25T02:15:10,0,150,0,150
2023-05-25T02:26:46,0,150,0,150
2023-05-25T02:38:19,0,150,0,150
2023-05-25T02:49:53,0,150,0,150
2023-05-25T03:01:26,0,150,0,150
2023-05-25T03:13:03,0,150,0,150
2023-05-25T03:25:02,0,150,0,150
2023-05-25T03:36:39,0,150,0,150
2023-05-25T03:48:15,0,150,0,150
2023-05-25T03:59:51,0,150,0,150
2023-05-25T04:19:14,0,150,0,150
2023-05-25T04:31:14,0,150,0,150
2023-05-25T04:42:51,0,150,0,150
2023-05-25T04:54:27,0,150,0,150
2023-05-25T05:06:04,0,150,0,150
2023-05-25T05:17:40,0,150,0,150
2023-05-25T05:29:16,0,150,0,150
2023-05-25T05:40:52,0,150,0,150
2023-05-25T05:52:28,0,150,0,150
2023-05-25T06:04:05,0,150,0,150
2023-05-25T06:15:41,0,150,0,150
2023-05-25T06:27:15,0,150,0,150
2023-05-25T06:38:50,0,150,0,150
2023-05-25T06:50:26,0,150,0,150
2023-05-25T07:02:01,0,150,0,150
2023-05-25T07:13:36,0,150,0,150
2023-05-25T07:25:11,0,150,0,150
2023-05-25T07:36:44,0,150,0,150
2023-05-25T07:48:22,0,150,0,150
2023-05-25T07:59:57,0,150,0,150
2023-05-25T08:11:31,0,150,0,150
2023-05-25T08:23:16,0,150,0,150
2023-05-25T08:34:50,0,150,0,150
2023-05-25T08:46:22,0,150,0,150
2023-05-25T08:57:55,0,150,0,150
2023-05-25T09:09:28,0,150,0,150
2023-05-25T09:21:01,0,150,0,150
2023-05-25T09:32:34,0,150,0,150
2023-05-25T09:44:06,0,150,0,150
2023-05-25T09:55:39,0,150,0,150
2023-05-25T10:07:13,0,150,0,150
2023-05-25T10:18:57,0,150,0,150
2023-05-25T10:30:30,0,150,0,150
2023-05-25T10:42:03,0,150,0,150
2023-05-25T10:53:45,0,150,0,150
2023-05-25T11:05:18,0,150,0,150
2023-05-25T11:16:51,0,150,0,150
2023-05-25T11:28:23,0,150,0,150
2023-05-25T11:39:56,0,150,0,150
2023-05-25T11:51:29,0,150,0,150
2023-05-25T12:03:13,0,150,0,150
2023-05-25T12:14:46,0,150,0,150
2023-05-25T12:26:19,0,150,0,150
2023-05-25T12:37:52,0,150,0,150
2023-05-25T12:49:25,0,150,0,150
2023-05-25T13:01:08,0,150,0,150
2023-05-25T13:12:40,0,150,0,150
2023-05-25T13:24:13,0,150,0,150
2023-05-25T13:35:47,0,150,0,150
2023-05-25T13:47:20,0,150,0,150
2023-05-25T13:58:53,0,150,0,150
2023-05-25T14:10:38,0,150,0,150
2023-05-25T14:22:11,0,150,0,150
2023-05-25T14:33:44,0,150,0,150
2023-05-25T14:45:17,0,150,0,150
2023-05-25T14:56:51,0,150,0,150
2023-05-25T15:08:34,0,150,0,150
2023-05-25T15:20:09,0,150,0,150
2023-05-25T15:31:43,0,150,0,150
2023-05-25T15:43:18,0,150,0,150
2023-05-25T15:54:52,0,150,0,150
2023-05-25T16:06:38,0,150,0,150
2023-05-25T16:18:13,0,150,0,150
2023-05-25T16:29:48,0,150,0,150
2023-05-25T16:41:23,0,150,0,150
2023-05-25T16:52:58,0,150,0,150
2023-05-25T17:04:35,0,150,0,150
2023-05-25T17:16:23,0,150,0,150
