time,enrolled,available,waitlisted,total
2023-09-01T15:01:23,0,15,0,15
2023-09-01T15:14:21,0,15,0,15
2023-09-01T15:27:20,0,15,0,15
2023-09-01T15:40:16,0,15,0,15
2023-09-01T15:53:28,0,15,0,15
2023-09-01T16:06:25,0,15,0,15
2023-09-01T16:19:19,0,15,0,15
2023-09-01T16:32:16,0,15,0,15
2023-09-01T16:45:19,0,15,0,15
2023-09-01T16:58:13,0,15,0,15
2023-09-01T17:11:12,0,15,0,15
2023-09-01T17:24:11,0,15,0,15
2023-09-01T19:24:14,0,15,0,15
2023-09-01T19:37:07,0,15,0,15
2023-09-01T19:50:01,0,15,0,15
2023-09-01T20:02:54,0,15,0,15
2023-09-01T20:15:59,0,15,0,15
2023-09-01T20:28:50,0,15,0,15
2023-09-01T20:41:41,0,15,0,15
2023-09-01T20:54:31,0,15,0,15
2023-09-01T21:07:32,0,15,0,15
2023-09-01T21:20:23,0,15,0,15
2023-09-01T21:33:14,0,15,0,15
2023-09-01T21:46:04,0,15,0,15
2023-09-01T21:58:56,0,15,0,15
2023-09-01T22:11:58,0,15,0,15
2023-09-01T22:24:48,0,15,0,15
2023-09-01T22:37:38,0,15,0,15
2023-09-01T22:50:29,0,15,0,15
2023-09-01T23:03:20,0,15,0,15
2023-09-01T23:16:12,0,15,0,15
2023-09-01T23:29:13,0,15,0,15
2023-09-01T23:42:05,0,15,0,15
2023-09-01T23:54:57,0,15,0,15
2023-09-02T00:07:50,0,15,0,15
2023-09-02T00:20:51,0,15,0,15
2023-09-02T00:33:45,0,15,0,15
2023-09-02T00:46:50,0,15,0,15
2023-09-02T00:59:45,0,15,0,15
2023-09-02T01:12:39,0,15,0,15
2023-09-02T01:25:33,0,15,0,15
2023-09-02T01:38:31,0,15,0,15
2023-09-02T01:51:27,0,15,0,15
2023-09-02T02:04:21,0,15,0,15
2023-09-02T02:17:16,0,15,0,15
2023-09-02T02:30:17,0,15,0,15
2023-09-02T02:43:11,0,15,0,15
2023-09-02T02:56:04,0,15,0,15
2023-09-02T03:08:57,0,15,0,15
2023-09-02T03:21:51,0,15,0,15
2023-09-02T03:34:45,0,15,0,15
2023-09-02T03:47:39,0,15,0,15
2023-09-02T04:00:34,0,15,0,15
2023-09-02T04:24:00,0,15,0,15
2023-09-02T04:39:09,0,15,0,15
2023-09-02T04:52:07,0,15,0,15
2023-09-02T05:05:06,0,15,0,15
2023-09-02T05:18:01,0,15,0,15
2023-09-02T05:30:56,0,15,0,15
2023-09-02T05:43:52,0,15,0,15
2023-09-02T05:56:46,0,15,0,15
2023-09-02T06:09:42,0,15,0,15
2023-09-02T06:22:37,0,15,0,15
2023-09-02T06:35:31,0,15,0,15
2023-09-02T06:48:26,0,15,0,15
2023-09-02T07:01:22,0,15,0,15
2023-09-02T07:14:16,0,15,0,15
2023-09-02T07:27:12,0,15,0,15
2023-09-02T07:40:05,0,15,0,15
2023-09-02T07:52:59,0,15,0,15
2023-09-02T08:06:01,0,15,0,15
2023-09-02T08:18:56,0,15,0,15
2023-09-02T08:31:51,0,15,0,15
2023-09-02T08:44:46,0,15,0,15
2023-09-02T08:57:41,0,15,0,15
2023-09-02T09:10:35,0,15,0,15
2023-09-02T09:23:30,0,15,0,15
2023-09-02T09:36:23,0,15,0,15
2023-09-02T09:49:16,0,15,0,15
2023-09-02T10:02:10,0,15,0,15
2023-09-02T10:15:04,0,15,0,15
2023-09-02T10:27:57,0,15,0,15
2023-09-02T10:41:00,0,15,0,15
2023-09-02T10:53:53,0,15,0,15
2023-09-02T11:06:46,0,15,0,15
2023-09-02T11:19:37,0,15,0,15
2023-09-02T11:32:29,0,15,0,15
2023-09-02T11:45:20,0,15,0,15
2023-09-02T11:58:12,0,15,0,15
2023-09-02T12:11:02,0,15,0,15
2023-09-02T12:23:55,0,15,0,15
2023-09-02T12:36:46,0,15,0,15
2023-09-02T12:49:47,0,15,0,15
2023-09-02T13:02:38,0,15,0,15
2023-09-02T13:15:29,0,15,0,15
2023-09-02T13:28:20,0,15,0,15
2023-09-02T13:41:11,0,15,0,15
2023-09-02T13:54:02,0,15,0,15
2023-09-02T14:06:53,0,15,0,15
2023-09-02T14:19:45,0,15,0,15
2023-09-02T14:32:36,0,15,0,15
2023-09-02T14:45:38,0,15,0,15
2023-09-02T14:58:29,0,15,0,15
2023-09-02T15:11:21,0,15,0,15
2023-09-02T15:24:11,0,15,0,15
2023-09-02T15:37:03,0,15,0,15
2023-09-02T15:49:56,0,15,0,15
2023-09-02T16:02:47,0,15,0,15
2023-09-02T16:15:38,0,15,0,15
2023-09-02T16:28:29,0,15,0,15
2023-09-02T16:41:20,0,15,0,15
2023-09-02T16:54:12,0,15,0,15
2023-09-02T17:07:15,0,15,0,15
2023-09-02T17:20:07,0,15,0,15
2023-09-02T17:32:58,0,15,0,15
2023-09-02T17:45:49,0,15,0,15
2023-09-02T17:58:40,0,15,0,15
2023-09-02T18:11:32,0,15,0,15
2023-09-02T18:24:23,0,15,0,15
2023-09-02T18:37:14,0,15,0,15
2023-09-02T18:50:05,0,15,0,15
2023-09-02T19:02:55,0,15,0,15
2023-09-02T19:15:47,0,15,0,15
