time,enrolled,available,waitlisted,total
2023-09-12T13:40:19,0,9999,0,9999
2023-09-12T13:53:17,0,9999,0,9999
2023-09-12T14:06:28,0,9999,0,9999
2023-09-12T14:19:25,0,9999,0,9999
2023-09-12T14:32:22,0,9999,0,9999
2023-09-12T14:45:20,0,9999,0,9999
2023-09-12T14:58:17,0,9999,0,9999
2023-09-12T15:11:16,0,9999,0,9999
2023-09-12T15:24:25,0,9999,0,9999
2023-09-12T15:37:22,0,9999,0,9999
2023-09-12T15:50:20,0,9999,0,9999
2023-09-12T16:03:18,0,9999,0,9999
2023-09-12T16:16:15,0,9999,0,9999
2023-09-12T16:29:12,0,9999,0,9999
2023-09-12T16:42:20,0,9999,0,9999
2023-09-12T16:55:18,0,9999,0,9999
2023-09-12T17:08:15,0,9999,0,9999
2023-09-12T17:21:13,0,9999,0,9999
2023-09-12T17:34:10,0,9999,0,9999
2023-09-12T17:47:07,0,9999,0,9999
2023-09-12T18:00:04,0,9999,0,9999
2023-09-12T18:13:12,0,9999,0,9999
2023-09-12T18:26:09,0,9999,0,9999
2023-09-12T18:39:06,0,9999,0,9999
2023-09-12T18:52:03,0,9999,0,9999
2023-09-12T19:05:04,0,9999,0,9999
2023-09-12T19:18:01,0,9999,0,9999
2023-09-12T19:31:09,0,9999,0,9999
2023-09-12T19:44:07,0,9999,0,9999
2023-09-12T19:57:05,0,9999,0,9999
2023-09-12T20:10:01,0,9999,0,9999
2023-09-12T20:22:59,0,9999,0,9999
2023-09-12T20:35:57,0,9999,0,9999
2023-09-12T20:48:55,0,9999,0,9999
2023-09-12T21:01:51,0,9999,0,9999
2023-09-12T21:15:00,0,9999,0,9999
2023-09-12T21:27:57,0,9999,0,9999
2023-09-12T21:40:55,0,9999,0,9999
2023-09-12T21:53:52,0,9999,0,9999
2023-09-12T22:06:49,0,9999,0,9999
2023-09-12T22:19:45,0,9999,0,9999
2023-09-12T22:32:44,0,9999,0,9999
2023-09-12T22:45:53,0,9999,0,9999
2023-09-12T22:58:50,0,9999,0,9999
2023-09-12T23:11:48,0,9999,0,9999
2023-09-12T23:24:45,0,9999,0,9999
2023-09-12T23:37:44,0,9999,0,9999
2023-09-12T23:50:42,0,9999,0,9999
2023-09-13T00:03:39,0,9999,0,9999
2023-09-13T00:16:50,0,9999,0,9999
2023-09-13T00:29:50,0,9999,0,9999
2023-09-13T00:42:51,0,9999,0,9999
2023-09-13T00:55:53,0,9999,0,9999
2023-09-13T01:08:57,0,9999,0,9999
2023-09-13T01:22:01,0,9999,0,9999
2023-09-13T01:35:04,0,9999,0,9999
2023-09-13T01:48:05,0,9999,0,9999
2023-09-13T02:01:07,0,9999,0,9999
2023-09-13T02:14:10,0,9999,0,9999
2023-09-13T02:27:11,0,9999,0,9999
2023-09-13T02:40:21,0,9999,0,9999
2023-09-13T02:53:23,0,9999,0,9999
2023-09-13T03:06:24,0,9999,0,9999
2023-09-13T03:19:29,0,9999,0,9999
2023-09-13T03:32:32,0,9999,0,9999
2023-09-13T03:45:32,0,9999,0,9999
2023-09-13T03:58:35,0,9999,0,9999
2023-09-13T04:11:38,0,9999,0,9999
2023-09-13T04:26:55,0,9999,0,9999
2023-09-13T04:40:17,0,9999,0,9999
2023-09-13T04:53:21,0,9999,0,9999
2023-09-13T05:06:27,0,9999,0,9999
2023-09-13T05:19:29,0,9999,0,9999
2023-09-13T05:32:31,0,9999,0,9999
2023-09-13T05:45:32,0,9999,0,9999
2023-09-13T05:58:34,0,9999,0,9999
2023-09-13T06:11:35,0,9999,0,9999
2023-09-13T06:24:36,0,9999,0,9999
2023-09-13T06:37:37,0,9999,0,9999
2023-09-13T06:50:37,0,9999,0,9999
2023-09-13T07:03:38,0,9999,0,9999
2023-09-13T07:16:38,0,9999,0,9999
2023-09-13T07:29:41,0,9999,0,9999
2023-09-13T07:42:41,0,9999,0,9999
2023-09-13T07:55:40,0,9999,0,9999
2023-09-13T08:08:41,0,9999,0,9999
2023-09-13T08:21:50,0,9999,0,9999
2023-09-13T08:34:51,0,9999,0,9999
2023-09-13T08:47:52,0,9999,0,9999
2023-09-13T09:00:51,0,9999,0,9999
2023-09-13T09:13:51,1,9998,0,9999
2023-09-13T09:26:51,1,9998,0,9999
2023-09-13T09:39:49,1,9998,0,9999
2023-09-13T09:52:47,1,9998,0,9999
2023-09-13T10:05:45,1,9998,0,9999
2023-09-13T10:18:55,1,9998,0,9999
2023-09-13T10:31:52,1,9998,0,9999
2023-09-13T10:44:50,1,9998,0,9999
2023-09-13T10:57:47,1,9998,0,9999
2023-09-13T11:10:46,1,9998,0,9999
2023-09-13T11:23:44,1,9998,0,9999
