time,enrolled,available,waitlisted,total
2023-08-25T15:24:26,0,9999,0,9999
2023-08-25T15:37:13,0,9999,0,9999
2023-08-25T15:50:05,0,9999,0,9999
2023-08-25T16:02:49,0,9999,0,9999
2023-08-25T16:15:33,0,9999,0,9999
2023-08-25T16:28:17,0,9999,0,9999
2023-08-25T16:41:01,0,9999,0,9999
2023-08-25T16:53:46,0,9999,0,9999
2023-08-25T17:06:31,0,9999,0,9999
2023-08-25T17:19:26,0,9999,0,9999
2023-08-25T17:32:10,0,9999,0,9999
2023-08-25T17:44:54,0,9999,0,9999
2023-08-25T17:57:38,0,9999,0,9999
2023-08-25T18:10:21,0,9999,0,9999
2023-08-25T18:23:05,0,9999,0,9999
2023-08-25T18:35:49,0,9999,0,9999
2023-08-25T18:48:32,0,9999,0,9999
2023-08-25T19:01:27,0,9999,0,9999
2023-08-25T19:14:11,0,9999,0,9999
2023-08-25T19:26:56,0,9999,0,9999
2023-08-25T19:39:43,0,9999,0,9999
2023-08-25T19:52:27,0,9999,0,9999
2023-08-25T20:05:10,0,9999,0,9999
2023-08-25T20:17:55,0,9999,0,9999
2023-08-25T20:30:39,0,9999,0,9999
2023-08-25T20:43:22,0,9999,0,9999
2023-08-25T20:56:16,0,9999,0,9999
2023-08-25T21:09:00,0,9999,0,9999
2023-08-25T21:21:45,0,9999,0,9999
2023-08-25T21:34:28,0,9999,0,9999
2023-08-25T21:47:13,0,9999,0,9999
2023-08-25T21:59:57,0,9999,0,9999
2023-08-25T22:12:40,0,9999,0,9999
2023-08-25T22:25:24,0,9999,0,9999
2023-08-25T22:38:08,0,9999,0,9999
2023-08-25T22:50:53,0,9999,0,9999
2023-08-25T23:03:47,0,9999,0,9999
2023-08-25T23:16:33,0,9999,0,9999
2023-08-25T23:29:18,0,9999,0,9999
2023-08-25T23:42:03,0,9999,0,9999
2023-08-25T23:54:48,0,9999,0,9999
2023-08-26T00:07:35,0,9999,0,9999
2023-08-26T00:20:27,0,9999,0,9999
2023-08-26T00:33:15,0,9999,0,9999
2023-08-26T00:46:04,0,9999,0,9999
2023-08-26T00:59:04,0,9999,0,9999
2023-08-26T01:11:52,0,9999,0,9999
2023-08-26T01:24:41,0,9999,0,9999
2023-08-26T01:37:30,0,9999,0,9999
2023-08-26T01:50:18,0,9999,0,9999
2023-08-26T02:03:05,0,9999,0,9999
2023-08-26T02:15:50,0,9999,0,9999
2023-08-26T02:28:35,0,9999,0,9999
2023-08-26T02:41:20,0,9999,0,9999
2023-08-26T02:54:05,0,9999,0,9999
2023-08-26T03:06:50,0,9999,0,9999
2023-08-26T03:19:38,0,9999,0,9999
2023-08-26T03:32:26,0,9999,0,9999
2023-08-26T03:45:25,0,9999,0,9999
2023-08-26T03:58:12,0,9999,0,9999
2023-08-26T04:11:00,0,9999,0,9999
2023-08-26T04:32:28,0,9999,0,9999
2023-08-26T04:45:36,0,9999,0,9999
2023-08-26T04:58:29,0,9999,0,9999
2023-08-26T05:11:17,0,9999,0,9999
2023-08-26T05:24:04,0,9999,0,9999
2023-08-26T05:36:54,0,9999,0,9999
2023-08-26T05:49:42,0,9999,0,9999
