time,enrolled,available,waitlisted,total
2023-05-25T01:18:38,0,28,0,28
2023-05-25T01:30:14,0,28,0,28
2023-05-25T01:41:58,0,28,0,28
2023-05-25T01:53:33,0,28,0,28
2023-05-25T02:05:09,0,28,0,28
2023-05-25T02:16:45,0,28,0,28
2023-05-25T02:28:20,0,28,0,28
2023-05-25T02:39:54,0,28,0,28
2023-05-25T02:51:27,0,28,0,28
2023-05-25T03:03:00,0,28,0,28
2023-05-25T03:14:38,0,28,0,28
2023-05-25T03:26:36,0,28,0,28
2023-05-25T03:38:14,0,28,0,28
2023-05-25T03:49:50,0,28,0,28
2023-05-25T04:01:25,0,28,0,28
2023-05-25T04:20:49,0,28,0,28
2023-05-25T04:32:49,0,28,0,28
2023-05-25T04:44:25,0,28,0,28
2023-05-25T04:56:01,0,28,0,28
2023-05-25T05:07:38,0,28,0,28
2023-05-25T05:19:15,0,28,0,28
2023-05-25T05:30:51,0,28,0,28
2023-05-25T05:42:27,0,28,0,28
2023-05-25T05:54:03,0,28,0,28
2023-05-25T06:05:40,0,28,0,28
2023-05-25T06:17:15,0,28,0,28
2023-05-25T06:28:50,0,28,0,28
2023-05-25T06:40:25,0,28,0,28
2023-05-25T06:52:00,0,28,0,28
2023-05-25T07:03:36,0,28,0,28
2023-05-25T07:15:11,0,28,0,28
2023-05-25T07:26:45,0,28,0,28
2023-05-25T07:38:18,0,28,0,28
2023-05-25T07:49:57,0,28,0,28
2023-05-25T08:01:31,0,28,0,28
2023-05-25T08:13:06,0,28,0,28
2023-05-25T08:24:50,0,28,0,28
2023-05-25T08:36:24,0,28,0,28
2023-05-25T08:47:56,0,28,0,28
2023-05-25T08:59:30,0,28,0,28
2023-05-25T09:11:03,0,28,0,28
2023-05-25T09:22:35,0,28,0,28
2023-05-25T09:34:08,0,28,0,28
2023-05-25T09:45:40,0,28,0,28
2023-05-25T09:57:14,0,28,0,28
2023-05-25T10:08:58,0,28,0,28
2023-05-25T10:20:31,0,28,0,28
2023-05-25T10:32:04,0,28,0,28
2023-05-25T10:43:37,0,28,0,28
2023-05-25T10:55:19,0,28,0,28
2023-05-25T11:06:52,0,28,0,28
2023-05-25T11:18:25,0,28,0,28
2023-05-25T11:29:57,0,28,0,28
2023-05-25T11:41:30,0,28,0,28
2023-05-25T11:53:03,0,28,0,28
2023-05-25T12:04:47,0,28,0,28
2023-05-25T12:16:20,0,28,0,28
2023-05-25T12:27:53,0,28,0,28
2023-05-25T12:39:26,0,28,0,28
2023-05-25T12:50:59,0,28,0,28
2023-05-25T13:02:42,0,28,0,28
2023-05-25T13:14:15,0,28,0,28
2023-05-25T13:25:48,0,28,0,28
2023-05-25T13:37:21,0,28,0,28
2023-05-25T13:48:54,0,28,0,28
2023-05-25T14:00:38,0,28,0,28
2023-05-25T14:12:12,0,28,0,28
2023-05-25T14:23:45,0,28,0,28
2023-05-25T14:35:18,0,28,0,28
2023-05-25T14:46:51,0,28,0,28
2023-05-25T14:58:35,0,28,0,28
2023-05-25T15:10:09,0,28,0,28
2023-05-25T15:21:43,0,28,0,28
2023-05-25T15:33:18,0,28,0,28
2023-05-25T15:44:52,0,28,0,28
2023-05-25T15:56:27,0,14,0,14
2023-05-25T16:08:12,0,14,0,14
2023-05-25T16:19:47,0,14,0,14
2023-05-25T16:31:22,0,14,0,14
2023-05-25T16:42:57,0,14,0,14
2023-05-25T16:54:33,0,14,0,14
2023-05-25T17:06:09,0,14,0,14
2023-05-25T17:17:57,0,14,0,14
2023-05-25T17:29:32,0,14,0,14
2023-05-25T17:41:07,0,14,0,14
2023-05-25T17:52:43,0,14,0,14
2023-05-25T18:04:20,0,14,0,14
2023-05-25T18:15:56,0,14,0,14
2023-05-25T18:27:31,0,14,0,14
2023-05-25T18:39:17,0,14,0,14
2023-05-25T18:50:52,0,14,0,14
2023-05-25T19:02:28,0,14,0,14
2023-05-25T19:14:05,0,14,0,14
2023-05-25T19:25:40,0,14,0,14
2023-05-25T19:37:16,0,14,0,14
2023-05-25T19:48:52,0,14,0,14
2023-05-25T20:00:38,0,14,0,14
2023-05-25T20:12:14,0,14,0,14
2023-05-25T20:23:49,0,14,0,14
2023-05-25T20:35:25,0,14,0,14
2023-05-25T20:47:01,0,14,0,14
2023-05-25T20:58:36,0,14,0,14
2023-05-25T21:10:12,0,14,0,14
2023-05-25T21:22:00,0,14,0,14
2023-05-25T21:33:35,0,14,0,14
2023-05-25T21:45:11,0,14,0,14
2023-05-25T21:56:46,0,14,0,14
2023-05-25T22:08:22,0,14,0,14
2023-05-25T22:19:57,0,14,0,14
2023-05-25T22:31:33,0,14,0,14
2023-05-25T22:43:19,0,14,0,14
2023-05-25T22:54:54,0,14,0,14
2023-05-25T23:06:33,0,14,0,14
2023-05-25T23:18:08,0,14,0,14
2023-05-25T23:29:44,0,14,0,14
2023-05-25T23:41:20,0,14,0,14
2023-05-25T23:52:57,0,14,0,14
2023-05-26T00:04:51,0,14,0,14
2023-05-26T00:16:32,0,14,0,14
2023-05-26T00:28:11,0,14,0,14
