time,enrolled,available,waitlisted,total
2023-09-22T14:32:23,0,0,0,0
2023-09-22T14:45:25,0,10,0,10
2023-09-22T14:58:29,0,10,0,10
2023-09-22T15:11:34,0,10,0,10
2023-09-22T15:24:39,0,10,0,10
2023-09-22T15:37:53,0,10,0,10
2023-09-22T15:50:55,0,10,0,10
2023-09-22T16:03:56,0,10,0,10
2023-09-22T16:16:57,0,10,0,10
2023-09-22T16:29:58,1,9,0,10
2023-09-22T16:42:59,1,9,0,10
2023-09-22T16:56:19,1,9,0,10
2023-09-22T17:09:21,1,9,0,10
2023-09-22T17:22:22,1,9,0,10
2023-09-22T17:35:23,1,9,0,10
2023-09-22T17:48:24,1,9,0,10
2023-09-22T18:01:25,1,9,0,10
2023-09-22T18:14:36,1,9,0,10
2023-09-22T18:27:38,1,9,0,10
2023-09-22T18:40:40,1,9,0,10
2023-09-22T18:53:42,1,9,0,10
2023-09-22T19:06:44,1,9,0,10
2023-09-22T19:19:46,1,9,0,10
2023-09-22T19:32:48,1,9,0,10
2023-09-22T19:45:58,1,9,0,10
2023-09-22T19:58:59,1,9,0,10
2023-09-22T20:12:00,1,9,0,10
2023-09-22T20:25:02,1,9,0,10
2023-09-22T20:38:03,1,9,0,10
2023-09-22T20:57:58,1,9,0,10
2023-09-22T21:10:59,1,9,0,10
2023-09-22T21:23:59,1,9,0,10
2023-09-22T21:37:00,1,9,0,10
2023-09-22T21:50:00,1,9,0,10
2023-09-22T22:03:02,1,9,0,10
2023-09-22T22:16:14,1,9,0,10
2023-09-22T22:29:14,1,9,0,10
2023-09-22T22:42:15,1,9,0,10
2023-09-22T22:55:15,1,9,0,10
2023-09-22T23:08:18,1,9,0,10
2023-09-22T23:21:19,1,9,0,10
2023-09-22T23:34:21,1,9,0,10
2023-09-22T23:47:22,1,9,0,10
2023-09-23T00:00:24,1,9,0,10
2023-09-23T00:13:31,1,9,0,10
2023-09-23T00:26:48,1,9,0,10
2023-09-23T00:39:53,1,9,0,10
2023-09-23T00:53:01,1,9,0,10
2023-09-23T01:01:14,1,9,0,10
2023-09-23T01:14:20,1,9,0,10
2023-09-23T01:27:27,1,9,0,10
2023-09-23T01:40:34,1,9,0,10
2023-09-23T01:53:41,1,9,0,10
2023-09-23T02:06:47,1,9,0,10
2023-09-23T02:19:51,1,9,0,10
2023-09-23T02:32:56,1,9,0,10
2023-09-23T02:46:00,1,9,0,10
2023-09-23T02:59:02,1,9,0,10
2023-09-23T03:12:06,1,9,0,10
2023-09-23T03:25:10,1,9,0,10
2023-09-23T03:38:15,1,9,0,10
2023-09-23T03:51:21,1,9,0,10
2023-09-23T04:08:37,1,9,0,10
2023-09-23T04:24:16,1,9,0,10
2023-09-23T04:37:49,1,9,0,10
2023-09-23T04:50:57,1,9,0,10
2023-09-23T05:04:03,1,9,0,10
2023-09-23T05:17:09,1,9,0,10
2023-09-23T05:30:15,1,9,0,10
2023-09-23T05:43:21,1,9,0,10
2023-09-23T05:56:27,1,9,0,10
2023-09-23T06:09:34,1,9,0,10
2023-09-23T06:22:39,1,9,0,10
2023-09-23T06:35:44,1,9,0,10
2023-09-23T06:48:49,1,9,0,10
2023-09-23T07:01:54,1,9,0,10
2023-09-23T07:14:59,1,9,0,10
2023-09-23T07:28:03,1,9,0,10
2023-09-23T07:41:07,1,9,0,10
2023-09-23T07:54:11,1,9,0,10
2023-09-23T08:07:24,1,9,0,10
2023-09-23T08:20:28,1,9,0,10
2023-09-23T08:33:34,1,9,0,10
2023-09-23T08:46:38,1,9,0,10
2023-09-23T08:59:42,1,9,0,10
2023-09-23T09:12:46,1,9,0,10
2023-09-23T09:25:49,1,9,0,10
2023-09-23T09:38:53,1,9,0,10
2023-09-23T09:51:55,1,9,0,10
2023-09-23T10:04:58,1,9,0,10
2023-09-23T10:18:00,1,9,0,10
2023-09-23T10:31:03,1,9,0,10
2023-09-23T10:44:16,1,9,0,10
2023-09-23T10:57:19,1,9,0,10
2023-09-23T11:10:19,1,9,0,10
2023-09-23T11:23:20,1,9,0,10
2023-09-23T11:36:21,1,9,0,10
2023-09-23T11:49:23,1,9,0,10
2023-09-23T12:02:24,1,9,0,10
2023-09-23T12:15:25,1,9,0,10
2023-09-23T12:28:39,1,9,0,10
2023-09-23T12:41:40,1,9,0,10
2023-09-23T12:54:40,1,9,0,10
2023-09-23T13:07:41,1,9,0,10
2023-09-23T13:20:42,1,9,0,10
2023-09-23T13:33:42,1,9,0,10
2023-09-23T13:46:44,1,9,0,10
2023-09-23T13:59:44,1,9,0,10
2023-09-23T14:12:55,1,9,0,10
2023-09-23T14:25:56,1,9,0,10
2023-09-23T14:39:02,1,9,0,10
2023-09-23T14:52:04,1,9,0,10
2023-09-23T15:05:05,1,9,0,10
2023-09-23T15:18:06,1,9,0,10
2023-09-23T15:31:07,1,9,0,10
2023-09-23T15:44:08,1,9,0,10
2023-09-23T15:57:18,1,9,0,10
2023-09-23T16:10:19,1,9,0,10
2023-09-23T16:23:19,2,8,0,10
2023-09-23T16:36:20,2,8,0,10
2023-09-23T16:49:21,3,7,0,10
2023-09-23T17:02:22,3,7,0,10
2023-09-23T17:15:24,3,7,0,10
2023-09-23T17:28:25,3,7,0,10
2023-09-23T17:41:26,3,7,0,10
2023-09-23T17:54:37,3,7,0,10
2023-09-23T18:07:38,3,7,0,10
2023-09-23T18:20:39,3,7,0,10
2023-09-23T18:33:40,3,7,0,10
2023-09-23T18:46:40,3,7,0,10
2023-09-23T18:59:41,3,7,0,10
2023-09-23T19:12:43,3,7,0,10
2023-09-23T19:25:44,3,7,0,10
2023-09-23T19:38:45,3,7,0,10
2023-09-23T19:51:56,3,7,0,10
2023-09-23T20:04:57,3,7,0,10
2023-09-23T20:17:58,3,7,0,10
2023-09-23T20:30:58,3,7,0,10
2023-09-23T20:44:00,3,7,0,10
2023-09-23T20:57:00,3,7,0,10
2023-09-23T21:10:02,3,7,0,10
2023-09-23T21:23:03,3,7,0,10
2023-09-23T21:36:04,3,7,0,10
2023-09-23T21:49:05,3,7,0,10
2023-09-23T22:02:16,3,7,0,10
2023-09-23T22:15:16,3,7,0,10
2023-09-23T22:28:17,3,7,0,10
2023-09-23T22:41:18,3,7,0,10
2023-09-23T22:54:19,3,7,0,10
2023-09-23T23:07:20,3,7,0,10
2023-09-23T23:20:22,3,7,0,10
2023-09-23T23:33:22,3,7,0,10
2023-09-23T23:46:23,3,7,0,10
2023-09-23T23:59:24,3,7,0,10
2023-09-24T00:12:36,3,7,0,10
2023-09-24T00:25:43,3,7,0,10
2023-09-24T00:38:46,3,7,0,10
2023-09-24T00:51:47,3,7,0,10
2023-09-24T01:04:49,3,7,0,10
2023-09-24T01:17:49,3,7,0,10
2023-09-24T01:30:49,3,7,0,10
2023-09-24T01:43:50,3,7,0,10
2023-09-24T01:56:53,3,7,0,10
2023-09-24T02:09:54,3,7,0,10
2023-09-24T02:22:55,3,7,0,10
2023-09-24T02:35:58,3,7,0,10
2023-09-24T02:49:01,3,7,0,10
2023-09-24T03:02:02,3,7,0,10
2023-09-24T03:15:03,3,7,0,10
2023-09-24T03:28:06,3,7,0,10
2023-09-24T03:41:08,3,7,0,10
2023-09-24T03:54:41,3,7,0,10
2023-09-24T04:07:48,3,7,0,10
2023-09-24T04:25:02,3,7,0,10
2023-09-24T04:38:33,3,7,0,10
2023-09-24T04:51:40,3,7,0,10
2023-09-24T05:04:47,3,7,0,10
2023-09-24T05:17:55,3,7,0,10
2023-09-24T05:31:01,3,7,0,10
2023-09-24T05:44:07,3,7,0,10
2023-09-24T05:57:14,3,7,0,10
2023-09-24T06:10:20,3,7,0,10
2023-09-24T06:23:26,3,7,0,10
2023-09-24T06:36:31,3,7,0,10
2023-09-24T06:49:36,3,7,0,10
2023-09-24T07:02:42,3,7,0,10
2023-09-24T07:16:04,3,7,0,10
2023-09-24T07:29:08,3,7,0,10
2023-09-24T07:42:12,3,7,0,10
2023-09-24T07:55:15,3,7,0,10
2023-09-24T08:08:21,3,7,0,10
2023-09-24T08:21:24,3,7,0,10
2023-09-24T08:34:28,3,7,0,10
2023-09-24T08:47:36,3,7,0,10
2023-09-24T09:00:38,3,7,0,10
2023-09-24T09:13:43,3,7,0,10
2023-09-24T09:26:57,3,7,0,10
2023-09-24T09:40:04,3,7,0,10
2023-09-24T09:53:10,3,7,0,10
2023-09-24T10:06:14,3,7,0,10
2023-09-24T10:19:23,3,7,0,10
2023-09-24T10:32:29,3,7,0,10
2023-09-24T10:45:39,3,7,0,10
2023-09-24T10:58:48,3,7,0,10
2023-09-24T11:11:53,3,7,0,10
2023-09-24T11:24:56,3,7,0,10
2023-09-24T11:38:09,3,7,0,10
2023-09-24T11:51:09,3,7,0,10
2023-09-24T12:04:10,3,7,0,10
2023-09-24T12:17:13,3,7,0,10
2023-09-24T12:30:14,3,7,0,10
2023-09-24T12:43:15,3,7,0,10
2023-09-24T12:56:27,3,7,0,10
2023-09-24T13:09:27,3,7,0,10
2023-09-24T13:22:28,3,7,0,10
2023-09-24T13:35:28,3,7,0,10
2023-09-24T13:48:29,3,7,0,10
2023-09-24T14:01:30,3,7,0,10
2023-09-24T14:14:31,3,7,0,10
2023-09-24T14:27:42,3,7,0,10
2023-09-24T14:40:43,3,7,0,10
2023-09-24T14:53:44,3,7,0,10
2023-09-24T15:06:45,3,7,0,10
2023-09-24T15:19:46,3,7,0,10
2023-09-24T15:32:47,3,7,0,10
2023-09-24T15:45:49,3,7,0,10
2023-09-24T15:58:50,3,7,0,10
2023-09-24T16:12:01,3,7,0,10
2023-09-24T16:25:02,3,7,0,10
2023-09-24T16:38:04,3,7,0,10
2023-09-24T16:51:05,3,7,0,10
2023-09-24T17:04:05,3,7,0,10
2023-09-24T17:17:07,3,7,0,10
2023-09-24T17:30:08,3,7,0,10
2023-09-24T17:43:18,3,7,0,10
2023-09-24T17:56:19,3,7,0,10
2023-09-24T18:09:20,3,7,0,10
2023-09-24T18:22:21,3,7,0,10
2023-09-24T18:35:22,3,7,0,10
2023-09-24T18:48:32,3,7,0,10
2023-09-24T19:01:34,3,7,0,10
2023-09-24T19:14:38,3,7,0,10
2023-09-24T19:27:39,3,7,0,10
2023-09-24T19:40:39,3,7,0,10
2023-09-24T19:53:40,3,7,0,10
2023-09-24T20:06:41,3,7,0,10
2023-09-24T20:19:52,3,7,0,10
2023-09-24T20:32:52,3,7,0,10
2023-09-24T20:45:53,3,7,0,10
2023-09-24T20:58:53,3,7,0,10
2023-09-24T21:11:54,3,7,0,10
2023-09-24T21:24:56,3,7,0,10
2023-09-24T21:38:07,3,7,0,10
2023-09-24T21:51:09,3,7,0,10
2023-09-24T22:04:12,3,7,0,10
2023-09-24T22:17:14,3,7,0,10
2023-09-24T22:30:14,3,7,0,10
2023-09-24T22:43:15,3,7,0,10
2023-09-24T22:56:16,3,7,0,10
2023-09-24T23:09:27,3,7,0,10
2023-09-24T23:22:29,3,7,0,10
2023-09-24T23:35:32,3,7,0,10
2023-09-24T23:48:34,3,7,0,10
2023-09-25T00:01:35,3,7,0,10
2023-09-25T00:14:43,3,7,0,10
2023-09-25T00:28:12,3,7,0,10
2023-09-25T00:41:24,3,7,0,10
2023-09-25T00:54:30,3,7,0,10
2023-09-25T01:07:32,3,7,0,10
2023-09-25T01:20:44,3,7,0,10
2023-09-25T01:33:51,3,7,0,10
2023-09-25T01:46:57,3,7,0,10
2023-09-25T02:00:06,3,7,0,10
2023-09-25T02:13:24,3,7,0,10
2023-09-25T02:26:28,3,7,0,10
2023-09-25T02:39:33,3,7,0,10
