time,enrolled,available,waitlisted,total
2023-07-21T08:55:45,0,9999,0,9999
2023-07-21T09:08:12,0,9999,0,9999
2023-07-21T09:20:38,0,9999,0,9999
2023-07-21T09:33:05,0,9999,0,9999
2023-07-21T09:45:31,0,9999,0,9999
2023-07-21T09:57:58,0,9999,0,9999
2023-07-21T10:10:25,0,9999,0,9999
2023-07-21T10:22:53,0,9999,0,9999
2023-07-21T10:35:20,0,9999,0,9999
2023-07-21T10:47:46,0,9999,0,9999
2023-07-21T11:00:13,0,9999,0,9999
2023-07-21T11:12:39,0,9999,0,9999
2023-07-21T11:25:06,0,9999,0,9999
2023-07-21T11:37:32,0,9999,0,9999
2023-07-21T11:50:10,0,9999,0,9999
2023-07-21T12:02:36,0,9999,0,9999
2023-07-21T12:15:03,0,9999,0,9999
2023-07-21T12:27:29,0,9999,0,9999
2023-07-21T12:39:56,0,9999,0,9999
2023-07-21T12:52:23,0,9999,0,9999
2023-07-21T13:04:49,0,9999,0,9999
2023-07-21T13:17:15,0,9999,0,9999
2023-07-21T13:29:43,0,9999,0,9999
2023-07-21T13:42:10,0,9999,0,9999
2023-07-21T13:54:38,0,9999,0,9999
2023-07-21T14:07:07,0,9999,0,9999
2023-07-21T14:19:35,0,9999,0,9999
2023-07-21T14:32:15,0,9999,0,9999
2023-07-21T14:44:43,0,9999,0,9999
2023-07-21T14:57:13,0,9999,0,9999
2023-07-21T15:09:40,0,9999,0,9999
2023-07-21T15:22:06,0,9999,0,9999
2023-07-21T15:34:31,0,9999,0,9999
2023-07-21T15:46:55,0,9999,0,9999
2023-07-21T15:59:18,0,9999,0,9999
2023-07-21T16:11:42,0,9999,0,9999
2023-07-21T16:24:09,0,9999,0,9999
2023-07-21T16:36:36,0,9999,0,9999
2023-07-21T16:49:03,0,9999,0,9999
2023-07-21T17:01:52,0,9999,0,9999
2023-07-21T17:14:21,0,9999,0,9999
2023-07-21T17:26:48,0,9999,0,9999
2023-07-21T17:39:15,0,9999,0,9999
2023-07-21T17:51:43,0,9999,0,9999
2023-07-21T18:04:10,0,9999,0,9999
2023-07-21T18:16:37,0,9999,0,9999
2023-07-21T18:29:04,0,9999,0,9999
2023-07-21T18:41:30,0,9999,0,9999
2023-07-21T18:53:56,0,9999,0,9999
2023-07-21T19:06:23,0,9999,0,9999
2023-07-21T19:18:50,0,9999,0,9999
2023-07-21T19:31:17,0,9999,0,9999
2023-07-21T19:43:54,0,9999,0,9999
2023-07-21T19:56:20,0,9999,0,9999
2023-07-21T20:08:47,0,9999,0,9999
2023-07-21T20:21:14,0,9999,0,9999
2023-07-21T20:33:40,0,9999,0,9999
2023-07-21T20:46:07,0,9999,0,9999
2023-07-21T20:58:34,0,9999,0,9999
2023-07-21T21:11:00,0,9999,0,9999
2023-07-21T21:23:26,0,9999,0,9999
2023-07-21T21:35:53,0,9999,0,9999
2023-07-21T21:48:19,0,9999,0,9999
2023-07-21T22:00:46,0,9999,0,9999
2023-07-21T22:13:13,0,9999,0,9999
2023-07-21T22:25:39,0,9999,0,9999
2023-07-21T22:38:07,0,9999,0,9999
2023-07-21T22:50:33,0,9999,0,9999
2023-07-21T23:03:00,0,9999,0,9999
2023-07-21T23:15:27,0,9999,0,9999
2023-07-21T23:28:06,0,9999,0,9999
2023-07-21T23:40:33,0,9999,0,9999
2023-07-21T23:53:00,0,9999,0,9999
2023-07-22T00:05:27,0,9999,0,9999
2023-07-22T00:18:02,0,9999,0,9999
2023-07-22T00:30:32,0,9999,0,9999
2023-07-22T00:43:02,0,9999,0,9999
2023-07-22T00:55:33,0,9999,0,9999
2023-07-22T01:08:04,0,9999,0,9999
2023-07-22T01:20:34,0,9999,0,9999
2023-07-22T01:33:04,0,9999,0,9999
2023-07-22T01:45:37,0,9999,0,9999
2023-07-22T01:58:07,0,9999,0,9999
2023-07-22T02:10:37,0,9999,0,9999
2023-07-22T02:23:04,0,9999,0,9999
2023-07-22T02:35:32,0,9999,0,9999
2023-07-22T02:47:59,0,9999,0,9999
2023-07-22T03:00:26,0,9999,0,9999
2023-07-22T03:12:56,0,9999,0,9999
2023-07-22T03:25:27,0,9999,0,9999
2023-07-22T03:37:56,0,9999,0,9999
2023-07-22T03:50:35,0,9999,0,9999
2023-07-22T04:03:05,0,9999,0,9999
2023-07-22T04:19:17,0,9999,0,9999
2023-07-22T04:31:49,0,9999,0,9999
2023-07-22T04:44:20,0,9999,0,9999
2023-07-22T04:56:50,0,9999,0,9999
2023-07-22T05:09:19,0,9999,0,9999
2023-07-22T05:21:45,0,9999,0,9999
2023-07-22T05:34:12,0,9999,0,9999
2023-07-22T05:46:38,0,9999,0,9999
2023-07-22T05:59:05,0,9999,0,9999
2023-07-22T06:11:31,0,9999,0,9999
2023-07-22T06:24:03,0,9999,0,9999
2023-07-22T06:36:33,0,9999,0,9999
2023-07-22T06:49:04,0,9999,0,9999
2023-07-22T07:01:34,0,9999,0,9999
2023-07-22T07:14:04,0,9999,0,9999
2023-07-22T07:26:34,0,9999,0,9999
2023-07-22T07:39:03,0,9999,0,9999
2023-07-22T07:51:32,0,9999,0,9999
2023-07-22T08:04:02,0,9999,0,9999
2023-07-22T08:16:32,0,9999,0,9999
2023-07-22T08:29:01,0,9999,0,9999
2023-07-22T08:41:40,0,9999,0,9999
2023-07-22T08:54:10,0,9999,0,9999
2023-07-22T09:06:40,0,9999,0,9999
2023-07-22T09:19:10,0,9999,0,9999
2023-07-22T09:31:39,0,9999,0,9999
2023-07-22T09:44:08,0,9999,0,9999
2023-07-22T09:56:38,0,9999,0,9999
2023-07-22T10:09:08,0,9999,0,9999
2023-07-22T10:21:37,0,9999,0,9999
2023-07-22T10:34:07,0,9999,0,9999
2023-07-22T10:46:36,0,9999,0,9999
2023-07-22T10:59:06,0,9999,0,9999
2023-07-22T11:11:36,0,9999,0,9999
2023-07-22T11:24:05,0,9999,0,9999
2023-07-22T11:36:35,0,9999,0,9999
2023-07-22T11:49:04,0,9999,0,9999
2023-07-22T12:01:32,0,9999,0,9999
2023-07-22T12:13:59,0,9999,0,9999
2023-07-22T12:26:25,0,9999,0,9999
2023-07-22T12:38:52,0,9999,0,9999
2023-07-22T12:51:18,0,9999,0,9999
2023-07-22T13:03:44,0,9999,0,9999
2023-07-22T13:16:10,0,9999,0,9999
2023-07-22T13:28:47,0,9999,0,9999
2023-07-22T13:41:14,0,9999,0,9999
2023-07-22T13:53:40,0,9999,0,9999
2023-07-22T14:06:07,0,9999,0,9999
2023-07-22T14:18:33,0,9999,0,9999
2023-07-22T14:30:59,0,9999,0,9999
2023-07-22T14:43:26,0,9999,0,9999
2023-07-22T14:55:53,0,9999,0,9999
2023-07-22T15:08:19,0,9999,0,9999
2023-07-22T15:20:47,0,9999,0,9999
2023-07-22T15:33:14,0,9999,0,9999
2023-07-22T15:45:40,0,9999,0,9999
2023-07-22T15:58:06,0,9999,0,9999
2023-07-22T16:10:32,0,9999,0,9999
2023-07-22T16:22:58,0,9999,0,9999
2023-07-22T16:35:24,0,9999,0,9999
2023-07-22T16:47:51,0,9999,0,9999
2023-07-22T17:00:27,0,9999,0,9999
2023-07-22T17:12:54,0,9999,0,9999
2023-07-22T17:25:21,0,9999,0,9999
2023-07-22T17:37:47,0,9999,0,9999
2023-07-22T17:50:13,0,9999,0,9999
2023-07-22T18:02:39,0,9999,0,9999
2023-07-22T18:15:05,0,9999,0,9999
2023-07-22T18:27:32,0,9999,0,9999
2023-07-22T18:39:58,0,9999,0,9999
2023-07-22T18:52:25,0,9999,0,9999
2023-07-22T19:04:51,0,9999,0,9999
2023-07-22T19:17:17,0,9999,0,9999
2023-07-22T19:29:44,0,9999,0,9999
2023-07-22T19:42:10,0,9999,0,9999
2023-07-22T19:54:36,0,9999,0,9999
2023-07-22T20:07:02,0,9999,0,9999
2023-07-22T20:19:28,0,9999,0,9999
2023-07-22T20:31:55,0,9999,0,9999
2023-07-22T20:44:21,0,9999,0,9999
2023-07-22T20:56:47,0,9999,0,9999
2023-07-22T21:09:13,0,9999,0,9999
2023-07-22T21:21:40,0,9999,0,9999
2023-07-22T21:34:16,0,9999,0,9999
2023-07-22T21:46:42,0,9999,0,9999
2023-07-22T21:59:09,0,9999,0,9999
2023-07-22T22:11:35,0,9999,0,9999
2023-07-22T22:24:01,0,9999,0,9999
2023-07-22T22:36:28,0,9999,0,9999
2023-07-22T22:48:53,0,9999,0,9999
2023-07-22T23:01:19,0,9999,0,9999
2023-07-22T23:13:47,0,9999,0,9999
2023-07-22T23:26:13,0,9999,0,9999
2023-07-22T23:38:40,0,9999,0,9999
2023-07-22T23:51:07,0,9999,0,9999
2023-07-23T00:03:34,0,9999,0,9999
2023-07-23T00:16:04,0,9999,0,9999
2023-07-23T00:28:33,0,9999,0,9999
2023-07-23T00:41:03,0,9999,0,9999
2023-07-23T00:53:32,0,9999,0,9999
2023-07-23T01:06:11,0,9999,0,9999
2023-07-23T01:18:39,0,9999,0,9999
2023-07-23T01:31:08,0,9999,0,9999
2023-07-23T01:43:37,0,9999,0,9999
2023-07-23T01:56:07,0,9999,0,9999
2023-07-23T02:08:38,0,9999,0,9999
2023-07-23T02:21:08,0,9999,0,9999
2023-07-23T02:33:41,0,9999,0,9999
2023-07-23T02:46:10,0,9999,0,9999
2023-07-23T02:58:38,0,9999,0,9999
2023-07-23T03:11:07,0,9999,0,9999
2023-07-23T03:23:37,0,9999,0,9999
2023-07-23T03:36:07,0,9999,0,9999
2023-07-23T03:48:36,0,9999,0,9999
2023-07-23T04:01:05,0,9999,0,9999
