time,enrolled,available,waitlisted,total
2023-05-25T01:19:59,0,60,0,60
2023-05-25T01:31:35,0,60,0,60
2023-05-25T01:43:20,0,60,0,60
2023-05-25T01:54:55,0,60,0,60
2023-05-25T02:06:30,0,60,0,60
2023-05-25T02:18:07,0,60,0,60
2023-05-25T02:29:42,0,60,0,60
2023-05-25T02:41:16,0,60,0,60
2023-05-25T02:52:49,0,60,0,60
2023-05-25T03:04:22,0,60,0,60
2023-05-25T03:16:00,0,60,0,60
2023-05-25T03:27:59,0,60,0,60
2023-05-25T03:39:36,0,60,0,60
2023-05-25T03:51:11,0,60,0,60
2023-05-25T04:02:47,0,60,0,60
2023-05-25T04:22:33,0,60,0,60
2023-05-25T04:34:11,0,60,0,60
2023-05-25T04:45:47,0,60,0,60
2023-05-25T04:57:23,0,60,0,60
2023-05-25T05:09:00,0,60,0,60
2023-05-25T05:20:36,0,60,0,60
2023-05-25T05:32:13,0,60,0,60
2023-05-25T05:43:49,0,60,0,60
2023-05-25T05:55:25,0,60,0,60
2023-05-25T06:07:01,0,60,0,60
2023-05-25T06:18:37,0,60,0,60
2023-05-25T06:30:12,0,60,0,60
2023-05-25T06:41:46,0,60,0,60
2023-05-25T06:53:22,0,60,0,60
2023-05-25T07:04:58,0,60,0,60
2023-05-25T07:16:32,0,60,0,60
2023-05-25T07:28:06,0,60,0,60
2023-05-25T07:39:43,0,60,0,60
2023-05-25T07:51:18,0,60,0,60
2023-05-25T08:02:53,0,60,0,60
2023-05-25T08:14:28,0,60,0,60
2023-05-25T08:26:12,0,60,0,60
2023-05-25T08:37:45,0,60,0,60
2023-05-25T08:49:18,0,60,0,60
2023-05-25T09:00:51,0,60,0,60
2023-05-25T09:12:24,0,60,0,60
2023-05-25T09:23:57,0,60,0,60
2023-05-25T09:35:29,0,60,0,60
2023-05-25T09:47:02,0,60,0,60
2023-05-25T09:58:35,0,60,0,60
2023-05-25T10:10:20,0,60,0,60
2023-05-25T10:21:53,0,60,0,60
2023-05-25T10:33:26,0,60,0,60
2023-05-25T10:44:58,0,60,0,60
2023-05-25T10:56:41,0,60,0,60
2023-05-25T11:08:13,0,60,0,60
2023-05-25T11:19:46,0,60,0,60
2023-05-25T11:31:19,0,60,0,60
2023-05-25T11:42:52,0,60,0,60
2023-05-25T11:54:25,0,60,0,60
2023-05-25T12:06:09,0,60,0,60
