time,enrolled,available,waitlisted,total
2023-05-25T01:20:41,0,24,0,24
2023-05-25T01:32:17,0,24,0,24
2023-05-25T01:44:02,0,24,0,24
2023-05-25T01:55:37,0,24,0,24
2023-05-25T02:07:12,0,24,0,24
2023-05-25T02:18:49,0,24,0,24
2023-05-25T02:30:24,0,24,0,24
2023-05-25T02:41:58,0,24,0,24
2023-05-25T02:53:30,0,24,0,24
2023-05-25T03:05:04,0,24,0,24
2023-05-25T03:16:42,0,24,0,24
2023-05-25T03:28:41,0,24,0,24
2023-05-25T03:40:18,0,24,0,24
2023-05-25T03:51:53,0,24,0,24
2023-05-25T04:03:29,0,24,0,24
2023-05-25T04:23:16,0,24,0,24
2023-05-25T04:34:53,0,24,0,24
2023-05-25T04:46:29,0,24,0,24
2023-05-25T04:58:05,0,24,0,24
2023-05-25T05:09:42,0,24,0,24
2023-05-25T05:21:18,0,24,0,24
2023-05-25T05:32:55,0,24,0,24
2023-05-25T05:44:31,0,24,0,24
2023-05-25T05:56:07,0,24,0,24
2023-05-25T06:07:43,0,24,0,24
2023-05-25T06:19:19,0,24,0,24
2023-05-25T06:30:53,0,24,0,24
2023-05-25T06:42:28,0,24,0,24
2023-05-25T06:54:04,0,24,0,24
2023-05-25T07:05:39,0,24,0,24
2023-05-25T07:17:14,0,24,0,24
2023-05-25T07:28:48,0,24,0,24
2023-05-25T07:40:25,0,24,0,24
2023-05-25T07:52:00,0,24,0,24
2023-05-25T08:03:35,0,24,0,24
2023-05-25T08:15:09,0,24,0,24
2023-05-25T08:26:54,0,24,0,24
2023-05-25T08:38:27,0,24,0,24
2023-05-25T08:49:59,0,24,0,24
2023-05-25T09:01:33,0,24,0,24
2023-05-25T09:13:06,0,24,0,24
2023-05-25T09:24:38,0,24,0,24
2023-05-25T09:36:11,0,24,0,24
2023-05-25T09:47:43,0,24,0,24
2023-05-25T09:59:17,0,24,0,24
2023-05-25T10:11:02,0,24,0,24
2023-05-25T10:22:35,0,24,0,24
2023-05-25T10:34:07,0,24,0,24
2023-05-25T10:45:40,0,24,0,24
2023-05-25T10:57:23,0,24,0,24
2023-05-25T11:08:55,0,24,0,24
2023-05-25T11:20:28,0,24,0,24
2023-05-25T11:32:01,0,24,0,24
2023-05-25T11:43:33,0,24,0,24
2023-05-25T11:55:18,0,24,0,24
2023-05-25T12:06:51,0,24,0,24
2023-05-25T12:18:23,0,24,0,24
2023-05-25T12:29:56,0,24,0,24
2023-05-25T12:41:29,0,24,0,24
2023-05-25T12:53:02,0,24,0,24
2023-05-25T13:04:45,0,24,0,24
2023-05-25T13:16:18,0,24,0,24
2023-05-25T13:27:51,0,24,0,24
2023-05-25T13:39:24,0,24,0,24
2023-05-25T13:50:57,0,24,0,24
2023-05-25T14:02:42,0,24,0,24
2023-05-25T14:14:15,0,24,0,24
2023-05-25T14:25:49,0,24,0,24
2023-05-25T14:37:22,0,24,0,24
2023-05-25T14:48:54,0,24,0,24
2023-05-25T15:00:38,0,24,0,24
2023-05-25T15:12:12,0,24,0,24
2023-05-25T15:23:47,0,24,0,24
2023-05-25T15:35:21,0,24,0,24
2023-05-25T15:46:56,0,24,0,24
2023-05-25T15:58:31,0,24,0,24
2023-05-25T16:10:16,0,24,0,24
2023-05-25T16:21:51,0,24,0,24
2023-05-25T16:33:26,0,24,0,24
2023-05-25T16:45:01,0,24,0,24
2023-05-25T16:56:36,0,24,0,24
2023-05-25T17:08:13,0,24,0,24
2023-05-25T17:20:01,0,24,0,24
2023-05-25T17:31:36,0,24,0,24
2023-05-25T17:43:11,0,24,0,24
2023-05-25T17:54:47,0,24,0,24
2023-05-25T18:06:24,0,24,0,24
2023-05-25T18:18:00,0,24,0,24
2023-05-25T18:29:35,0,24,0,24
2023-05-25T18:41:21,0,24,0,24
2023-05-25T18:52:57,0,24,0,24
2023-05-25T19:04:33,0,24,0,24
2023-05-25T19:16:09,0,24,0,24
2023-05-25T19:27:44,0,24,0,24
2023-05-25T19:39:20,0,24,0,24
2023-05-25T19:51:06,0,24,0,24
2023-05-25T20:02:42,0,24,0,24
2023-05-25T20:14:18,0,24,0,24
2023-05-25T20:25:54,0,24,0,24
2023-05-25T20:37:29,0,24,0,24
2023-05-25T20:49:05,0,24,0,24
2023-05-25T21:00:40,0,24,0,24
2023-05-25T21:12:16,0,24,0,24
2023-05-25T21:24:03,0,24,0,24
2023-05-25T21:35:39,0,24,0,24
2023-05-25T21:47:15,0,24,0,24
2023-05-25T21:58:50,0,24,0,24
2023-05-25T22:10:26,0,24,0,24
2023-05-25T22:22:01,0,24,0,24
2023-05-25T22:33:37,0,24,0,24
2023-05-25T22:45:23,0,24,0,24
2023-05-25T22:56:58,0,24,0,24
2023-05-25T23:08:37,0,24,0,24
2023-05-25T23:20:12,0,24,0,24
2023-05-25T23:31:48,0,24,0,24
2023-05-25T23:43:24,0,24,0,24
2023-05-25T23:55:01,0,24,0,24
2023-05-26T00:06:56,0,24,0,24
2023-05-26T00:18:36,0,24,0,24
2023-05-26T00:30:15,0,24,0,24
2023-05-26T00:41:54,0,24,0,24
2023-05-26T00:53:33,0,24,0,24
2023-05-26T01:05:13,0,24,0,24
2023-05-26T01:16:51,0,24,0,24
2023-05-26T01:28:29,0,24,0,24
2023-05-26T01:40:07,0,24,0,24
2023-05-26T01:51:55,0,24,0,24
2023-05-26T02:03:37,0,24,0,24
2023-05-26T02:15:15,0,24,0,24
2023-05-26T02:26:52,0,24,0,24
2023-05-26T02:38:31,0,24,0,24
2023-05-26T02:50:20,0,24,0,24
2023-05-26T03:02:01,0,24,0,24
2023-05-26T03:13:40,0,24,0,24
2023-05-26T03:25:21,0,24,0,24
2023-05-26T03:36:59,0,24,0,24
2023-05-26T03:48:38,0,24,0,24
2023-05-26T04:00:16,0,24,0,24
2023-05-26T04:12:04,0,24,0,24
2023-05-26T04:34:28,0,24,0,24
2023-05-26T04:46:09,0,24,0,24
2023-05-26T04:57:49,0,24,0,24
2023-05-26T05:09:31,0,24,0,24
2023-05-26T05:21:11,0,24,0,24
2023-05-26T05:32:49,0,24,0,24
2023-05-26T05:44:28,0,24,0,24
2023-05-26T05:56:07,0,24,0,24
2023-05-26T06:07:45,0,24,0,24
2023-05-26T06:19:25,0,24,0,24
2023-05-26T06:31:04,0,24,0,24
2023-05-26T06:42:42,0,24,0,24
2023-05-26T06:54:20,0,24,0,24
2023-05-26T07:05:59,0,24,0,24
2023-05-26T07:17:37,0,24,0,24
2023-05-26T07:29:16,0,24,0,24
2023-05-26T07:41:01,0,24,0,24
2023-05-26T07:52:39,0,24,0,24
2023-05-26T08:04:15,0,24,0,24
2023-05-26T08:15:51,0,24,0,24
2023-05-26T08:27:27,0,24,0,24
2023-05-26T08:39:03,0,24,0,24
2023-05-26T08:50:39,0,24,0,24
2023-05-26T09:02:15,0,24,0,24
2023-05-26T09:13:52,0,24,0,24
2023-05-26T09:25:28,0,24,0,24
2023-05-26T09:37:15,0,24,0,24
2023-05-26T09:48:51,0,24,0,24
2023-05-26T10:00:27,0,24,0,24
2023-05-26T10:12:04,0,24,0,24
2023-05-26T10:23:40,0,24,0,24
2023-05-26T10:35:16,0,24,0,24
2023-05-26T10:47:04,0,24,0,24
2023-05-26T10:58:40,0,24,0,24
2023-05-26T11:10:17,0,24,0,24
2023-05-26T11:21:54,0,24,0,24
2023-05-26T11:33:30,0,24,0,24
2023-05-26T11:45:16,0,24,0,24
2023-05-26T11:56:52,0,24,0,24
2023-05-26T12:08:29,0,24,0,24
2023-05-26T12:20:04,0,24,0,24
2023-05-26T12:31:41,0,24,0,24
2023-05-26T12:43:28,0,24,0,24
2023-05-26T12:55:04,0,24,0,24
2023-05-26T13:06:40,0,24,0,24
2023-05-26T13:18:15,0,24,0,24
2023-05-26T13:30:01,0,24,0,24
2023-05-26T13:41:38,0,24,0,24
2023-05-26T13:53:14,0,24,0,24
2023-05-26T14:04:50,0,24,0,24
2023-05-26T14:16:25,0,24,0,24
2023-05-26T14:28:12,0,24,0,24
2023-05-26T14:39:49,0,24,0,24
2023-05-26T14:51:25,0,24,0,24
2023-05-26T15:03:01,0,24,0,24
2023-05-26T15:14:39,0,24,0,24
2023-05-26T15:26:25,0,24,0,24
2023-05-26T15:38:01,0,24,0,24
2023-05-26T15:49:36,0,24,0,24
2023-05-26T16:01:13,0,24,0,24
2023-05-26T16:12:49,0,24,0,24
2023-05-26T16:24:24,0,24,0,24
2023-05-26T16:36:10,0,24,0,24
2023-05-26T16:47:46,0,24,0,24
2023-05-26T16:59:21,0,24,0,24
2023-05-26T17:10:58,0,24,0,24
2023-05-26T17:22:34,0,24,0,24
2023-05-26T17:34:10,0,24,0,24
2023-05-26T17:45:55,0,24,0,24
2023-05-26T17:57:31,0,24,0,24
2023-05-26T18:09:07,0,24,0,24
2023-05-26T18:20:43,0,24,0,24
2023-05-26T18:32:19,0,24,0,24
2023-05-26T18:43:54,0,24,0,24
2023-05-26T18:55:40,0,24,0,24
2023-05-26T19:07:16,0,24,0,24
2023-05-26T19:18:53,0,24,0,24
2023-05-26T19:30:29,0,24,0,24
2023-05-26T19:42:04,0,24,0,24
2023-05-26T19:53:39,0,24,0,24
2023-05-26T20:05:16,0,24,0,24
2023-05-26T20:17:01,0,24,0,24
2023-05-26T20:28:37,0,24,0,24
2023-05-26T20:40:12,0,24,0,24
2023-05-26T20:51:47,0,24,0,24
2023-05-26T21:03:23,0,24,0,24
2023-05-26T21:15:00,0,24,0,24
2023-05-26T21:26:36,0,24,0,24
2023-05-26T21:38:12,0,24,0,24
2023-05-26T21:49:58,0,24,0,24
2023-05-26T22:01:34,0,24,0,24
2023-05-26T22:13:10,0,24,0,24
2023-05-26T22:24:46,0,24,0,24
2023-05-26T22:36:23,0,24,0,24
2023-05-26T22:47:58,0,24,0,24
2023-05-26T22:59:34,0,24,0,24
2023-05-26T23:11:23,0,24,0,24
2023-05-26T23:22:59,0,24,0,24
2023-05-26T23:34:36,0,24,0,24
2023-05-26T23:46:12,0,24,0,24
2023-05-26T23:57:48,0,24,0,24
2023-05-27T00:09:26,0,24,0,24
2023-05-27T00:21:07,0,24,0,24
2023-05-27T00:32:45,0,24,0,24
2023-05-27T00:44:24,0,24,0,24
2023-05-27T00:56:03,0,24,0,24
2023-05-27T01:07:42,0,24,0,24
2023-05-27T01:19:31,0,24,0,24
2023-05-27T01:31:10,0,24,0,24
2023-05-27T01:42:49,0,24,0,24
2023-05-27T01:54:28,0,24,0,24
