time,enrolled,available,waitlisted,total
2023-08-22T11:56:24,0,15,0,15
2023-08-22T12:09:08,0,15,0,15
2023-08-22T12:21:52,0,15,0,15
2023-08-22T12:34:35,0,15,0,15
2023-08-22T12:47:31,0,15,0,15
2023-08-22T13:00:15,0,15,0,15
2023-08-22T13:12:58,0,15,0,15
2023-08-22T13:25:41,0,15,0,15
2023-08-22T13:38:27,0,15,0,15
2023-08-22T13:51:10,0,15,0,15
2023-08-22T14:03:54,0,15,0,15
2023-08-22T14:16:49,0,15,0,15
2023-08-22T14:29:32,0,15,0,15
2023-08-22T14:42:16,0,15,0,15
2023-08-22T14:55:00,0,15,0,15
2023-08-22T15:07:44,0,15,0,15
2023-08-22T15:20:28,0,15,0,15
2023-08-22T15:33:12,0,15,0,15
2023-08-22T15:46:05,0,15,0,15
2023-08-22T15:58:48,0,15,0,15
2023-08-22T16:11:31,0,15,0,15
2023-08-22T16:24:14,0,15,0,15
2023-08-22T16:36:57,0,15,0,15
2023-08-22T16:49:40,0,15,0,15
2023-08-22T17:02:26,0,15,0,15
2023-08-22T17:15:12,0,15,0,15
2023-08-22T17:27:55,0,15,0,15
2023-08-22T17:40:50,0,15,0,15
2023-08-22T17:53:34,0,15,0,15
2023-08-22T18:06:16,0,15,0,15
2023-08-22T18:19:00,0,15,0,15
2023-08-22T18:31:43,0,15,0,15
2023-08-22T18:44:27,0,15,0,15
2023-08-22T18:57:11,0,15,0,15
2023-08-22T19:09:57,0,15,0,15
2023-08-22T19:22:40,0,15,0,15
2023-08-22T19:35:34,0,15,0,15
2023-08-22T19:48:17,0,15,0,15
2023-08-22T20:01:00,0,15,0,15
2023-08-22T20:13:43,0,15,0,15
2023-08-22T20:26:27,0,15,0,15
2023-08-22T20:39:10,0,15,0,15
2023-08-22T20:51:53,0,15,0,15
2023-08-22T21:04:47,0,15,0,15
2023-08-22T21:17:31,0,15,0,15
2023-08-22T21:30:14,0,15,0,15
2023-08-22T21:42:58,0,15,0,15
2023-08-22T21:55:41,0,15,0,15
2023-08-22T22:08:24,0,15,0,15
2023-08-22T22:21:08,0,15,0,15
2023-08-22T22:33:51,0,15,0,15
2023-08-22T22:46:34,0,15,0,15
2023-08-22T22:59:29,0,15,0,15
2023-08-22T23:12:15,0,15,0,15
2023-08-22T23:24:59,0,15,0,15
2023-08-22T23:37:42,0,15,0,15
2023-08-22T23:50:26,0,15,0,15
2023-08-23T00:03:10,0,15,0,15
2023-08-23T00:15:56,0,15,0,15
2023-08-23T00:28:42,0,15,0,15
2023-08-23T00:41:30,0,15,0,15
2023-08-23T00:54:17,0,15,0,15
2023-08-23T01:07:04,0,15,0,15
2023-08-23T01:19:52,0,15,0,15
2023-08-23T01:32:46,0,15,0,15
2023-08-23T01:45:33,0,15,0,15
2023-08-23T01:58:21,0,15,0,15
2023-08-23T02:11:17,0,15,0,15
2023-08-23T02:24:01,0,15,0,15
2023-08-23T02:36:47,0,15,0,15
2023-08-23T02:49:43,0,15,0,15
2023-08-23T03:02:36,0,15,0,15
2023-08-23T03:15:34,0,15,0,15
2023-08-23T03:28:21,0,15,0,15
2023-08-23T03:41:19,0,15,0,15
2023-08-23T03:54:05,0,15,0,15
2023-08-23T04:06:52,0,15,0,15
2023-08-23T04:32:11,0,15,0,15
2023-08-23T04:44:59,0,15,0,15
2023-08-23T04:59:26,0,15,0,15
2023-08-23T05:12:18,0,15,0,15
2023-08-23T05:25:05,0,15,0,15
2023-08-23T05:38:00,0,15,0,15
2023-08-23T05:50:48,0,15,0,15
2023-08-23T06:03:34,0,15,0,15
2023-08-23T06:16:21,0,15,0,15
2023-08-23T06:29:16,0,15,0,15
2023-08-23T06:42:04,0,15,0,15
2023-08-23T06:54:50,0,15,0,15
2023-08-23T07:07:45,0,15,0,15
2023-08-23T07:20:30,0,15,0,15
2023-08-23T07:33:14,0,15,0,15
2023-08-23T07:45:59,0,15,0,15
2023-08-23T07:58:42,0,15,0,15
2023-08-23T08:11:24,0,15,0,15
2023-08-23T08:24:08,0,15,0,15
2023-08-23T08:36:52,0,15,0,15
2023-08-23T08:49:35,0,15,0,15
2023-08-23T09:02:29,1,14,0,15
2023-08-23T09:15:13,1,14,0,15
2023-08-23T09:27:57,1,14,0,15
2023-08-23T09:40:41,1,14,0,15
2023-08-23T09:53:24,1,14,0,15
2023-08-23T10:06:07,1,14,0,15
2023-08-23T10:18:50,1,14,0,15
2023-08-23T10:31:34,1,14,0,15
2023-08-23T10:44:16,1,14,0,15
2023-08-23T10:57:00,1,14,0,15
2023-08-23T11:09:55,1,14,0,15
2023-08-23T11:22:39,1,14,0,15
2023-08-23T11:35:31,1,14,0,15
2023-08-23T11:48:14,1,14,0,15
2023-08-23T12:00:59,1,14,0,15
2023-08-23T12:13:43,1,14,0,15
2023-08-23T12:26:27,1,14,0,15
2023-08-23T12:39:12,1,14,0,15
2023-08-23T12:52:09,1,14,0,15
2023-08-23T13:04:53,1,14,0,15
2023-08-23T13:17:37,1,14,0,15
2023-08-23T13:30:20,1,14,0,15
2023-08-23T13:43:04,1,14,0,15
2023-08-23T13:55:47,1,14,0,15
2023-08-23T14:08:32,1,14,0,15
2023-08-23T14:21:16,1,14,0,15
2023-08-23T14:34:11,1,14,0,15
2023-08-23T14:46:55,1,14,0,15
2023-08-23T14:59:39,1,14,0,15
2023-08-23T15:12:24,1,14,0,15
2023-08-23T15:25:08,1,14,0,15
2023-08-23T15:37:52,1,14,0,15
2023-08-23T15:50:37,1,14,0,15
2023-08-23T16:03:21,1,14,0,15
2023-08-23T16:16:05,1,14,0,15
2023-08-23T16:29:02,1,14,0,15
2023-08-23T16:41:47,1,14,0,15
2023-08-23T16:54:31,1,14,0,15
2023-08-23T17:07:15,1,14,0,15
2023-08-23T17:20:00,1,14,0,15
2023-08-23T17:32:44,1,14,0,15
2023-08-23T17:45:28,1,14,0,15
2023-08-23T17:58:12,1,14,0,15
2023-08-23T18:10:57,1,14,0,15
2023-08-23T18:23:41,1,14,0,15
2023-08-23T18:36:35,1,14,0,15
2023-08-23T18:49:18,1,14,0,15
2023-08-23T19:02:03,1,14,0,15
2023-08-23T19:14:47,1,14,0,15
2023-08-23T19:27:31,1,14,0,15
2023-08-23T19:40:15,1,14,0,15
2023-08-23T19:52:59,1,14,0,15
2023-08-23T20:05:43,1,14,0,15
2023-08-23T20:18:36,1,14,0,15
2023-08-23T20:31:20,1,14,0,15
2023-08-23T20:44:03,1,14,0,15
2023-08-23T20:56:47,1,14,0,15
2023-08-23T21:09:32,1,14,0,15
2023-08-23T21:22:16,1,14,0,15
2023-08-23T21:35:00,1,14,0,15
2023-08-23T21:47:43,1,14,0,15
2023-08-23T22:00:27,1,14,0,15
2023-08-23T22:13:12,1,14,0,15
2023-08-23T22:25:55,1,14,0,15
2023-08-23T22:38:49,1,14,0,15
2023-08-23T22:51:32,1,14,0,15
2023-08-23T23:04:17,1,14,0,15
