time,enrolled,available,waitlisted,total
2023-07-27T13:23:48,0,0,0,0
2023-07-27T13:36:16,0,0,0,0
2023-07-27T13:48:45,0,0,0,0
2023-07-27T14:01:23,0,0,0,0
2023-07-27T14:14:02,0,0,0,0
2023-07-27T14:27:13,0,0,0,0
2023-07-27T14:39:42,0,0,0,0
2023-07-27T14:52:11,0,0,0,0
2023-07-27T15:04:40,0,0,0,0
2023-07-27T15:17:08,0,0,0,0
2023-07-27T15:29:36,0,0,0,0
2023-07-27T15:42:05,0,0,0,0
2023-07-27T15:54:33,0,0,0,0
2023-07-27T16:07:12,0,0,0,0
2023-07-27T16:19:41,0,0,0,0
2023-07-27T16:32:10,0,0,0,0
2023-07-27T16:44:39,0,0,0,0
2023-07-27T16:57:08,0,0,0,0
2023-07-27T17:09:37,0,0,0,0
2023-07-27T17:22:07,0,0,0,0
2023-07-27T17:34:36,0,0,0,0
2023-07-27T17:47:05,0,0,0,0
2023-07-27T17:59:33,0,0,0,0
2023-07-27T18:12:02,0,0,0,0
2023-07-27T18:24:43,0,0,0,0
2023-07-27T18:37:12,0,0,0,0
2023-07-27T18:49:44,0,0,0,0
2023-07-27T19:02:33,0,0,0,0
2023-07-27T19:15:02,0,0,0,0
2023-07-27T19:27:30,0,0,0,0
2023-07-27T19:40:00,0,0,0,0
2023-07-27T19:52:29,0,0,0,0
2023-07-27T20:04:58,0,0,0,0
2023-07-27T20:17:27,0,0,0,0
2023-07-27T20:30:05,0,0,0,0
2023-07-27T20:42:34,0,0,0,0
2023-07-27T20:55:02,0,0,0,0
2023-07-27T21:07:31,0,0,0,0
2023-07-27T21:20:00,0,0,0,0
2023-07-27T21:32:29,0,0,0,0
2023-07-27T21:44:58,0,0,0,0
2023-07-27T21:57:27,0,0,0,0
2023-07-27T22:10:06,0,0,0,0
2023-07-27T22:22:35,0,0,0,0
2023-07-27T22:35:05,0,0,0,0
2023-07-27T22:47:34,0,0,0,0
2023-07-27T23:00:03,0,0,0,0
2023-07-27T23:12:33,0,0,0,0
2023-07-27T23:25:03,0,0,0,0
2023-07-27T23:37:33,0,0,0,0
2023-07-27T23:50:02,0,0,0,0
2023-07-28T00:02:32,0,0,0,0
2023-07-28T00:15:06,0,0,0,0
2023-07-28T00:27:39,0,0,0,0
2023-07-28T00:40:12,0,0,0,0
2023-07-28T00:52:45,0,0,0,0
2023-07-28T01:05:29,0,0,0,0
2023-07-28T01:18:02,0,0,0,0
2023-07-28T01:30:35,0,0,0,0
2023-07-28T01:43:10,0,0,0,0
2023-07-28T01:55:46,0,0,0,0
2023-07-28T02:08:21,0,0,0,0
2023-07-28T02:21:06,0,0,0,0
2023-07-28T02:33:39,0,0,0,0
2023-07-28T02:46:12,0,0,0,0
2023-07-28T02:58:43,0,0,0,0
2023-07-28T03:11:15,0,0,0,0
2023-07-28T03:23:47,0,0,0,0
2023-07-28T03:36:19,0,0,0,0
2023-07-28T03:48:51,0,0,0,0
2023-07-28T04:01:23,0,0,0,0
2023-07-28T04:13:56,0,0,0,0
2023-07-28T04:35:12,0,0,0,0
2023-07-28T04:47:47,0,0,0,0
2023-07-28T05:00:21,0,0,0,0
2023-07-28T05:12:55,0,0,0,0
2023-07-28T05:25:27,0,0,0,0
2023-07-28T05:37:59,0,0,0,0
2023-07-28T05:50:32,0,0,0,0
2023-07-28T06:03:04,0,0,0,0
2023-07-28T06:15:35,0,0,0,0
2023-07-28T06:28:07,0,0,0,0
2023-07-28T06:40:39,0,0,0,0
2023-07-28T06:53:11,0,0,0,0
2023-07-28T07:05:42,0,0,0,0
2023-07-28T07:18:13,0,0,0,0
2023-07-28T07:30:44,0,0,0,0
2023-07-28T07:43:14,0,0,0,0
2023-07-28T07:55:42,0,0,0,0
2023-07-28T08:08:11,0,0,0,0
2023-07-28T08:20:42,0,0,0,0
2023-07-28T08:33:12,0,0,0,0
2023-07-28T08:45:40,0,0,0,0
2023-07-28T08:58:18,0,0,0,0
2023-07-28T09:10:47,0,0,0,0
2023-07-28T09:23:16,0,0,0,0
2023-07-28T09:35:46,0,0,0,0
2023-07-28T09:48:15,0,0,0,0
2023-07-28T10:00:44,0,0,0,0
2023-07-28T10:13:14,0,0,0,0
2023-07-28T10:25:43,0,0,0,0
2023-07-28T10:38:12,0,0,0,0
2023-07-28T10:50:51,0,0,0,0
2023-07-28T11:03:20,0,0,0,0
2023-07-28T11:15:49,0,0,0,0
2023-07-28T11:28:18,0,0,0,0
2023-07-28T11:40:47,0,0,0,0
2023-07-28T11:53:15,0,0,0,0
2023-07-28T12:05:44,0,0,0,0
2023-07-28T12:18:13,0,0,0,0
2023-07-28T12:30:42,0,0,0,0
2023-07-28T12:43:11,0,0,0,0
2023-07-28T12:55:52,0,0,0,0
2023-07-28T13:08:21,0,0,0,0
2023-07-28T13:20:50,0,0,0,0
2023-07-28T13:33:19,0,0,0,0
2023-07-28T13:45:48,0,0,0,0
2023-07-28T13:58:18,0,0,0,0
2023-07-28T14:10:47,0,0,0,0
2023-07-28T14:23:17,0,0,0,0
2023-07-28T14:35:46,0,0,0,0
2023-07-28T14:48:26,0,0,0,0
2023-07-28T15:00:55,0,0,0,0
2023-07-28T15:13:40,0,0,0,0
2023-07-28T15:26:09,0,0,0,0
2023-07-28T15:38:39,0,0,0,0
2023-07-28T15:51:08,0,0,0,0
2023-07-28T16:03:37,0,0,0,0
2023-07-28T16:16:07,0,0,0,0
2023-07-28T16:28:37,0,0,0,0
2023-07-28T16:41:07,0,0,0,0
2023-07-28T16:53:36,0,0,0,0
2023-07-28T17:06:17,0,0,0,0
2023-07-28T17:18:48,0,0,0,0
2023-07-28T17:31:19,0,0,0,0
2023-07-28T17:43:48,0,0,0,0
2023-07-28T17:56:18,0,0,0,0
2023-07-28T18:08:48,0,0,0,0
2023-07-28T18:21:17,0,0,0,0
2023-07-28T18:33:48,0,0,0,0
2023-07-28T18:46:17,0,0,0,0
2023-07-28T18:58:47,0,0,0,0
2023-07-28T19:11:17,0,0,0,0
2023-07-28T19:23:47,0,0,0,0
2023-07-28T19:36:17,0,0,0,0
2023-07-28T19:48:57,0,0,0,0
2023-07-28T20:01:27,0,0,0,0
2023-07-28T20:13:57,0,0,0,0
2023-07-28T20:26:26,0,0,0,0
2023-07-28T20:38:56,0,0,0,0
2023-07-28T20:51:25,0,0,0,0
2023-07-28T21:03:55,0,0,0,0
2023-07-28T21:16:24,0,0,0,0
2023-07-28T21:28:54,0,0,0,0
2023-07-28T21:41:24,0,0,0,0
2023-07-28T21:53:54,0,0,0,0
2023-07-28T22:06:24,0,0,0,0
2023-07-28T22:19:03,0,0,0,0
2023-07-28T22:31:33,0,0,0,0
2023-07-28T22:44:03,0,0,0,0
2023-07-28T22:56:32,0,0,0,0
2023-07-28T23:09:03,0,0,0,0
2023-07-28T23:21:33,0,0,0,0
2023-07-28T23:34:04,0,0,0,0
2023-07-28T23:46:34,0,0,0,0
2023-07-28T23:59:04,0,0,0,0
2023-07-29T00:11:36,0,0,0,0
2023-07-29T00:24:13,0,0,0,0
2023-07-29T00:36:46,0,0,0,0
2023-07-29T00:49:20,0,0,0,0
2023-07-29T01:01:55,0,0,0,0
2023-07-29T01:14:28,0,0,0,0
2023-07-29T01:27:14,0,0,0,0
2023-07-29T01:39:47,0,0,0,0
2023-07-29T01:52:23,0,0,0,0
2023-07-29T02:04:54,0,0,0,0
2023-07-29T02:17:24,0,0,0,0
2023-07-29T02:29:54,0,0,0,0
2023-07-29T02:42:25,0,0,0,0
2023-07-29T02:54:54,0,0,0,0
2023-07-29T03:07:25,0,0,0,0
2023-07-29T03:19:57,0,0,0,0
2023-07-29T03:32:29,0,0,0,0
2023-07-29T03:45:02,0,0,0,0
2023-07-29T03:57:36,0,0,0,0
2023-07-29T04:10:10,0,0,0,0
2023-07-29T04:33:27,0,0,0,0
2023-07-29T04:46:02,0,0,0,0
2023-07-29T04:58:36,0,0,0,0
2023-07-29T05:11:09,0,0,0,0
2023-07-29T05:23:41,0,0,0,0
2023-07-29T05:36:10,0,0,0,0
2023-07-29T05:48:40,0,0,0,0
2023-07-29T06:01:10,0,0,0,0
2023-07-29T06:13:41,0,0,0,0
2023-07-29T06:26:11,0,0,0,0
2023-07-29T06:38:41,0,0,0,0
2023-07-29T06:51:10,0,0,0,0
2023-07-29T07:03:43,0,0,0,0
2023-07-29T07:16:22,0,0,0,0
2023-07-29T07:28:56,0,0,0,0
2023-07-29T07:41:29,0,0,0,0
2023-07-29T07:54:03,0,0,0,0
2023-07-29T08:06:39,0,0,0,0
2023-07-29T08:19:19,0,0,0,0
2023-07-29T08:31:53,0,0,0,0
2023-07-29T08:44:26,0,0,0,0
2023-07-29T08:56:58,0,0,0,0
2023-07-29T09:09:32,0,0,0,0
2023-07-29T09:22:04,0,0,0,0
2023-07-29T09:34:37,0,0,0,0
2023-07-29T09:47:10,0,0,0,0
2023-07-29T09:59:43,0,0,0,0
2023-07-29T10:12:15,0,0,0,0
2023-07-29T10:24:48,0,0,0,0
2023-07-29T10:37:20,0,0,0,0
2023-07-29T10:50:04,0,0,0,0
2023-07-29T11:02:37,0,0,0,0
2023-07-29T11:15:09,0,0,0,0
2023-07-29T11:27:41,0,0,0,0
2023-07-29T11:40:15,0,0,0,0
2023-07-29T11:52:49,0,0,0,0
2023-07-29T12:05:22,0,0,0,0
2023-07-29T12:17:55,0,0,0,0
2023-07-29T12:30:28,0,0,0,0
2023-07-29T12:43:01,0,0,0,0
2023-07-29T12:55:33,0,0,0,0
2023-07-29T13:08:05,0,0,0,0
2023-07-29T13:20:36,0,0,0,0
2023-07-29T13:33:06,0,0,0,0
2023-07-29T13:45:35,0,0,0,0
2023-07-29T13:58:14,0,0,0,0
2023-07-29T14:10:44,0,0,0,0
2023-07-29T14:23:13,0,0,0,0
2023-07-29T14:35:42,0,0,0,0
2023-07-29T14:48:13,0,0,0,0
2023-07-29T15:00:43,0,0,0,0
2023-07-29T15:13:12,0,0,0,0
2023-07-29T15:25:41,0,0,0,0
2023-07-29T15:38:10,0,0,0,0
2023-07-29T15:50:40,0,0,0,0
2023-07-29T16:03:11,0,0,0,0
2023-07-29T16:15:40,0,0,0,0
2023-07-29T16:28:10,0,0,0,0
2023-07-29T16:40:39,0,0,0,0
2023-07-29T16:53:08,0,0,0,0
2023-07-29T17:05:47,0,0,0,0
2023-07-29T17:18:18,0,0,0,0
2023-07-29T17:30:48,0,0,0,0
2023-07-29T17:43:18,0,0,0,0
2023-07-29T17:55:48,0,0,0,0
2023-07-29T18:08:18,0,0,0,0
2023-07-29T18:20:48,0,0,0,0
2023-07-29T18:33:17,0,0,0,0
2023-07-29T18:45:47,0,0,0,0
2023-07-29T18:58:16,0,0,0,0
2023-07-29T19:10:47,0,0,0,0
2023-07-29T19:23:17,0,0,0,0
2023-07-29T19:35:48,0,0,0,0
2023-07-29T19:48:17,0,0,0,0
2023-07-29T20:00:47,0,0,0,0
2023-07-29T20:13:16,0,0,0,0
2023-07-29T20:25:56,0,0,0,0
2023-07-29T20:38:27,0,0,0,0
2023-07-29T20:50:56,0,0,0,0
2023-07-29T21:03:26,0,0,0,0
2023-07-29T21:15:56,0,0,0,0
2023-07-29T21:28:27,0,0,0,0
2023-07-29T21:40:57,0,0,0,0
2023-07-29T21:53:26,0,0,0,0
2023-07-29T22:05:56,0,0,0,0
2023-07-29T22:18:26,0,0,0,0
2023-07-29T22:30:56,0,0,0,0
2023-07-29T22:43:25,0,0,0,0
2023-07-29T22:55:55,0,0,0,0
2023-07-29T23:08:35,0,0,0,0
2023-07-29T23:21:05,0,0,0,0
2023-07-29T23:33:34,0,0,0,0
2023-07-29T23:46:05,0,0,0,0
2023-07-29T23:58:35,0,0,0,0
2023-07-30T00:11:06,0,0,0,0
2023-07-30T00:23:41,0,0,0,0
2023-07-30T00:36:14,0,0,0,0
2023-07-30T00:48:47,0,0,0,0
2023-07-30T01:01:21,0,0,0,0
2023-07-30T01:13:53,0,0,0,0
2023-07-30T01:26:25,0,0,0,0
2023-07-30T01:38:59,0,0,0,0
2023-07-30T01:51:31,0,0,0,0
2023-07-30T02:04:05,0,0,0,0
2023-07-30T02:16:58,0,0,0,0
2023-07-30T02:29:32,0,0,0,0
2023-07-30T02:42:06,0,0,0,0
2023-07-30T02:54:49,0,0,0,0
2023-07-30T03:07:21,0,0,0,0
2023-07-30T03:19:54,0,0,0,0
2023-07-30T03:32:27,0,0,0,0
2023-07-30T03:45:01,0,0,0,0
2023-07-30T03:57:35,0,0,0,0
2023-07-30T04:22:41,0,0,0,0
2023-07-30T04:35:16,0,0,0,0
2023-07-30T04:47:51,0,0,0,0
2023-07-30T05:00:24,0,0,0,0
2023-07-30T05:12:59,0,0,0,0
2023-07-30T05:25:32,0,0,0,0
2023-07-30T05:38:06,0,0,0,0
2023-07-30T05:50:40,0,0,0,0
2023-07-30T06:03:14,0,0,0,0
2023-07-30T06:15:47,0,0,0,0
2023-07-30T06:28:20,0,0,0,0
2023-07-30T06:42:30,0,0,0,0
2023-07-30T06:55:03,0,0,0,0
2023-07-30T07:07:34,0,0,0,0
