time,enrolled,available,waitlisted,total
2023-08-29T10:34:37,0,0,0,0
2023-08-29T10:47:33,0,0,0,0
2023-08-29T11:00:36,0,0,0,0
2023-08-29T11:13:32,0,0,0,0
2023-08-29T11:26:40,0,0,0,0
2023-08-29T11:39:37,0,0,0,0
2023-08-29T11:52:38,0,0,0,0
2023-08-29T12:05:49,0,0,0,0
2023-08-29T12:18:44,0,0,0,0
2023-08-29T12:31:45,0,0,0,0
2023-08-29T12:44:49,0,0,0,0
2023-08-29T12:57:43,0,0,0,0
2023-08-29T13:10:42,0,0,0,0
2023-08-29T13:23:47,0,0,0,0
2023-08-29T13:36:41,0,0,0,0
2023-08-29T13:49:36,0,0,0,0
2023-08-29T14:02:48,0,0,0,0
2023-08-29T14:15:44,0,0,0,0
2023-08-29T14:28:38,0,0,0,0
2023-08-29T14:41:52,0,0,0,0
2023-08-29T14:54:46,0,0,0,0
2023-08-29T15:07:42,0,0,0,0
2023-08-29T15:20:48,0,0,0,0
2023-08-29T15:33:44,0,0,0,0
2023-08-29T15:46:39,0,0,0,0
2023-08-29T15:59:45,0,0,0,0
2023-08-29T16:12:51,0,0,0,0
2023-08-29T16:25:46,0,0,0,0
2023-08-29T16:38:52,0,0,0,0
2023-08-29T16:51:53,0,0,0,0
2023-08-29T17:04:50,0,0,0,0
2023-08-29T17:18:00,0,0,0,0
2023-08-29T17:30:53,0,0,0,0
2023-08-29T17:43:46,0,0,0,0
2023-08-29T17:56:38,0,0,0,0
2023-08-29T18:09:53,0,0,0,0
2023-08-29T18:22:59,0,0,0,0
2023-08-29T18:35:56,0,0,0,0
2023-08-29T18:48:59,0,0,0,0
2023-08-29T19:01:55,0,0,0,0
2023-08-29T19:14:47,0,0,0,0
