time,enrolled,available,waitlisted,total
2023-09-08T14:36:11,0,0,0,0
2023-09-08T14:49:06,0,0,0,0
2023-09-08T15:02:01,0,0,0,0
2023-09-08T15:15:07,0,0,0,0
2023-09-08T15:28:02,0,0,0,0
2023-09-08T15:40:57,0,0,0,0
2023-09-08T15:53:51,0,0,0,0
2023-09-08T16:06:46,0,0,0,0
2023-09-08T16:19:41,0,0,0,0
2023-09-08T16:32:37,0,0,0,0
2023-09-08T16:45:42,0,0,0,0
2023-09-08T16:58:37,0,0,0,0
2023-09-08T17:11:33,0,0,0,0
2023-09-08T17:24:28,0,0,0,0
2023-09-08T17:37:23,0,0,0,0
2023-09-08T17:50:18,0,0,0,0
2023-09-08T18:03:15,0,0,0,0
2023-09-08T18:16:12,0,0,0,0
2023-09-08T18:29:08,0,0,0,0
2023-09-08T18:42:13,0,0,0,0
2023-09-08T18:55:10,0,0,0,0
2023-09-08T19:08:06,0,0,0,0
2023-09-08T19:21:01,0,0,0,0
2023-09-08T19:33:56,0,0,0,0
2023-09-08T19:46:51,0,0,0,0
2023-09-08T19:59:47,0,0,0,0
2023-09-08T20:12:42,0,0,0,0
2023-09-08T20:25:37,0,0,0,0
2023-09-08T20:38:32,0,0,0,0
2023-09-08T20:51:28,0,0,0,0
2023-09-08T21:04:34,0,0,0,0
2023-09-08T21:17:29,0,0,0,0
2023-09-08T21:30:24,0,0,0,0
2023-09-08T21:43:18,0,0,0,0
2023-09-08T21:56:14,0,0,0,0
2023-09-08T22:09:08,0,0,0,0
2023-09-08T22:22:03,0,0,0,0
2023-09-08T22:35:09,0,0,0,0
2023-09-08T22:48:03,0,0,0,0
2023-09-08T23:00:58,0,0,0,0
2023-09-08T23:13:54,0,0,0,0
2023-09-08T23:26:50,0,0,0,0
2023-09-08T23:39:45,0,0,0,0
2023-09-08T23:52:41,0,0,0,0
2023-09-09T00:05:39,0,0,0,0
2023-09-09T00:18:40,0,0,0,0
2023-09-09T00:31:39,0,0,0,0
2023-09-09T00:44:38,0,0,0,0
2023-09-09T00:57:38,0,0,0,0
2023-09-09T01:10:37,0,0,0,0
2023-09-09T01:23:47,0,0,0,0
2023-09-09T01:36:48,0,0,0,0
2023-09-09T01:49:49,0,0,0,0
2023-09-09T02:02:47,0,0,0,0
2023-09-09T02:15:46,0,0,0,0
2023-09-09T02:28:42,0,0,0,0
2023-09-09T02:41:41,0,0,0,0
2023-09-09T02:54:36,0,0,0,0
2023-09-09T03:07:31,0,0,0,0
2023-09-09T03:20:29,0,0,0,0
2023-09-09T03:33:26,0,0,0,0
2023-09-09T03:46:22,0,0,0,0
2023-09-09T03:59:20,0,0,0,0
2023-09-09T04:29:43,0,0,0,0
2023-09-09T04:42:45,0,0,0,0
2023-09-09T04:55:45,0,0,0,0
2023-09-09T05:08:46,0,0,0,0
2023-09-09T05:21:50,0,0,0,0
2023-09-09T05:34:49,0,0,0,0
2023-09-09T05:47:48,0,0,0,0
2023-09-09T06:00:47,0,0,0,0
2023-09-09T06:13:45,0,0,0,0
2023-09-09T06:26:46,0,0,0,0
2023-09-09T06:39:44,0,0,0,0
2023-09-09T06:52:43,0,0,0,0
2023-09-09T07:05:42,0,0,0,0
2023-09-09T07:18:41,0,0,0,0
