time,enrolled,available,waitlisted,total
2023-05-25T01:21:34,0,30,0,30
2023-05-25T01:33:10,0,30,0,30
2023-05-25T01:44:55,0,30,0,30
2023-05-25T01:56:30,0,30,0,30
2023-05-25T02:08:06,0,30,0,30
2023-05-25T02:19:42,0,30,0,30
2023-05-25T02:31:17,0,30,0,30
2023-05-25T02:42:50,0,30,0,30
2023-05-25T02:54:23,0,30,0,30
2023-05-25T03:05:57,0,30,0,30
2023-05-25T03:17:36,0,30,0,30
2023-05-25T03:29:34,0,30,0,30
2023-05-25T03:41:11,0,30,0,30
2023-05-25T03:52:46,0,30,0,30
2023-05-25T04:04:22,0,30,0,30
2023-05-25T04:24:09,0,30,0,30
2023-05-25T04:35:46,0,30,0,30
2023-05-25T04:47:22,0,30,0,30
2023-05-25T04:58:58,0,30,0,30
2023-05-25T05:10:35,0,30,0,30
2023-05-25T05:22:11,0,30,0,30
2023-05-25T05:33:48,0,30,0,30
2023-05-25T05:45:24,0,30,0,30
2023-05-25T05:57:00,0,30,0,30
2023-05-25T06:08:36,0,30,0,30
2023-05-25T06:20:12,0,30,0,30
2023-05-25T06:31:46,0,30,0,30
2023-05-25T06:43:21,0,30,0,30
2023-05-25T06:54:57,0,30,0,30
2023-05-25T07:06:32,0,30,0,30
2023-05-25T07:18:07,0,30,0,30
2023-05-25T07:29:41,0,30,0,30
2023-05-25T07:41:17,0,30,0,30
2023-05-25T07:52:53,0,30,0,30
2023-05-25T08:04:28,0,30,0,30
2023-05-25T08:16:02,0,30,0,30
2023-05-25T08:27:47,0,30,0,30
2023-05-25T08:39:20,0,30,0,30
2023-05-25T08:50:52,0,30,0,30
2023-05-25T09:02:26,0,30,0,30
2023-05-25T09:13:59,0,30,0,30
2023-05-25T09:25:31,0,30,0,30
2023-05-25T09:37:04,0,30,0,30
2023-05-25T09:48:36,0,30,0,30
2023-05-25T10:00:10,0,30,0,30
2023-05-25T10:11:54,0,30,0,30
2023-05-25T10:23:27,0,30,0,30
2023-05-25T10:35:00,0,30,0,30
2023-05-25T10:46:33,0,30,0,30
2023-05-25T10:58:16,0,30,0,30
2023-05-25T11:09:48,0,30,0,30
2023-05-25T11:21:21,0,30,0,30
2023-05-25T11:32:53,0,30,0,30
