time,enrolled,available,waitlisted,total
2023-06-14T14:18:05,0,10,0,10
2023-06-14T14:30:14,0,10,0,10
2023-06-14T14:42:30,0,10,0,10
2023-06-14T14:54:56,0,10,0,10
2023-06-14T15:07:10,0,10,0,10
2023-06-14T15:19:25,0,10,0,10
2023-06-14T15:31:40,0,10,0,10
2023-06-14T15:43:54,0,10,0,10
2023-06-14T15:56:09,0,10,0,10
2023-06-14T16:08:26,0,10,0,10
2023-06-14T16:20:50,0,10,0,10
2023-06-14T16:33:05,0,10,0,10
2023-06-14T16:45:21,0,10,0,10
2023-06-14T16:57:35,0,10,0,10
2023-06-14T17:09:52,0,10,0,10
2023-06-14T17:22:07,0,10,0,10
2023-06-14T17:34:21,0,10,0,10
2023-06-14T17:46:48,0,10,0,10
2023-06-14T17:59:01,0,10,0,10
2023-06-14T18:11:16,0,10,0,10
2023-06-14T18:23:29,0,10,0,10
2023-06-14T18:35:44,0,10,0,10
2023-06-14T18:47:57,0,10,0,10
2023-06-14T19:00:12,0,10,0,10
2023-06-14T19:12:38,0,10,0,10
2023-06-14T19:24:53,0,10,0,10
2023-06-14T19:37:07,0,10,0,10
2023-06-14T19:49:21,0,10,0,10
2023-06-14T20:01:38,0,10,0,10
2023-06-14T20:13:52,0,10,0,10
2023-06-14T20:26:06,0,10,0,10
2023-06-14T20:38:20,0,10,0,10
2023-06-14T20:50:34,0,10,0,10
2023-06-14T21:02:58,0,10,0,10
2023-06-14T21:15:13,0,10,0,10
2023-06-14T21:27:27,0,10,0,10
2023-06-14T21:39:41,0,10,0,10
2023-06-14T21:51:55,0,10,0,10
2023-06-14T22:04:09,0,10,0,10
2023-06-14T22:16:23,0,10,0,10
2023-06-14T22:28:38,0,10,0,10
2023-06-14T22:41:02,0,10,0,10
2023-06-14T22:53:17,0,10,0,10
2023-06-14T23:05:33,0,10,0,10
2023-06-14T23:17:48,0,10,0,10
2023-06-14T23:30:02,0,10,0,10
2023-06-14T23:42:16,0,10,0,10
2023-06-14T23:54:31,0,10,0,10
2023-06-15T00:06:46,0,10,0,10
2023-06-15T00:19:05,0,10,0,10
2023-06-15T00:31:23,0,10,0,10
2023-06-15T00:43:43,0,10,0,10
2023-06-15T00:56:14,0,10,0,10
2023-06-15T01:08:33,0,10,0,10
2023-06-15T01:20:50,0,10,0,10
2023-06-15T01:33:07,0,10,0,10
2023-06-15T01:45:24,0,10,0,10
2023-06-15T01:57:41,0,10,0,10
2023-06-15T02:09:58,0,10,0,10
2023-06-15T02:22:15,0,10,0,10
2023-06-15T02:34:32,0,10,0,10
2023-06-15T02:46:47,0,10,0,10
2023-06-15T02:59:02,0,10,0,10
2023-06-15T03:11:29,0,10,0,10
2023-06-15T03:23:46,0,10,0,10
2023-06-15T03:36:03,0,10,0,10
2023-06-15T03:48:19,0,10,0,10
2023-06-15T04:00:36,0,10,0,10
2023-06-15T04:28:58,0,10,0,10
2023-06-15T04:41:19,0,10,0,10
2023-06-15T04:55:16,0,10,0,10
2023-06-15T05:07:35,0,10,0,10
2023-06-15T05:19:54,0,10,0,10
2023-06-15T05:32:11,0,10,0,10
2023-06-15T05:44:30,0,10,0,10
2023-06-15T05:56:48,0,10,0,10
2023-06-15T06:09:04,0,10,0,10
2023-06-15T06:21:22,0,10,0,10
2023-06-15T06:33:38,0,10,0,10
2023-06-15T06:45:55,0,10,0,10
2023-06-15T06:58:11,0,10,0,10
2023-06-15T07:10:28,0,10,0,10
2023-06-15T07:22:46,0,10,0,10
2023-06-15T07:35:03,0,10,0,10
2023-06-15T07:47:28,0,10,0,10
2023-06-15T07:59:44,0,10,0,10
2023-06-15T08:12:00,0,10,0,10
2023-06-15T08:24:16,0,10,0,10
2023-06-15T08:36:33,0,10,0,10
2023-06-15T08:48:48,0,10,0,10
2023-06-15T09:01:04,0,10,0,10
2023-06-15T09:13:20,0,10,0,10
2023-06-15T09:25:35,0,10,0,10
2023-06-15T09:37:51,0,10,0,10
2023-06-15T09:50:07,0,10,0,10
2023-06-15T10:02:31,0,10,0,10
2023-06-15T10:14:45,0,10,0,10
2023-06-15T10:26:59,0,10,0,10
2023-06-15T10:39:13,0,10,0,10
2023-06-15T10:51:27,0,10,0,10
2023-06-15T11:03:41,0,10,0,10
2023-06-15T11:15:55,0,10,0,10
2023-06-15T11:28:09,0,10,0,10
2023-06-15T11:40:35,0,10,0,10
2023-06-15T11:52:48,0,10,0,10
2023-06-15T12:05:06,0,10,0,10
2023-06-15T12:17:20,0,10,0,10
2023-06-15T12:29:34,0,10,0,10
2023-06-15T12:41:49,0,10,0,10
2023-06-15T12:54:04,0,10,0,10
2023-06-15T13:06:17,0,10,0,10
2023-06-15T13:18:42,0,10,0,10
2023-06-15T13:30:56,0,10,0,10
2023-06-15T13:43:11,0,10,0,10
2023-06-15T13:55:25,0,10,0,10
2023-06-15T14:07:40,0,10,0,10
2023-06-15T14:19:54,0,10,0,10
2023-06-15T14:32:08,0,10,0,10
2023-06-15T14:44:34,0,10,0,10
2023-06-15T14:56:48,0,10,0,10
2023-06-15T15:09:02,0,10,0,10
2023-06-15T15:21:16,0,10,0,10
2023-06-15T15:33:30,0,10,0,10
2023-06-15T15:45:44,0,10,0,10
2023-06-15T15:57:59,0,10,0,10
2023-06-15T16:10:24,0,10,0,10
2023-06-15T16:22:38,0,10,0,10
2023-06-15T16:34:52,0,10,0,10
2023-06-15T16:47:06,0,10,0,10
2023-06-15T16:59:20,0,10,0,10
2023-06-15T17:11:34,0,10,0,10
2023-06-15T17:23:49,0,10,0,10
2023-06-15T17:36:03,0,10,0,10
2023-06-15T17:48:27,0,10,0,10
2023-06-15T18:00:41,0,10,0,10
2023-06-15T18:12:56,0,10,0,10
2023-06-15T18:25:10,0,10,0,10
2023-06-15T18:37:25,0,10,0,10
2023-06-15T18:49:39,0,10,0,10
2023-06-15T19:01:54,0,10,0,10
2023-06-15T19:14:09,0,10,0,10
2023-06-15T19:26:22,0,10,0,10
2023-06-15T19:38:48,0,10,0,10
2023-06-15T19:51:02,0,10,0,10
2023-06-15T20:03:17,0,10,0,10
2023-06-15T20:15:31,0,10,0,10
2023-06-15T20:27:45,0,10,0,10
2023-06-15T20:39:59,0,10,0,10
2023-06-15T20:52:13,0,10,0,10
2023-06-15T21:04:39,0,10,0,10
2023-06-15T21:16:53,0,10,0,10
2023-06-15T21:29:08,0,10,0,10
2023-06-15T21:41:23,0,10,0,10
2023-06-15T21:53:38,0,10,0,10
2023-06-15T22:05:51,0,10,0,10
2023-06-15T22:18:06,0,10,0,10
2023-06-15T22:30:21,0,10,0,10
2023-06-15T22:42:35,0,10,0,10
2023-06-15T22:54:49,0,10,0,10
2023-06-15T23:07:15,0,10,0,10
2023-06-15T23:19:30,0,10,0,10
2023-06-15T23:31:46,0,10,0,10
2023-06-15T23:44:01,0,10,0,10
2023-06-15T23:56:16,0,10,0,10
2023-06-16T00:08:32,0,10,0,10
2023-06-16T00:20:48,0,10,0,10
2023-06-16T00:33:01,0,10,0,10
2023-06-16T00:45:16,0,10,0,10
2023-06-16T00:57:30,0,10,0,10
2023-06-16T01:09:46,0,10,0,10
2023-06-16T01:22:12,0,10,0,10
2023-06-16T01:34:26,0,10,0,10
2023-06-16T01:46:41,0,10,0,10
2023-06-16T01:58:55,0,10,0,10
2023-06-16T02:11:11,0,10,0,10
2023-06-16T02:23:27,0,10,0,10
2023-06-16T02:35:41,0,10,0,10
2023-06-16T02:47:57,0,10,0,10
2023-06-16T03:00:13,0,10,0,10
2023-06-16T03:12:31,0,10,0,10
2023-06-16T03:24:49,0,10,0,10
2023-06-16T03:37:08,0,10,0,10
2023-06-16T03:49:25,0,10,0,10
2023-06-16T04:01:42,0,10,0,10
2023-06-16T04:24:56,0,10,0,10
2023-06-16T04:37:16,0,10,0,10
2023-06-16T04:51:02,0,10,0,10
2023-06-16T05:03:42,0,10,0,10
2023-06-16T05:16:00,0,10,0,10
2023-06-16T05:28:18,0,10,0,10
2023-06-16T05:40:36,0,10,0,10
2023-06-16T05:52:54,0,10,0,10
2023-06-16T06:05:13,0,10,0,10
2023-06-16T06:17:30,0,10,0,10
2023-06-16T06:29:47,0,10,0,10
2023-06-16T06:42:05,0,10,0,10
2023-06-16T06:54:23,0,10,0,10
2023-06-16T07:06:40,0,10,0,10
2023-06-16T07:18:56,0,10,0,10
2023-06-16T07:31:12,0,10,0,10
2023-06-16T07:43:27,0,10,0,10
2023-06-16T07:55:43,0,10,0,10
2023-06-16T08:07:59,0,10,0,10
2023-06-16T08:20:26,0,10,0,10
2023-06-16T08:32:43,0,10,0,10
2023-06-16T08:45:01,0,10,0,10
2023-06-16T08:57:18,0,10,0,10
2023-06-16T09:09:35,0,10,0,10
2023-06-16T09:21:52,0,10,0,10
2023-06-16T09:34:08,0,10,0,10
2023-06-16T09:46:22,0,10,0,10
2023-06-16T09:58:38,0,10,0,10
2023-06-16T10:10:53,0,10,0,10
2023-06-16T10:23:23,0,10,0,10
2023-06-16T11:07:58,0,10,0,10
2023-06-16T11:20:14,0,10,0,10
2023-06-16T11:32:30,0,10,0,10
2023-06-16T11:44:45,0,10,0,10
2023-06-16T11:57:00,0,10,0,10
2023-06-16T12:09:26,0,10,0,10
2023-06-16T12:21:42,0,10,0,10
2023-06-16T12:33:57,0,10,0,10
2023-06-16T12:46:13,0,10,0,10
2023-06-16T12:58:28,0,10,0,10
2023-06-16T13:10:44,0,10,0,10
2023-06-16T13:22:59,0,10,0,10
2023-06-16T13:35:14,0,10,0,10
2023-06-16T13:47:40,0,10,0,10
2023-06-16T13:59:56,0,10,0,10
2023-06-16T14:12:12,0,10,0,10
2023-06-16T14:24:27,0,10,0,10
2023-06-16T14:36:42,0,10,0,10
2023-06-16T14:48:58,0,10,0,10
2023-06-16T15:01:13,0,10,0,10
2023-06-16T15:13:28,0,10,0,10
2023-06-16T15:25:56,0,10,0,10
2023-06-16T15:38:11,0,10,0,10
2023-06-16T15:50:28,0,10,0,10
2023-06-16T16:02:43,0,10,0,10
2023-06-16T16:14:59,0,10,0,10
2023-06-16T16:27:14,0,10,0,10
2023-06-16T16:39:30,0,10,0,10
2023-06-16T16:51:45,0,10,0,10
2023-06-16T17:04:00,0,10,0,10
2023-06-16T17:16:27,0,10,0,10
2023-06-16T17:28:42,0,10,0,10
2023-06-16T17:40:58,0,10,0,10
2023-06-16T17:53:13,0,10,0,10
2023-06-16T18:05:28,0,10,0,10
2023-06-16T18:17:44,0,10,0,10
2023-06-16T18:30:00,0,10,0,10
2023-06-16T18:42:16,0,10,0,10
2023-06-16T18:54:31,0,10,0,10
2023-06-16T19:06:47,0,10,0,10
2023-06-16T19:19:15,0,10,0,10
2023-06-16T19:31:31,0,10,0,10
2023-06-16T19:43:46,0,10,0,10
2023-06-16T19:56:02,0,10,0,10
2023-06-16T20:08:19,0,10,0,10
2023-06-16T20:20:34,0,10,0,10
2023-06-16T20:32:50,0,10,0,10
2023-06-16T20:45:06,0,10,0,10
2023-06-16T20:57:21,0,10,0,10
2023-06-16T21:09:37,0,10,0,10
2023-06-16T21:22:03,0,10,0,10
2023-06-16T21:34:19,0,10,0,10
2023-06-16T21:46:35,0,10,0,10
2023-06-16T21:58:51,0,10,0,10
2023-06-16T22:11:06,0,10,0,10
2023-06-16T22:23:21,0,10,0,10
2023-06-16T22:35:37,0,10,0,10
2023-06-16T22:47:52,0,10,0,10
2023-06-16T23:00:07,0,10,0,10
2023-06-16T23:12:26,0,10,0,10
2023-06-16T23:24:52,0,10,0,10
2023-06-16T23:37:08,0,10,0,10
2023-06-16T23:49:24,0,10,0,10
2023-06-17T00:01:41,0,10,0,10
2023-06-17T00:14:04,0,10,0,10
2023-06-17T00:26:24,0,10,0,10
2023-06-17T00:38:44,0,10,0,10
2023-06-17T00:51:04,0,10,0,10
2023-06-17T01:03:23,0,10,0,10
2023-06-17T01:15:43,0,10,0,10
2023-06-17T01:28:02,0,10,0,10
2023-06-17T01:40:21,0,10,0,10
2023-06-17T01:52:40,0,10,0,10
2023-06-17T02:05:09,0,10,0,10
2023-06-17T02:17:29,0,10,0,10
2023-06-17T02:29:49,0,10,0,10
2023-06-17T02:42:07,0,10,0,10
2023-06-17T02:54:23,0,10,0,10
2023-06-17T03:06:39,0,10,0,10
2023-06-17T03:18:57,0,10,0,10
2023-06-17T03:31:15,0,10,0,10
2023-06-17T03:43:32,0,10,0,10
2023-06-17T03:55:51,0,10,0,10
2023-06-17T04:08:09,0,10,0,10
2023-06-17T04:37:00,0,10,0,10
2023-06-17T04:50:53,0,10,0,10
2023-06-17T05:03:13,0,10,0,10
2023-06-17T05:15:30,0,10,0,10
2023-06-17T05:27:46,0,10,0,10
2023-06-17T05:40:06,0,10,0,10
2023-06-17T05:52:40,0,10,0,10
2023-06-17T06:05:02,0,10,0,10
2023-06-17T06:17:20,0,10,0,10
2023-06-17T06:29:39,0,10,0,10
2023-06-17T06:41:58,0,10,0,10
2023-06-17T06:54:16,0,10,0,10
2023-06-17T07:06:35,0,10,0,10
2023-06-17T07:18:55,0,10,0,10
2023-06-17T07:31:13,0,10,0,10
2023-06-17T07:43:44,0,10,0,10
2023-06-17T07:56:02,0,10,0,10
2023-06-17T08:08:21,0,10,0,10
2023-06-17T08:20:39,0,10,0,10
2023-06-17T08:32:58,0,10,0,10
2023-06-17T08:45:16,0,10,0,10
2023-06-17T08:57:35,0,10,0,10
2023-06-17T09:09:54,0,10,0,10
2023-06-17T09:22:13,0,10,0,10
2023-06-17T09:34:31,0,10,0,10
2023-06-17T09:46:49,0,10,0,10
2023-06-17T09:59:19,0,10,0,10
2023-06-17T10:11:38,0,10,0,10
2023-06-17T10:23:56,0,10,0,10
2023-06-17T10:36:15,0,10,0,10
2023-06-17T10:48:33,0,10,0,10
2023-06-17T11:00:51,0,10,0,10
2023-06-17T11:13:09,0,10,0,10
2023-06-17T11:25:28,0,10,0,10
2023-06-17T11:37:45,0,10,0,10
2023-06-17T11:50:13,0,10,0,10
2023-06-17T12:02:31,0,10,0,10
2023-06-17T12:14:47,0,10,0,10
2023-06-17T12:27:02,0,10,0,10
2023-06-17T12:39:17,0,10,0,10
2023-06-17T12:51:32,0,10,0,10
2023-06-17T13:03:48,0,10,0,10
2023-06-17T13:16:03,0,10,0,10
2023-06-17T13:28:18,0,10,0,10
2023-06-17T13:40:54,0,10,0,10
2023-06-17T13:53:10,0,10,0,10
2023-06-17T14:05:25,0,10,0,10
2023-06-17T14:17:41,0,10,0,10
2023-06-17T14:29:57,0,10,0,10
2023-06-17T14:42:12,0,10,0,10
2023-06-17T14:54:28,0,10,0,10
2023-06-17T15:06:43,0,10,0,10
2023-06-17T15:18:58,0,10,0,10
2023-06-17T15:31:14,0,10,0,10
2023-06-17T15:43:39,0,10,0,10
2023-06-17T15:55:53,0,10,0,10
2023-06-17T16:08:08,0,10,0,10
2023-06-17T16:20:24,0,10,0,10
2023-06-17T16:32:39,0,10,0,10
2023-06-17T16:44:54,0,10,0,10
2023-06-17T16:57:09,0,10,0,10
2023-06-17T17:09:25,0,10,0,10
2023-06-17T17:21:40,0,10,0,10
2023-06-17T17:33:56,0,10,0,10
2023-06-17T17:46:11,0,10,0,10
2023-06-17T17:58:37,0,10,0,10
2023-06-17T18:10:52,0,10,0,10
2023-06-17T18:23:08,0,10,0,10
2023-06-17T18:35:23,0,10,0,10
2023-06-17T18:47:39,0,10,0,10
2023-06-17T18:59:54,0,10,0,10
2023-06-17T19:12:10,0,10,0,10
2023-06-17T19:24:26,0,10,0,10
2023-06-17T19:36:41,0,10,0,10
2023-06-17T19:48:56,0,10,0,10
2023-06-17T20:01:12,0,10,0,10
2023-06-17T20:13:27,0,10,0,10
