time,enrolled,available,waitlisted,total
2023-05-25T01:23:02,0,35,0,35
2023-05-25T01:34:38,0,35,0,35
2023-05-25T01:46:22,0,35,0,35
2023-05-25T01:57:58,0,35,0,35
2023-05-25T02:09:33,0,35,0,35
2023-05-25T02:21:10,0,35,0,35
2023-05-25T02:32:44,0,35,0,35
2023-05-25T02:44:18,0,35,0,35
2023-05-25T02:55:51,0,35,0,35
2023-05-25T03:07:25,0,35,0,35
2023-05-25T03:19:04,0,35,0,35
2023-05-25T03:31:02,0,35,0,35
2023-05-25T03:42:38,0,35,0,35
2023-05-25T03:54:14,0,35,0,35
2023-05-25T04:05:49,0,35,0,35
2023-05-25T04:25:37,0,35,0,35
2023-05-25T04:37:14,0,35,0,35
2023-05-25T04:48:50,0,35,0,35
2023-05-25T05:00:26,0,35,0,35
2023-05-25T05:12:03,0,35,0,35
2023-05-25T05:23:39,0,35,0,35
2023-05-25T05:35:16,0,35,0,35
2023-05-25T05:46:52,0,35,0,35
2023-05-25T05:58:28,0,35,0,35
2023-05-25T06:10:04,0,35,0,35
2023-05-25T06:21:39,0,35,0,35
2023-05-25T06:33:14,0,35,0,35
2023-05-25T06:44:49,0,35,0,35
2023-05-25T06:56:24,0,35,0,35
2023-05-25T07:08:00,0,35,0,35
2023-05-25T07:19:35,0,35,0,35
2023-05-25T07:31:09,0,35,0,35
2023-05-25T07:42:45,0,35,0,35
2023-05-25T07:54:21,0,35,0,35
2023-05-25T08:05:56,0,35,0,35
2023-05-25T08:17:30,0,35,0,35
2023-05-25T08:29:14,0,35,0,35
2023-05-25T08:40:47,0,35,0,35
2023-05-25T08:52:19,0,35,0,35
2023-05-25T09:03:53,0,35,0,35
2023-05-25T09:15:26,0,35,0,35
2023-05-25T09:26:59,0,35,0,35
2023-05-25T09:38:31,0,35,0,35
2023-05-25T09:50:04,0,35,0,35
2023-05-25T10:01:37,0,35,0,35
2023-05-25T10:13:22,0,35,0,35
2023-05-25T10:24:55,0,35,0,35
2023-05-25T10:36:28,0,35,0,35
2023-05-25T10:48:00,0,35,0,35
2023-05-25T10:59:43,0,35,0,35
2023-05-25T11:11:15,0,35,0,35
2023-05-25T11:22:48,0,35,0,35
2023-05-25T11:34:21,0,35,0,35
2023-05-25T11:45:54,0,35,0,35
2023-05-25T11:57:38,0,35,0,35
2023-05-25T12:09:11,0,35,0,35
2023-05-25T12:20:44,0,35,0,35
2023-05-25T12:32:16,0,35,0,35
2023-05-25T12:43:49,0,35,0,35
2023-05-25T12:55:22,0,35,0,35
2023-05-25T13:07:05,0,35,0,35
2023-05-25T13:18:38,0,35,0,35
2023-05-25T13:30:11,0,35,0,35
2023-05-25T13:41:44,0,35,0,35
2023-05-25T13:53:18,0,35,0,35
2023-05-25T14:05:02,0,35,0,35
2023-05-25T14:16:36,0,35,0,35
2023-05-25T14:28:09,0,35,0,35
2023-05-25T14:39:42,0,35,0,35
2023-05-25T14:51:15,0,35,0,35
2023-05-25T15:02:59,0,35,0,35
2023-05-25T15:14:33,0,35,0,35
2023-05-25T15:26:08,0,35,0,35
2023-05-25T15:37:42,0,35,0,35
2023-05-25T15:49:17,0,35,0,35
2023-05-25T16:00:52,0,35,0,35
2023-05-25T16:12:37,0,35,0,35
2023-05-25T16:24:12,0,35,0,35
2023-05-25T16:35:47,0,35,0,35
2023-05-25T16:47:22,0,35,0,35
2023-05-25T16:58:58,0,35,0,35
2023-05-25T17:10:35,0,35,0,35
2023-05-25T17:22:22,0,35,0,35
2023-05-25T17:33:57,0,35,0,35
2023-05-25T17:45:34,0,35,0,35
2023-05-25T17:57:09,0,35,0,35
2023-05-25T18:08:46,0,35,0,35
2023-05-25T18:20:21,0,35,0,35
2023-05-25T18:31:57,0,35,0,35
2023-05-25T18:43:42,0,35,0,35
2023-05-25T18:55:18,0,35,0,35
2023-05-25T19:06:54,0,35,0,35
2023-05-25T19:18:30,0,35,0,35
2023-05-25T19:30:06,0,35,0,35
2023-05-25T19:41:42,0,35,0,35
2023-05-25T19:53:27,0,35,0,35
2023-05-25T20:05:03,0,35,0,35
2023-05-25T20:16:39,0,35,0,35
2023-05-25T20:28:15,0,35,0,35
2023-05-25T20:39:51,0,35,0,35
2023-05-25T20:51:27,0,35,0,35
2023-05-25T21:03:02,0,35,0,35
2023-05-25T21:14:38,0,35,0,35
2023-05-25T21:26:25,0,35,0,35
2023-05-25T21:38:00,0,35,0,35
2023-05-25T21:49:37,0,35,0,35
2023-05-25T22:01:12,0,35,0,35
2023-05-25T22:12:47,0,35,0,35
2023-05-25T22:24:22,0,35,0,35
2023-05-25T22:35:58,0,35,0,35
2023-05-25T22:47:44,0,35,0,35
2023-05-25T22:59:19,0,35,0,35
2023-05-25T23:10:58,0,35,0,35
2023-05-25T23:22:34,0,35,0,35
2023-05-25T23:34:09,0,35,0,35
2023-05-25T23:45:45,0,35,0,35
2023-05-25T23:57:22,0,35,0,35
2023-05-26T00:09:18,0,35,0,35
2023-05-26T00:20:58,0,35,0,35
2023-05-26T00:32:37,0,35,0,35
2023-05-26T00:44:16,0,35,0,35
2023-05-26T00:55:55,0,35,0,35
2023-05-26T01:07:34,0,35,0,35
2023-05-26T01:19:13,0,35,0,35
2023-05-26T01:30:51,0,35,0,35
2023-05-26T01:42:39,0,35,0,35
2023-05-26T01:54:17,0,35,0,35
2023-05-26T02:06:00,0,35,0,35
2023-05-26T02:17:37,0,35,0,35
2023-05-26T02:29:14,0,35,0,35
2023-05-26T02:40:53,0,35,0,35
2023-05-26T02:52:43,0,35,0,35
2023-05-26T03:04:23,0,35,0,35
2023-05-26T03:16:02,0,35,0,35
2023-05-26T03:27:43,0,35,0,35
2023-05-26T03:39:21,0,35,0,35
2023-05-26T03:51:00,0,35,0,35
2023-05-26T04:02:38,0,35,0,35
2023-05-26T04:14:26,0,35,0,35
2023-05-26T04:36:50,0,35,0,35
2023-05-26T04:48:31,0,35,0,35
2023-05-26T05:00:11,0,35,0,35
2023-05-26T05:11:54,0,35,0,35
2023-05-26T05:23:32,0,35,0,35
2023-05-26T05:35:11,0,35,0,35
2023-05-26T05:46:50,0,35,0,35
2023-05-26T05:58:29,0,35,0,35
2023-05-26T06:10:08,0,35,0,35
2023-05-26T06:21:47,0,35,0,35
2023-05-26T06:33:26,0,35,0,35
2023-05-26T06:45:04,0,35,0,35
2023-05-26T06:56:42,0,35,0,35
2023-05-26T07:08:21,0,35,0,35
2023-05-26T07:20:00,0,35,0,35
2023-05-26T07:31:45,0,35,0,35
2023-05-26T07:43:23,0,35,0,35
2023-05-26T07:55:00,0,35,0,35
2023-05-26T08:06:36,0,35,0,35
2023-05-26T08:18:12,0,35,0,35
2023-05-26T08:29:48,0,35,0,35
2023-05-26T08:41:25,0,35,0,35
2023-05-26T08:53:01,0,35,0,35
2023-05-26T09:04:37,0,35,0,35
2023-05-26T09:16:13,0,35,0,35
2023-05-26T09:27:49,0,35,0,35
2023-05-26T09:39:36,0,35,0,35
2023-05-26T09:51:13,0,35,0,35
2023-05-26T10:02:49,0,35,0,35
2023-05-26T10:14:25,0,35,0,35
2023-05-26T10:26:02,0,35,0,35
2023-05-26T10:37:49,0,35,0,35
2023-05-26T10:49:26,0,35,0,35
2023-05-26T11:01:02,0,35,0,35
2023-05-26T11:12:39,0,35,0,35
2023-05-26T11:24:15,0,35,0,35
2023-05-26T11:35:51,0,35,0,35
2023-05-26T11:47:38,0,35,0,35
2023-05-26T11:59:14,0,35,0,35
2023-05-26T12:10:50,1,34,0,35
2023-05-26T12:22:26,1,34,0,35
2023-05-26T12:34:02,1,34,0,35
2023-05-26T12:45:50,1,34,0,35
2023-05-26T12:57:25,1,34,0,35
2023-05-26T13:09:01,1,34,0,35
2023-05-26T13:20:37,1,34,0,35
2023-05-26T13:32:23,1,34,0,35
2023-05-26T13:43:59,1,34,0,35
2023-05-26T13:55:35,1,34,0,35
2023-05-26T14:07:11,1,34,0,35
2023-05-26T14:18:47,1,34,0,35
2023-05-26T14:30:34,2,33,0,35
2023-05-26T14:42:10,2,33,0,35
2023-05-26T14:53:46,2,33,0,35
2023-05-26T15:05:23,2,33,0,35
2023-05-26T15:17:00,2,33,0,35
2023-05-26T15:28:47,2,33,0,35
2023-05-26T15:40:22,2,33,0,35
2023-05-26T15:51:58,2,33,0,35
2023-05-26T16:03:34,2,33,0,35
2023-05-26T16:15:10,2,33,0,35
2023-05-26T16:26:46,2,33,0,35
2023-05-26T16:38:31,2,33,0,35
2023-05-26T16:50:07,2,33,0,35
2023-05-26T17:01:43,2,33,0,35
2023-05-26T17:13:20,2,33,0,35
2023-05-26T17:24:56,2,33,0,35
2023-05-26T17:36:31,2,33,0,35
2023-05-26T17:48:17,2,33,0,35
2023-05-26T17:59:52,3,32,0,35
2023-05-26T18:11:28,3,32,0,35
2023-05-26T18:23:04,3,32,0,35
2023-05-26T18:34:40,3,32,0,35
2023-05-26T18:46:15,3,32,0,35
2023-05-26T18:58:01,3,32,0,35
2023-05-26T19:09:37,3,32,0,35
2023-05-26T19:21:14,3,32,0,35
2023-05-26T19:32:50,3,32,0,35
2023-05-26T19:44:25,3,32,0,35
2023-05-26T19:56:01,3,32,0,35
2023-05-26T20:07:37,3,32,0,35
2023-05-26T20:19:22,3,32,0,35
2023-05-26T20:30:58,3,32,0,35
2023-05-26T20:42:33,3,32,0,35
2023-05-26T20:54:09,3,32,0,35
2023-05-26T21:05:44,3,32,0,35
2023-05-26T21:17:21,3,32,0,35
2023-05-26T21:28:57,3,32,0,35
2023-05-26T21:40:33,3,32,0,35
2023-05-26T21:52:20,3,32,0,35
2023-05-26T22:03:56,3,32,0,35
2023-05-26T22:15:32,3,32,0,35
2023-05-26T22:27:08,3,32,0,35
2023-05-26T22:38:44,3,32,0,35
2023-05-26T22:50:20,3,32,0,35
2023-05-26T23:01:56,3,32,0,35
2023-05-26T23:13:45,3,32,0,35
2023-05-26T23:25:20,3,32,0,35
2023-05-26T23:36:57,3,32,0,35
2023-05-26T23:48:34,3,32,0,35
2023-05-27T00:00:10,3,32,0,35
2023-05-27T00:11:48,3,32,0,35
2023-05-27T00:23:29,3,32,0,35
2023-05-27T00:35:07,3,32,0,35
2023-05-27T00:46:46,3,32,0,35
2023-05-27T00:58:25,3,32,0,35
2023-05-27T01:10:04,3,32,0,35
2023-05-27T01:21:53,3,32,0,35
2023-05-27T01:33:32,3,32,0,35
2023-05-27T01:45:11,3,32,0,35
2023-05-27T01:56:50,3,32,0,35
2023-05-27T02:08:28,3,32,0,35
2023-05-27T02:20:05,3,32,0,35
2023-05-27T02:31:43,3,32,0,35
2023-05-27T02:43:20,3,32,0,35
2023-05-27T02:54:55,3,32,0,35
2023-05-27T03:06:32,3,32,0,35
2023-05-27T03:18:10,3,32,0,35
2023-05-27T03:29:48,3,32,0,35
2023-05-27T03:41:25,3,32,0,35
2023-05-27T03:53:02,3,32,0,35
2023-05-27T04:04:42,3,32,0,35
2023-05-27T04:16:35,3,32,0,35
2023-05-27T04:39:10,3,32,0,35
2023-05-27T04:51:08,3,32,0,35
2023-05-27T05:02:47,3,32,0,35
2023-05-27T05:14:26,3,32,0,35
2023-05-27T05:26:04,3,32,0,35
2023-05-27T05:37:45,3,32,0,35
2023-05-27T05:49:24,3,32,0,35
2023-05-27T06:01:02,3,32,0,35
2023-05-27T06:12:40,3,32,0,35
2023-05-27T06:24:21,3,32,0,35
2023-05-27T06:36:00,3,32,0,35
2023-05-27T06:47:38,3,32,0,35
2023-05-27T06:59:17,3,32,0,35
2023-05-27T07:10:55,3,32,0,35
2023-05-27T07:22:33,3,32,0,35
2023-05-27T07:34:11,3,32,0,35
2023-05-27T07:45:47,3,32,0,35
2023-05-27T07:57:39,3,32,0,35
2023-05-27T08:09:16,3,32,0,35
2023-05-27T08:20:53,3,32,0,35
2023-05-27T08:32:32,3,32,0,35
2023-05-27T08:44:11,3,32,0,35
2023-05-27T08:55:48,3,32,0,35
2023-05-27T09:07:26,3,32,0,35
2023-05-27T09:19:04,3,32,0,35
2023-05-27T09:30:43,3,32,0,35
2023-05-27T09:42:21,3,32,0,35
2023-05-27T09:53:59,3,32,0,35
2023-05-27T10:05:36,3,32,0,35
2023-05-27T10:17:30,3,32,0,35
2023-05-27T10:29:08,3,32,0,35
2023-05-27T10:40:44,3,32,0,35
2023-05-27T10:52:21,3,32,0,35
2023-05-27T11:03:58,3,32,0,35
2023-05-27T11:15:33,3,32,0,35
2023-05-27T11:27:08,3,32,0,35
2023-05-27T11:38:43,3,32,0,35
2023-05-27T11:50:18,3,32,0,35
2023-05-27T12:01:53,3,32,0,35
2023-05-27T12:13:38,3,32,0,35
2023-05-27T12:25:13,3,32,0,35
2023-05-27T12:36:48,3,32,0,35
2023-05-27T12:48:24,3,32,0,35
2023-05-27T12:59:59,3,32,0,35
2023-05-27T13:11:34,3,32,0,35
2023-05-27T13:23:09,3,32,0,35
2023-05-27T13:35:04,3,32,0,35
2023-05-27T13:46:39,3,32,0,35
2023-05-27T13:58:15,3,32,0,35
2023-05-27T14:09:50,3,32,0,35
2023-05-27T14:21:26,3,32,0,35
2023-05-27T14:33:02,3,32,0,35
2023-05-27T14:44:36,3,32,0,35
2023-05-27T14:56:11,3,32,0,35
2023-05-27T15:07:57,3,32,0,35
2023-05-27T15:19:32,3,32,0,35
