time,enrolled,available,waitlisted,total
2023-08-21T10:03:24,0,80,0,80
2023-08-21T10:16:05,1,79,0,80
2023-08-21T10:28:47,1,79,0,80
2023-08-21T10:41:29,4,76,0,80
2023-08-21T10:54:11,7,73,0,80
2023-08-21T11:06:53,8,72,0,80
2023-08-21T11:19:35,8,72,0,80
2023-08-21T11:32:26,8,72,0,80
2023-08-21T11:45:08,10,70,0,80
2023-08-21T11:57:49,10,70,0,80
2023-08-21T12:10:31,10,70,0,80
2023-08-21T12:23:13,10,70,0,80
2023-08-21T12:35:55,12,68,0,80
2023-08-21T12:48:36,12,68,0,80
2023-08-21T13:01:29,12,68,0,80
2023-08-21T13:14:10,12,68,0,80
2023-08-21T13:26:53,12,68,0,80
2023-08-21T13:39:34,12,68,0,80
2023-08-21T13:52:15,12,68,0,80
2023-08-21T14:04:57,12,68,0,80
2023-08-21T14:17:39,12,68,0,80
2023-08-21T14:30:31,12,68,0,80
2023-08-21T14:43:13,12,68,0,80
2023-08-21T14:55:55,12,68,0,80
2023-08-21T15:08:36,12,68,0,80
2023-08-21T15:21:18,12,68,0,80
2023-08-21T15:34:01,12,68,0,80
2023-08-21T15:46:51,13,67,0,80
2023-08-21T15:59:33,14,66,0,80
2023-08-21T16:12:16,14,66,0,80
2023-08-21T16:24:58,15,65,0,80
2023-08-21T16:37:40,15,65,0,80
2023-08-21T16:50:23,16,64,0,80
2023-08-21T17:03:05,16,64,0,80
2023-08-21T17:15:49,16,64,0,80
2023-08-21T17:28:40,16,64,0,80
2023-08-21T17:41:22,16,64,0,80
2023-08-21T17:54:04,18,62,0,80
2023-08-21T18:06:46,19,61,0,80
2023-08-21T18:19:28,19,61,0,80
2023-08-21T18:32:11,19,61,0,80
2023-08-21T18:44:55,19,61,0,80
2023-08-21T18:57:47,19,61,0,80
2023-08-21T19:10:30,19,61,0,80
2023-08-21T19:23:12,19,61,0,80
2023-08-21T19:35:54,19,61,0,80
2023-08-21T19:48:37,19,61,0,80
2023-08-21T20:01:22,20,60,0,80
2023-08-21T20:14:04,20,60,0,80
2023-08-21T20:26:56,20,60,0,80
2023-08-21T20:39:38,20,60,0,80
2023-08-21T20:52:21,20,60,0,80
2023-08-21T21:05:04,21,59,0,80
2023-08-21T21:17:47,23,57,0,80
2023-08-21T21:30:30,23,57,0,80
2023-08-21T21:43:12,23,57,0,80
2023-08-21T21:55:55,23,57,0,80
2023-08-21T22:08:37,23,57,0,80
2023-08-21T22:21:20,23,57,0,80
2023-08-21T22:34:13,23,57,0,80
2023-08-21T22:46:54,23,57,0,80
2023-08-21T22:59:36,23,57,0,80
2023-08-21T23:12:21,24,56,0,80
2023-08-21T23:25:04,24,56,0,80
2023-08-21T23:37:48,24,56,0,80
2023-08-21T23:50:31,24,56,0,80
2023-08-22T00:03:15,24,56,0,80
2023-08-22T00:16:03,25,55,0,80
2023-08-22T00:28:52,25,55,0,80
2023-08-22T00:41:39,25,55,0,80
2023-08-22T00:54:26,25,55,0,80
2023-08-22T01:07:14,25,55,0,80
2023-08-22T01:19:59,25,55,0,80
2023-08-22T01:32:45,25,55,0,80
2023-08-22T01:45:30,25,55,0,80
2023-08-22T01:58:28,25,55,0,80
2023-08-22T02:11:14,25,55,0,80
2023-08-22T02:23:59,25,55,0,80
2023-08-22T02:36:44,25,55,0,80
2023-08-22T02:49:28,25,55,0,80
2023-08-22T03:02:18,25,55,0,80
2023-08-22T03:15:06,25,55,0,80
2023-08-22T03:27:52,25,55,0,80
2023-08-22T03:40:37,25,55,0,80
2023-08-22T03:53:25,25,55,0,80
2023-08-22T04:06:13,25,55,0,80
2023-08-22T04:32:56,25,55,0,80
2023-08-22T04:45:43,25,55,0,80
2023-08-22T04:58:30,25,55,0,80
2023-08-22T05:11:20,25,55,0,80
2023-08-22T05:24:08,25,55,0,80
2023-08-22T05:36:55,25,55,0,80
2023-08-22T05:49:42,25,55,0,80
2023-08-22T06:02:28,26,54,0,80
2023-08-22T06:15:14,26,54,0,80
2023-08-22T06:27:59,26,54,0,80
2023-08-22T06:40:44,26,54,0,80
2023-08-22T06:53:30,26,54,0,80
2023-08-22T07:06:15,26,54,0,80
2023-08-22T07:19:00,26,54,0,80
2023-08-22T07:31:43,27,53,0,80
2023-08-22T07:44:26,27,53,0,80
2023-08-22T07:57:08,28,52,0,80
2023-08-22T08:09:53,28,52,0,80
2023-08-22T08:22:35,28,52,0,80
2023-08-22T08:35:18,28,52,0,80
2023-08-22T08:48:04,28,52,0,80
2023-08-22T09:00:48,28,52,0,80
2023-08-22T09:13:41,28,52,0,80
2023-08-22T09:26:23,28,52,0,80
2023-08-22T09:39:07,28,52,0,80
2023-08-22T09:51:51,28,52,0,80
2023-08-22T10:04:34,29,51,0,80
2023-08-22T10:17:18,31,49,0,80
2023-08-22T10:30:02,32,48,0,80
2023-08-22T10:42:45,33,47,0,80
2023-08-22T10:55:29,34,46,0,80
2023-08-22T11:08:12,34,46,0,80
2023-08-22T11:21:06,35,45,0,80
2023-08-22T11:33:50,35,45,0,80
2023-08-22T11:46:33,35,45,0,80
2023-08-22T11:59:17,35,45,0,80
2023-08-22T12:12:00,35,45,0,80
2023-08-22T12:24:44,35,45,0,80
2023-08-22T12:37:29,35,45,0,80
2023-08-22T12:50:24,35,45,0,80
2023-08-22T13:03:07,35,45,0,80
2023-08-22T13:15:50,35,45,0,80
2023-08-22T13:28:33,36,44,0,80
2023-08-22T13:41:19,36,44,0,80
2023-08-22T13:54:02,36,44,0,80
2023-08-22T14:06:46,36,44,0,80
2023-08-22T14:19:41,36,44,0,80
2023-08-22T14:32:25,37,43,0,80
2023-08-22T14:45:08,37,43,0,80
2023-08-22T14:57:53,38,42,0,80
2023-08-22T15:10:37,38,42,0,80
2023-08-22T15:23:21,38,42,0,80
2023-08-22T15:36:04,38,42,0,80
2023-08-22T15:48:57,39,41,0,80
2023-08-22T16:01:40,39,41,0,80
2023-08-22T16:14:23,39,41,0,80
2023-08-22T16:27:07,39,41,0,80
2023-08-22T16:39:49,39,41,0,80
2023-08-22T16:52:33,39,41,0,80
2023-08-22T17:05:19,39,41,0,80
2023-08-22T17:18:04,39,41,0,80
2023-08-22T17:30:59,39,41,0,80
2023-08-22T17:43:42,39,41,0,80
2023-08-22T17:56:26,39,41,0,80
2023-08-22T18:09:09,40,40,0,80
2023-08-22T18:21:52,40,40,0,80
2023-08-22T18:34:36,40,40,0,80
2023-08-22T18:47:20,42,38,0,80
2023-08-22T19:00:03,42,38,0,80
2023-08-22T19:12:49,42,38,0,80
2023-08-22T19:25:32,42,38,0,80
2023-08-22T19:38:26,43,37,0,80
