time,enrolled,available,waitlisted,total
2023-08-08T14:44:53,0,15,0,15
2023-08-08T14:57:30,0,15,0,15
2023-08-08T15:10:16,0,15,0,15
2023-08-08T15:22:54,0,15,0,15
2023-08-08T15:35:31,0,15,0,15
2023-08-08T15:48:08,2,13,0,15
2023-08-08T16:00:45,2,13,0,15
2023-08-08T16:13:22,3,12,0,15
2023-08-08T16:25:59,4,11,0,15
2023-08-08T16:38:47,5,10,0,15
2023-08-08T16:51:23,6,9,0,15
2023-08-08T17:04:00,5,10,0,15
2023-08-08T17:16:37,5,10,0,15
2023-08-08T17:29:14,6,9,0,15
2023-08-08T17:41:51,6,9,0,15
2023-08-08T17:54:48,7,8,0,15
2023-08-08T18:07:25,7,8,0,15
2023-08-08T18:20:02,7,8,0,15
2023-08-08T18:32:39,7,8,0,15
2023-08-08T18:45:16,7,8,0,15
2023-08-08T18:57:52,8,7,0,15
2023-08-08T19:10:31,8,7,0,15
2023-08-08T19:23:09,8,7,0,15
2023-08-08T19:35:57,8,7,0,15
2023-08-08T19:48:34,8,7,0,15
2023-08-08T20:01:11,8,7,0,15
2023-08-08T20:13:50,8,7,0,15
2023-08-08T20:26:26,8,7,0,15
2023-08-08T20:39:04,8,7,0,15
2023-08-08T20:51:40,8,7,0,15
2023-08-08T21:04:17,8,7,0,15
2023-08-08T21:17:05,8,7,0,15
2023-08-08T21:29:42,8,7,0,15
2023-08-08T21:42:19,8,7,0,15
2023-08-08T21:54:55,8,7,0,15
2023-08-08T22:07:33,8,7,0,15
2023-08-08T22:20:09,8,7,0,15
2023-08-08T22:32:46,8,7,0,15
2023-08-08T22:45:23,8,7,0,15
2023-08-08T22:58:10,8,7,0,15
2023-08-08T23:10:50,8,7,0,15
2023-08-08T23:23:27,8,7,0,15
2023-08-08T23:36:05,8,7,0,15
2023-08-08T23:48:43,8,7,0,15
2023-08-09T00:01:21,8,7,0,15
2023-08-09T00:14:04,8,7,0,15
2023-08-09T00:26:41,8,7,0,15
2023-08-09T00:39:18,8,7,0,15
2023-08-09T00:51:56,8,7,0,15
2023-08-09T01:04:48,8,7,0,15
2023-08-09T01:17:26,8,7,0,15
2023-08-09T01:30:03,8,7,0,15
2023-08-09T01:42:39,8,7,0,15
2023-08-09T01:55:16,8,7,0,15
2023-08-09T02:07:55,8,7,0,15
2023-08-09T02:20:34,8,7,0,15
