time,enrolled,available,waitlisted,total
2023-08-23T14:24:19,0,20,0,20
2023-08-23T14:37:13,0,20,0,20
2023-08-23T14:49:58,0,20,0,20
2023-08-23T15:02:42,0,20,0,20
2023-08-23T15:15:26,0,20,0,20
2023-08-23T15:28:10,0,20,0,20
2023-08-23T15:40:55,0,20,0,20
2023-08-23T15:53:40,0,20,0,20
2023-08-23T16:06:24,0,20,0,20
2023-08-23T16:19:08,0,20,0,20
2023-08-23T16:32:05,0,20,0,20
2023-08-23T16:44:49,0,20,0,20
2023-08-23T16:57:33,0,20,0,20
2023-08-23T17:10:18,0,20,0,20
2023-08-23T17:23:02,0,20,0,20
2023-08-23T17:35:46,0,20,0,20
2023-08-23T17:48:30,0,20,0,20
2023-08-23T18:01:14,0,20,0,20
2023-08-23T18:13:59,0,20,0,20
2023-08-23T18:26:53,0,20,0,20
2023-08-23T18:39:37,0,20,0,20
2023-08-23T18:52:20,0,20,0,20
2023-08-23T19:05:05,0,20,0,20
2023-08-23T19:17:49,0,20,0,20
2023-08-23T19:30:33,0,20,0,20
2023-08-23T19:43:17,0,20,0,20
2023-08-23T19:56:01,0,20,0,20
2023-08-23T20:08:45,0,20,0,20
2023-08-23T20:21:38,0,20,0,20
2023-08-23T20:34:22,0,20,0,20
2023-08-23T20:47:05,0,20,0,20
2023-08-23T20:59:49,0,20,0,20
2023-08-23T21:12:34,0,20,0,20
2023-08-23T21:25:18,0,20,0,20
2023-08-23T21:38:02,0,20,0,20
2023-08-23T21:50:46,0,20,0,20
2023-08-23T22:03:30,0,20,0,20
2023-08-23T22:16:14,0,20,0,20
2023-08-23T22:29:08,0,20,0,20
2023-08-23T22:41:52,0,20,0,20
2023-08-23T22:54:35,0,20,0,20
2023-08-23T23:07:23,0,20,0,20
2023-08-23T23:20:09,0,20,0,20
2023-08-23T23:32:54,0,20,0,20
2023-08-23T23:45:39,0,20,0,20
2023-08-23T23:58:24,0,20,0,20
2023-08-24T00:11:11,0,20,0,20
2023-08-24T00:24:02,0,20,0,20
2023-08-24T00:36:50,0,20,0,20
2023-08-24T00:49:38,0,20,0,20
2023-08-24T01:02:28,0,20,0,20
2023-08-24T01:15:15,0,20,0,20
2023-08-24T01:28:03,0,20,0,20
2023-08-24T01:41:03,0,20,0,20
2023-08-24T01:53:50,0,20,0,20
2023-08-24T02:06:38,0,20,0,20
2023-08-24T02:19:24,0,20,0,20
2023-08-24T02:32:11,0,20,0,20
2023-08-24T02:44:57,0,20,0,20
2023-08-24T02:57:54,0,20,0,20
2023-08-24T03:10:43,0,20,0,20
2023-08-24T03:23:31,0,20,0,20
2023-08-24T03:36:20,0,20,0,20
2023-08-24T03:49:08,0,20,0,20
2023-08-24T04:01:55,0,20,0,20
2023-08-24T04:32:48,0,20,0,20
2023-08-24T04:45:55,0,20,0,20
2023-08-24T04:58:44,0,20,0,20
2023-08-24T05:11:33,0,20,0,20
2023-08-24T05:24:23,0,20,0,20
2023-08-24T05:37:11,0,20,0,20
2023-08-24T05:50:00,0,20,0,20
2023-08-24T06:02:48,0,20,0,20
2023-08-24T06:15:36,0,20,0,20
2023-08-24T06:28:23,0,20,0,20
2023-08-24T06:41:10,0,20,0,20
2023-08-24T06:53:57,0,20,0,20
2023-08-24T07:06:45,0,20,0,20
2023-08-24T07:19:31,0,20,0,20
2023-08-24T07:32:15,0,20,0,20
2023-08-24T07:44:58,0,20,0,20
2023-08-24T07:57:42,0,20,0,20
2023-08-24T08:10:26,0,20,0,20
2023-08-24T08:23:11,0,20,0,20
2023-08-24T08:35:55,0,20,0,20
2023-08-24T08:48:39,0,20,0,20
2023-08-24T09:01:33,0,20,0,20
2023-08-24T09:14:16,0,20,0,20
2023-08-24T09:27:00,0,20,0,20
2023-08-24T09:39:54,0,20,0,20
2023-08-24T09:52:38,0,20,0,20
2023-08-24T10:05:32,0,20,0,20
2023-08-24T10:18:16,0,20,0,20
2023-08-24T10:31:09,0,20,0,20
2023-08-24T10:44:01,0,20,0,20
2023-08-24T10:56:45,0,20,0,20
2023-08-24T11:09:39,0,20,0,20
2023-08-24T11:22:24,0,20,0,20
2023-08-24T11:35:18,0,20,0,20
2023-08-24T11:48:12,0,20,0,20
2023-08-24T12:01:09,0,20,0,20
2023-08-24T12:13:54,0,8,0,8
2023-08-24T12:26:47,0,8,0,8
2023-08-24T12:39:32,0,8,0,8
2023-08-24T12:52:25,0,8,0,8
2023-08-24T13:05:19,0,8,0,8
2023-08-24T13:18:02,0,8,0,8
2023-08-24T13:30:58,0,8,0,8
2023-08-24T13:43:42,0,8,0,8
2023-08-24T13:56:35,0,8,0,8
2023-08-24T14:09:21,0,8,0,8
2023-08-24T14:22:14,0,8,0,8
2023-08-24T14:35:07,0,8,0,8
2023-08-24T14:47:51,0,8,0,8
2023-08-24T15:00:47,0,8,0,8
2023-08-24T15:13:31,0,8,0,8
2023-08-24T15:26:25,0,8,0,8
2023-08-24T15:39:09,0,8,0,8
2023-08-24T15:51:53,0,8,0,8
2023-08-24T16:04:38,0,8,0,8
2023-08-24T16:17:33,0,8,0,8
2023-08-24T16:30:17,0,8,0,8
2023-08-24T16:43:01,0,8,0,8
2023-08-24T16:55:44,0,8,0,8
2023-08-24T17:08:30,0,8,0,8
2023-08-24T17:21:15,0,8,0,8
2023-08-24T17:34:00,0,8,0,8
2023-08-24T17:46:44,0,8,0,8
2023-08-24T17:59:38,0,8,0,8
2023-08-24T18:12:23,0,8,0,8
2023-08-24T18:25:08,0,8,0,8
2023-08-24T18:37:53,0,8,0,8
2023-08-24T18:50:37,0,8,0,8
2023-08-24T19:03:23,0,8,0,8
2023-08-24T19:16:08,0,8,0,8
2023-08-24T19:28:52,0,8,0,8
2023-08-24T19:41:49,0,8,0,8
2023-08-24T19:54:33,0,8,0,8
2023-08-24T20:07:17,0,8,0,8
2023-08-24T20:20:01,0,8,0,8
2023-08-24T20:32:45,0,8,0,8
2023-08-24T20:45:30,0,8,0,8
2023-08-24T20:58:15,0,8,0,8
2023-08-24T21:11:00,0,8,0,8
2023-08-24T21:23:44,0,8,0,8
2023-08-24T21:36:29,0,8,0,8
2023-08-24T21:49:23,0,8,0,8
2023-08-24T22:02:07,0,8,0,8
2023-08-24T22:14:50,0,8,0,8
2023-08-24T22:27:48,0,8,0,8
2023-08-24T22:40:33,0,8,0,8
2023-08-24T22:53:18,0,8,0,8
2023-08-24T23:06:03,0,8,0,8
2023-08-24T23:18:50,0,8,0,8
2023-08-24T23:31:35,0,8,0,8
2023-08-24T23:44:19,0,8,0,8
2023-08-24T23:57:13,0,8,0,8
2023-08-25T00:10:00,0,8,0,8
2023-08-25T00:22:50,0,8,0,8
2023-08-25T00:35:38,0,8,0,8
2023-08-25T00:48:26,0,8,0,8
2023-08-25T01:01:15,0,8,0,8
2023-08-25T01:14:05,0,8,0,8
2023-08-25T01:26:55,0,8,0,8
2023-08-25T01:39:45,0,8,0,8
2023-08-25T01:52:33,0,8,0,8
2023-08-25T02:05:21,0,8,0,8
2023-08-25T02:18:18,0,8,0,8
2023-08-25T02:31:08,0,8,0,8
2023-08-25T02:44:05,0,8,0,8
2023-08-25T02:56:53,0,8,0,8
2023-08-25T03:09:41,0,8,0,8
2023-08-25T03:22:29,0,8,0,8
2023-08-25T03:35:16,0,8,0,8
2023-08-25T03:48:04,0,8,0,8
2023-08-25T04:00:52,0,8,0,8
2023-08-25T04:13:39,0,8,0,8
2023-08-25T04:37:45,0,8,0,8
2023-08-25T04:51:58,0,8,0,8
2023-08-25T05:05:10,0,8,0,8
2023-08-25T05:17:59,0,8,0,8
2023-08-25T05:30:48,0,8,0,8
2023-08-25T05:43:36,0,8,0,8
2023-08-25T05:56:26,0,8,0,8
2023-08-25T06:09:14,0,8,0,8
2023-08-25T06:22:02,0,8,0,8
2023-08-25T06:34:50,0,8,0,8
2023-08-25T06:47:37,0,8,0,8
2023-08-25T07:00:22,0,8,0,8
2023-08-25T07:13:06,0,8,0,8
2023-08-25T07:25:51,0,8,0,8
2023-08-25T07:38:44,0,8,0,8
2023-08-25T07:51:29,0,8,0,8
2023-08-25T08:04:14,0,8,0,8
2023-08-25T08:16:59,0,8,0,8
2023-08-25T08:29:43,0,8,0,8
2023-08-25T08:42:27,0,8,0,8
2023-08-25T08:55:11,0,8,0,8
2023-08-25T09:07:56,0,8,0,8
2023-08-25T09:20:41,0,8,0,8
2023-08-25T09:33:25,0,8,0,8
2023-08-25T09:46:20,0,8,0,8
2023-08-25T09:59:05,0,8,0,8
2023-08-25T10:11:49,0,8,0,8
2023-08-25T10:24:33,0,8,0,8
2023-08-25T10:37:17,0,8,0,8
2023-08-25T10:50:02,0,8,0,8
2023-08-25T11:02:46,0,8,0,8
2023-08-25T11:15:41,0,8,0,8
2023-08-25T11:28:25,0,8,0,8
2023-08-25T11:41:09,0,8,0,8
2023-08-25T11:53:53,0,8,0,8
2023-08-25T12:06:37,0,8,0,8
2023-08-25T12:19:21,0,8,0,8
2023-08-25T12:32:05,0,8,0,8
2023-08-25T12:45:01,0,8,0,8
2023-08-25T12:57:46,0,8,0,8
2023-08-25T13:10:30,0,8,0,8
2023-08-25T13:23:15,0,8,0,8
2023-08-25T13:35:59,0,8,0,8
2023-08-25T13:48:43,0,8,0,8
2023-08-25T14:01:28,0,8,0,8
2023-08-25T14:14:13,0,8,0,8
2023-08-25T14:27:07,0,8,0,8
2023-08-25T14:39:50,0,8,0,8
2023-08-25T14:52:38,0,8,0,8
2023-08-25T15:05:23,0,8,0,8
2023-08-25T15:18:07,0,8,0,8
2023-08-25T15:30:51,0,8,0,8
2023-08-25T15:43:37,0,8,0,8
2023-08-25T15:56:30,0,8,0,8
2023-08-25T16:09:14,0,8,0,8
2023-08-25T16:21:58,0,8,0,8
2023-08-25T16:34:42,0,8,0,8
2023-08-25T16:47:26,0,8,0,8
2023-08-25T17:00:11,0,8,0,8
2023-08-25T17:12:57,0,8,0,8
2023-08-25T17:25:50,0,8,0,8
2023-08-25T17:38:35,0,8,0,8
2023-08-25T17:51:19,0,8,0,8
2023-08-25T18:04:02,0,8,0,8
2023-08-25T18:16:46,0,8,0,8
2023-08-25T18:29:29,0,8,0,8
2023-08-25T18:42:13,0,8,0,8
2023-08-25T18:54:57,0,8,0,8
2023-08-25T19:07:52,0,8,0,8
2023-08-25T19:20:36,0,8,0,8
2023-08-25T19:33:22,0,8,0,8
2023-08-25T19:46:07,0,8,0,8
2023-08-25T19:58:51,0,8,0,8
2023-08-25T20:11:35,0,8,0,8
2023-08-25T20:24:20,0,8,0,8
2023-08-25T20:37:03,0,8,0,8
2023-08-25T20:49:48,0,8,0,8
2023-08-25T21:02:41,0,8,0,8
2023-08-25T21:15:25,0,8,0,8
2023-08-25T21:28:09,0,8,0,8
2023-08-25T21:40:53,0,8,0,8
2023-08-25T21:53:37,0,8,0,8
2023-08-25T22:06:22,0,8,0,8
2023-08-25T22:19:05,0,8,0,8
2023-08-25T22:31:49,0,8,0,8
2023-08-25T22:44:33,0,8,0,8
2023-08-25T22:57:28,0,8,0,8
2023-08-25T23:10:14,0,8,0,8
2023-08-25T23:22:58,0,8,0,8
2023-08-25T23:35:43,0,8,0,8
2023-08-25T23:48:28,0,8,0,8
2023-08-26T00:01:14,0,8,0,8
2023-08-26T00:14:04,0,8,0,8
2023-08-26T00:26:54,0,8,0,8
2023-08-26T00:39:43,0,8,0,8
2023-08-26T00:52:42,0,8,0,8
2023-08-26T01:05:31,0,8,0,8
2023-08-26T01:18:19,0,8,0,8
2023-08-26T01:31:09,0,8,0,8
2023-08-26T01:43:57,0,8,0,8
2023-08-26T01:56:45,0,8,0,8
2023-08-26T02:09:31,0,8,0,8
2023-08-26T02:22:16,0,8,0,8
2023-08-26T02:35:01,0,8,0,8
2023-08-26T02:47:46,0,8,0,8
2023-08-26T03:00:30,0,8,0,8
2023-08-26T03:13:16,0,8,0,8
2023-08-26T03:26:05,0,8,0,8
2023-08-26T03:39:04,0,8,0,8
2023-08-26T03:51:52,0,8,0,8
2023-08-26T04:04:39,0,8,0,8
2023-08-26T04:17:27,0,8,0,8
2023-08-26T04:39:13,0,8,0,8
2023-08-26T04:52:04,0,8,0,8
2023-08-26T05:04:56,0,8,0,8
2023-08-26T05:17:43,0,8,0,8
2023-08-26T05:30:33,0,8,0,8
2023-08-26T05:43:21,0,8,0,8
2023-08-26T05:56:08,0,8,0,8
2023-08-26T06:08:57,0,8,0,8
2023-08-26T06:21:44,0,8,0,8
2023-08-26T06:34:32,0,8,0,8
2023-08-26T06:47:23,0,8,0,8
