time,enrolled,available,waitlisted,total
2023-05-25T01:23:45,0,20,0,20
2023-05-25T01:35:21,0,20,0,20
2023-05-25T01:47:05,0,20,0,20
2023-05-25T01:58:40,0,20,0,20
2023-05-25T02:10:16,0,20,0,20
2023-05-25T02:21:53,0,20,0,20
2023-05-25T02:33:27,0,20,0,20
2023-05-25T02:45:00,0,20,0,20
2023-05-25T02:56:33,0,20,0,20
2023-05-25T03:08:08,0,20,0,20
2023-05-25T03:19:46,0,20,0,20
2023-05-25T03:31:44,0,20,0,20
2023-05-25T03:43:21,0,20,0,20
2023-05-25T03:54:57,0,20,0,20
2023-05-25T04:06:32,0,20,0,20
2023-05-25T04:26:20,0,20,0,20
2023-05-25T04:37:57,0,20,0,20
2023-05-25T04:49:33,0,20,0,20
2023-05-25T05:01:09,0,20,0,20
2023-05-25T05:12:46,0,20,0,20
2023-05-25T05:24:21,0,20,0,20
2023-05-25T05:35:58,0,20,0,20
2023-05-25T05:47:34,0,20,0,20
2023-05-25T05:59:11,0,20,0,20
2023-05-25T06:10:47,0,20,0,20
2023-05-25T06:22:22,0,20,0,20
2023-05-25T06:33:57,0,20,0,20
2023-05-25T06:45:32,0,20,0,20
2023-05-25T06:57:07,0,20,0,20
2023-05-25T07:08:43,0,20,0,20
2023-05-25T07:20:17,0,20,0,20
2023-05-25T07:31:51,0,20,0,20
2023-05-25T07:43:27,0,20,0,20
2023-05-25T07:55:03,0,20,0,20
2023-05-25T08:06:38,0,20,0,20
2023-05-25T08:18:13,0,20,0,20
2023-05-25T08:29:57,0,20,0,20
2023-05-25T08:41:30,0,20,0,20
2023-05-25T08:53:02,0,20,0,20
2023-05-25T09:04:36,0,20,0,20
2023-05-25T09:16:08,0,20,0,20
2023-05-25T09:27:41,0,20,0,20
2023-05-25T09:39:14,0,20,0,20
2023-05-25T09:50:46,0,20,0,20
2023-05-25T10:02:20,0,20,0,20
2023-05-25T10:14:04,0,20,0,20
2023-05-25T10:25:37,0,20,0,20
2023-05-25T10:37:10,0,20,0,20
2023-05-25T10:48:43,0,20,0,20
2023-05-25T11:00:25,0,20,0,20
2023-05-25T11:11:58,0,20,0,20
2023-05-25T11:23:31,0,20,0,20
2023-05-25T11:35:03,0,20,0,20
2023-05-25T11:46:36,0,20,0,20
2023-05-25T11:58:21,0,20,0,20
2023-05-25T12:09:53,0,20,0,20
2023-05-25T12:21:26,0,20,0,20
2023-05-25T12:32:59,0,20,0,20
2023-05-25T12:44:32,0,20,0,20
2023-05-25T12:56:05,0,20,0,20
2023-05-25T13:07:48,0,20,0,20
2023-05-25T13:19:21,0,20,0,20
2023-05-25T13:30:54,0,20,0,20
2023-05-25T13:42:27,0,20,0,20
2023-05-25T13:54:00,0,20,0,20
2023-05-25T14:05:44,0,20,0,20
2023-05-25T14:17:18,0,20,0,20
2023-05-25T14:28:51,0,20,0,20
2023-05-25T14:40:24,0,20,0,20
2023-05-25T14:51:58,0,20,0,20
2023-05-25T15:03:42,0,20,0,20
2023-05-25T15:15:16,0,20,0,20
2023-05-25T15:26:50,0,20,0,20
2023-05-25T15:38:25,0,20,0,20
2023-05-25T15:49:59,0,20,0,20
2023-05-25T16:01:34,0,20,0,20
2023-05-25T16:13:20,0,20,0,20
2023-05-25T16:24:55,0,20,0,20
2023-05-25T16:36:30,0,20,0,20
2023-05-25T16:48:05,0,20,0,20
2023-05-25T16:59:41,0,20,0,20
2023-05-25T17:11:18,0,20,0,20
2023-05-25T17:23:05,0,20,0,20
2023-05-25T17:34:40,0,20,0,20
2023-05-25T17:46:16,0,20,0,20
2023-05-25T17:57:51,0,20,0,20
2023-05-25T18:09:28,0,20,0,20
2023-05-25T18:21:04,0,20,0,20
2023-05-25T18:32:39,0,20,0,20
2023-05-25T18:44:25,0,20,0,20
2023-05-25T18:56:00,0,20,0,20
2023-05-25T19:07:37,0,20,0,20
2023-05-25T19:19:13,0,20,0,20
2023-05-25T19:30:48,0,20,0,20
2023-05-25T19:42:24,0,20,0,20
2023-05-25T19:54:10,0,20,0,20
2023-05-25T20:05:46,0,20,0,20
2023-05-25T20:17:22,0,20,0,20
2023-05-25T20:28:58,0,20,0,20
2023-05-25T20:40:33,0,20,0,20
2023-05-25T20:52:09,0,20,0,20
2023-05-25T21:03:44,0,20,0,20
2023-05-25T21:15:20,0,20,0,20
2023-05-25T21:27:07,0,20,0,20
2023-05-25T21:38:43,0,20,0,20
2023-05-25T21:50:19,0,20,0,20
2023-05-25T22:01:54,0,20,0,20
2023-05-25T22:13:30,0,20,0,20
2023-05-25T22:25:05,0,20,0,20
2023-05-25T22:36:41,0,20,0,20
2023-05-25T22:48:27,0,20,0,20
2023-05-25T23:00:02,0,20,0,20
2023-05-25T23:11:41,0,20,0,20
2023-05-25T23:23:16,0,20,0,20
2023-05-25T23:34:52,0,20,0,20
