time,enrolled,available,waitlisted,total
2023-07-10T15:12:55,0,3,0,3
2023-07-10T15:25:20,0,3,0,3
2023-07-10T15:37:45,0,3,0,3
2023-07-10T15:50:10,0,3,0,3
2023-07-10T16:02:34,0,3,0,3
2023-07-10T16:14:58,0,3,0,3
2023-07-10T16:27:23,0,3,0,3
2023-07-10T16:39:48,0,3,0,3
2023-07-10T16:52:13,0,3,0,3
2023-07-10T17:04:38,0,3,0,3
2023-07-10T17:17:04,0,3,0,3
2023-07-10T17:29:40,0,3,0,3
2023-07-10T17:42:04,0,3,0,3
2023-07-10T17:54:30,0,3,0,3
2023-07-10T18:06:55,0,3,0,3
2023-07-10T18:19:20,0,3,0,3
2023-07-10T18:31:45,0,3,0,3
2023-07-10T18:44:10,0,3,0,3
2023-07-10T18:56:34,0,3,0,3
2023-07-10T19:09:00,0,3,0,3
2023-07-10T19:21:25,0,3,0,3
2023-07-10T19:33:49,0,3,0,3
2023-07-10T19:46:14,0,3,0,3
2023-07-10T19:58:39,0,3,0,3
2023-07-10T20:11:04,0,3,0,3
2023-07-10T20:23:29,0,3,0,3
2023-07-10T20:36:04,0,3,0,3
2023-07-10T20:48:28,0,3,0,3
2023-07-10T21:00:53,0,3,0,3
2023-07-10T21:13:18,0,3,0,3
2023-07-10T21:25:43,0,3,0,3
2023-07-10T21:38:08,0,3,0,3
2023-07-10T21:50:32,0,3,0,3
2023-07-10T22:02:57,0,3,0,3
2023-07-10T22:15:22,0,3,0,3
2023-07-10T22:27:47,0,3,0,3
2023-07-10T22:40:12,0,3,0,3
2023-07-10T22:52:37,0,3,0,3
2023-07-10T23:05:02,0,3,0,3
2023-07-10T23:17:39,0,3,0,3
2023-07-10T23:30:05,0,3,0,3
2023-07-10T23:42:31,0,3,0,3
2023-07-10T23:54:56,0,3,0,3
2023-07-11T00:07:23,0,3,0,3
2023-07-11T00:19:54,0,3,0,3
2023-07-11T00:32:22,0,3,0,3
2023-07-11T00:44:51,0,3,0,3
2023-07-11T00:57:22,0,3,0,3
2023-07-11T01:09:51,0,3,0,3
2023-07-11T01:22:19,0,3,0,3
2023-07-11T01:34:48,0,3,0,3
2023-07-11T01:47:18,0,3,0,3
2023-07-11T01:59:45,0,3,0,3
2023-07-11T02:12:13,0,3,0,3
2023-07-11T02:24:40,0,3,0,3
2023-07-11T02:37:17,0,3,0,3
2023-07-11T02:49:44,0,3,0,3
2023-07-11T03:02:09,0,3,0,3
2023-07-11T03:14:35,0,3,0,3
2023-07-11T03:27:03,0,3,0,3
2023-07-11T03:39:29,0,3,0,3
2023-07-11T03:51:56,0,3,0,3
2023-07-11T04:04:24,0,3,0,3
2023-07-11T04:35:42,0,3,0,3
2023-07-11T04:48:13,0,3,0,3
2023-07-11T05:00:43,0,3,0,3
2023-07-11T05:15:23,0,3,0,3
2023-07-11T05:28:01,0,3,0,3
2023-07-11T05:40:30,0,3,0,3
2023-07-11T05:52:59,0,3,0,3
2023-07-11T06:05:27,0,3,0,3
2023-07-11T06:17:54,0,3,0,3
2023-07-11T06:30:22,0,3,0,3
2023-07-11T06:42:50,0,3,0,3
2023-07-11T06:55:18,0,3,0,3
2023-07-11T07:07:46,0,3,0,3
2023-07-11T07:20:12,0,3,0,3
2023-07-11T07:32:39,0,3,0,3
2023-07-11T07:45:06,0,3,0,3
2023-07-11T07:57:33,0,3,0,3
2023-07-11T08:10:01,0,3,0,3
2023-07-11T08:22:28,0,3,0,3
2023-07-11T08:34:56,0,3,0,3
