time,enrolled,available,waitlisted,total
2023-05-25T01:23:56,0,10,0,10
2023-05-25T01:35:32,0,10,0,10
2023-05-25T01:47:16,0,10,0,10
2023-05-25T01:58:51,0,10,0,10
2023-05-25T02:10:27,0,10,0,10
2023-05-25T02:22:04,0,10,0,10
2023-05-25T02:33:38,0,10,0,10
2023-05-25T02:45:11,0,10,0,10
2023-05-25T02:56:44,0,10,0,10
2023-05-25T03:08:19,0,10,0,10
2023-05-25T03:19:58,0,10,0,10
2023-05-25T03:31:55,0,10,0,10
2023-05-25T03:43:32,0,10,0,10
2023-05-25T03:55:08,0,10,0,10
2023-05-25T04:06:43,0,10,0,10
2023-05-25T04:26:31,0,10,0,10
2023-05-25T04:38:08,0,10,0,10
2023-05-25T04:49:44,0,10,0,10
2023-05-25T05:01:20,0,10,0,10
2023-05-25T05:12:57,0,10,0,10
2023-05-25T05:24:33,0,10,0,10
2023-05-25T05:36:09,0,10,0,10
2023-05-25T05:47:46,0,10,0,10
2023-05-25T05:59:22,0,10,0,10
2023-05-25T06:10:58,0,10,0,10
2023-05-25T06:22:33,0,10,0,10
2023-05-25T06:34:08,0,10,0,10
2023-05-25T06:45:43,0,10,0,10
2023-05-25T06:57:18,0,10,0,10
2023-05-25T07:08:54,0,10,0,10
2023-05-25T07:20:29,0,10,0,10
2023-05-25T07:32:02,0,10,0,10
2023-05-25T07:43:38,0,10,0,10
2023-05-25T07:55:15,0,10,0,10
2023-05-25T08:06:49,0,10,0,10
2023-05-25T08:18:24,0,10,0,10
2023-05-25T08:30:08,0,10,0,10
2023-05-25T08:41:41,0,10,0,10
2023-05-25T08:53:13,0,10,0,10
2023-05-25T09:04:47,0,10,0,10
2023-05-25T09:16:19,0,10,0,10
2023-05-25T09:27:52,0,10,0,10
2023-05-25T09:39:25,0,10,0,10
2023-05-25T09:50:57,0,10,0,10
2023-05-25T10:02:31,0,10,0,10
2023-05-25T10:14:15,0,10,0,10
2023-05-25T10:25:48,0,10,0,10
2023-05-25T10:37:21,0,10,0,10
2023-05-25T10:48:54,0,10,0,10
2023-05-25T11:00:36,0,10,0,10
2023-05-25T11:12:09,0,10,0,10
2023-05-25T11:23:42,0,10,0,10
2023-05-25T11:35:14,0,10,0,10
2023-05-25T11:46:48,0,10,0,10
2023-05-25T11:58:32,0,10,0,10
2023-05-25T12:10:04,0,10,0,10
2023-05-25T12:21:37,0,10,0,10
2023-05-25T12:33:10,0,10,0,10
2023-05-25T12:44:43,0,10,0,10
2023-05-25T12:56:16,0,10,0,10
2023-05-25T13:07:59,0,10,0,10
2023-05-25T13:19:32,0,10,0,10
2023-05-25T13:31:05,0,10,0,10
2023-05-25T13:42:38,0,10,0,10
2023-05-25T13:54:11,0,10,0,10
2023-05-25T14:05:55,0,10,0,10
2023-05-25T14:17:29,0,10,0,10
2023-05-25T14:29:02,0,10,0,10
2023-05-25T14:40:35,0,10,0,10
2023-05-25T14:52:09,0,10,0,10
2023-05-25T15:03:53,0,10,0,10
2023-05-25T15:15:27,0,10,0,10
2023-05-25T15:27:01,0,10,0,10
2023-05-25T15:38:36,0,10,0,10
2023-05-25T15:50:10,0,10,0,10
2023-05-25T16:01:45,0,10,0,10
2023-05-25T16:13:31,0,10,0,10
2023-05-25T16:25:06,0,10,0,10
2023-05-25T16:36:41,0,10,0,10
2023-05-25T16:48:16,0,10,0,10
2023-05-25T16:59:52,0,10,0,10
2023-05-25T17:11:29,0,10,0,10
2023-05-25T17:23:16,0,10,0,10
2023-05-25T17:34:51,0,10,0,10
2023-05-25T17:46:27,0,10,0,10
2023-05-25T17:58:03,0,10,0,10
2023-05-25T18:09:39,0,10,0,10
2023-05-25T18:21:15,0,10,0,10
2023-05-25T18:32:50,0,10,0,10
2023-05-25T18:44:36,0,10,0,10
2023-05-25T18:56:11,0,10,0,10
2023-05-25T19:07:48,0,10,0,10
2023-05-25T19:19:24,0,10,0,10
2023-05-25T19:30:59,0,10,0,10
2023-05-25T19:42:35,0,10,0,10
2023-05-25T19:54:21,0,10,0,10
2023-05-25T20:05:57,0,10,0,10
2023-05-25T20:17:33,0,10,0,10
2023-05-25T20:29:09,0,10,0,10
2023-05-25T20:40:44,0,10,0,10
2023-05-25T20:52:20,0,10,0,10
2023-05-25T21:03:55,0,10,0,10
2023-05-25T21:15:32,0,10,0,10
2023-05-25T21:27:18,0,10,0,10
2023-05-25T21:38:54,0,10,0,10
2023-05-25T21:50:30,0,10,0,10
2023-05-25T22:02:05,0,10,0,10
2023-05-25T22:13:41,0,10,0,10
2023-05-25T22:25:16,0,10,0,10
2023-05-25T22:36:52,0,10,0,10
2023-05-25T22:48:38,0,10,0,10
2023-05-25T23:00:13,0,10,0,10
2023-05-25T23:11:52,0,10,0,10
2023-05-25T23:23:27,0,10,0,10
2023-05-25T23:35:03,0,10,0,10
2023-05-25T23:46:39,0,10,0,10
2023-05-25T23:58:16,0,10,0,10
2023-05-26T00:10:12,0,10,0,10
2023-05-26T00:21:52,0,10,0,10
2023-05-26T00:33:32,0,10,0,10
2023-05-26T00:45:10,0,10,0,10
2023-05-26T00:56:49,0,10,0,10
2023-05-26T01:08:28,0,10,0,10
2023-05-26T01:20:07,0,10,0,10
2023-05-26T01:31:45,0,10,0,10
2023-05-26T01:43:33,0,10,0,10
2023-05-26T01:55:11,0,10,0,10
2023-05-26T02:06:53,0,10,0,10
2023-05-26T02:18:31,0,10,0,10
2023-05-26T02:30:08,0,10,0,10
2023-05-26T02:41:47,0,10,0,10
2023-05-26T02:53:36,0,10,0,10
2023-05-26T03:05:17,0,10,0,10
2023-05-26T03:16:58,0,10,0,10
2023-05-26T03:28:37,0,10,0,10
2023-05-26T03:40:15,0,10,0,10
2023-05-26T03:51:53,0,10,0,10
2023-05-26T04:03:32,0,10,0,10
2023-05-26T04:15:20,0,10,0,10
2023-05-26T04:37:44,0,10,0,10
2023-05-26T04:49:25,0,10,0,10
2023-05-26T05:01:05,0,10,0,10
2023-05-26T05:12:47,0,10,0,10
2023-05-26T05:24:26,0,10,0,10
2023-05-26T05:36:04,0,10,0,10
2023-05-26T05:47:44,0,10,0,10
2023-05-26T05:59:23,0,10,0,10
2023-05-26T06:11:02,0,10,0,10
2023-05-26T06:22:41,0,10,0,10
2023-05-26T06:34:19,0,10,0,10
2023-05-26T06:45:58,0,10,0,10
2023-05-26T06:57:36,0,10,0,10
2023-05-26T07:09:15,0,10,0,10
2023-05-26T07:20:53,0,10,0,10
2023-05-26T07:32:39,0,10,0,10
2023-05-26T07:44:16,0,10,0,10
2023-05-26T07:55:54,0,10,0,10
2023-05-26T08:07:30,0,10,0,10
2023-05-26T08:19:06,0,10,0,10
2023-05-26T08:30:42,0,10,0,10
2023-05-26T08:42:18,0,10,0,10
2023-05-26T08:53:54,0,10,0,10
2023-05-26T09:05:30,0,10,0,10
2023-05-26T09:17:07,0,10,0,10
2023-05-26T09:28:43,0,10,0,10
2023-05-26T09:40:30,0,10,0,10
2023-05-26T09:52:06,0,10,0,10
2023-05-26T10:03:42,0,10,0,10
2023-05-26T10:15:19,0,10,0,10
2023-05-26T10:26:55,0,10,0,10
2023-05-26T10:38:43,0,10,0,10
2023-05-26T10:50:20,0,10,0,10
2023-05-26T11:01:56,0,10,0,10
2023-05-26T11:13:33,0,10,0,10
2023-05-26T11:25:09,0,10,0,10
2023-05-26T11:36:45,0,10,0,10
