time,enrolled,available,waitlisted,total
2023-09-26T14:48:46,0,10,0,10
2023-09-26T15:02:00,0,10,0,10
2023-09-26T15:15:01,0,10,0,10
2023-09-26T15:28:03,0,10,0,10
2023-09-26T15:41:05,0,10,0,10
2023-09-26T15:54:19,0,10,0,10
2023-09-26T16:07:21,0,10,0,10
2023-09-26T16:20:23,0,10,0,10
2023-09-26T16:33:25,0,10,0,10
2023-09-26T16:46:27,0,10,0,10
2023-09-26T16:59:42,0,10,0,10
2023-09-26T17:12:46,0,10,0,10
2023-09-26T17:25:49,0,10,0,10
2023-09-26T17:38:50,0,10,0,10
2023-09-26T17:52:04,0,10,0,10
2023-09-26T18:05:06,0,10,0,10
2023-09-26T18:18:07,0,10,0,10
2023-09-26T18:31:10,0,10,0,10
2023-09-26T18:44:12,0,10,0,10
2023-09-26T18:57:24,0,10,0,10
2023-09-26T19:10:27,0,10,0,10
2023-09-26T19:23:29,0,10,0,10
2023-09-26T19:36:31,0,10,0,10
2023-09-26T19:49:33,0,10,0,10
2023-09-26T20:02:46,0,10,0,10
2023-09-26T20:15:48,0,10,0,10
2023-09-26T20:28:51,0,10,0,10
2023-09-26T20:41:53,0,10,0,10
2023-09-26T20:54:54,0,10,0,10
2023-09-26T21:07:57,0,10,0,10
2023-09-26T21:21:10,0,10,0,10
2023-09-26T21:34:11,0,10,0,10
2023-09-26T21:47:14,0,10,0,10
2023-09-26T22:00:16,0,10,0,10
2023-09-26T22:13:18,0,10,0,10
2023-09-26T22:26:30,0,10,0,10
2023-09-26T22:39:33,0,10,0,10
2023-09-26T22:52:35,0,10,0,10
2023-09-26T23:05:38,0,10,0,10
2023-09-26T23:18:41,0,10,0,10
2023-09-26T23:31:43,0,10,0,10
2023-09-26T23:44:56,0,10,0,10
2023-09-26T23:58:03,0,10,0,10
2023-09-27T00:11:12,0,10,0,10
2023-09-27T00:24:23,0,10,0,10
2023-09-27T00:37:28,0,10,0,10
2023-09-27T00:50:36,0,10,0,10
2023-09-27T01:03:43,0,10,0,10
2023-09-27T01:17:01,0,10,0,10
2023-09-27T01:30:08,0,10,0,10
2023-09-27T01:43:15,0,10,0,10
2023-09-27T01:56:24,0,10,0,10
2023-09-27T02:09:35,0,10,0,10
2023-09-27T02:22:40,0,10,0,10
2023-09-27T02:35:44,0,10,0,10
2023-09-27T02:48:49,0,10,0,10
2023-09-27T03:01:57,0,10,0,10
2023-09-27T03:15:05,0,10,0,10
2023-09-27T03:28:12,0,10,0,10
2023-09-27T03:41:20,0,10,0,10
2023-09-27T03:54:27,0,10,0,10
2023-09-27T04:07:36,0,10,0,10
2023-09-27T04:34:53,0,10,0,10
2023-09-27T04:49:19,0,10,0,10
2023-09-27T05:02:43,0,10,0,10
2023-09-27T05:15:51,0,10,0,10
2023-09-27T05:28:58,0,10,0,10
2023-09-27T05:42:05,0,10,0,10
2023-09-27T05:55:13,0,10,0,10
2023-09-27T06:08:18,0,10,0,10
2023-09-27T06:21:24,0,10,0,10
2023-09-27T06:34:30,0,10,0,10
2023-09-27T06:47:36,0,10,0,10
2023-09-27T07:00:44,0,10,0,10
2023-09-27T07:13:51,0,10,0,10
2023-09-27T07:26:56,0,10,0,10
2023-09-27T07:39:59,0,10,0,10
2023-09-27T07:53:03,0,10,0,10
2023-09-27T08:06:07,0,10,0,10
2023-09-27T08:19:20,0,10,0,10
2023-09-27T08:32:24,0,10,0,10
2023-09-27T08:45:27,0,10,0,10
2023-09-27T08:58:29,0,10,0,10
2023-09-27T09:11:34,0,10,0,10
2023-09-27T09:24:37,0,10,0,10
2023-09-27T09:37:39,0,10,0,10
2023-09-27T09:50:52,0,10,0,10
2023-09-27T10:03:54,0,10,0,10
2023-09-27T10:16:56,0,10,0,10
2023-09-27T10:30:01,0,10,0,10
2023-09-27T10:43:15,1,9,0,10
2023-09-27T10:56:18,1,9,0,10
2023-09-27T11:09:20,1,9,0,10
2023-09-27T11:22:34,1,9,0,10
2023-09-27T11:35:37,1,9,0,10
2023-09-27T11:48:40,1,9,0,10
2023-09-27T12:01:56,1,9,0,10
2023-09-27T12:14:58,1,9,0,10
2023-09-27T12:28:01,1,9,0,10
2023-09-27T12:41:05,1,9,0,10
2023-09-27T12:54:20,1,9,0,10
2023-09-27T13:07:22,1,9,0,10
2023-09-27T13:20:37,1,9,0,10
2023-09-27T13:33:41,1,9,0,10
2023-09-27T13:46:44,1,9,0,10
2023-09-27T13:59:57,1,9,0,10
2023-09-27T14:13:00,1,9,0,10
2023-09-27T14:26:03,1,9,0,10
2023-09-27T14:39:18,1,9,0,10
2023-09-27T14:52:21,1,9,0,10
2023-09-27T15:05:23,1,9,0,10
2023-09-27T15:18:26,1,9,0,10
2023-09-27T15:31:40,1,9,0,10
2023-09-27T15:44:44,1,9,0,10
2023-09-27T15:57:47,1,9,0,10
2023-09-27T16:11:00,1,9,0,10
2023-09-27T16:24:03,1,9,0,10
2023-09-27T16:37:05,1,9,0,10
2023-09-27T16:50:21,1,9,0,10
2023-09-27T17:03:25,1,9,0,10
2023-09-27T17:16:30,1,9,0,10
2023-09-27T17:29:46,1,9,0,10
2023-09-27T17:42:48,1,9,0,10
2023-09-27T17:55:50,1,9,0,10
2023-09-27T18:09:04,1,9,0,10
2023-09-27T18:22:07,1,9,0,10
2023-09-27T18:35:09,1,9,0,10
2023-09-27T18:48:22,1,9,0,10
2023-09-27T19:01:24,1,9,0,10
2023-09-27T19:14:28,1,9,0,10
2023-09-27T19:27:35,1,9,0,10
2023-09-27T19:40:48,1,9,0,10
2023-09-27T19:53:51,1,9,0,10
2023-09-27T20:06:53,1,9,0,10
2023-09-27T20:20:07,1,9,0,10
2023-09-27T20:33:09,1,9,0,10
2023-09-27T20:46:11,1,9,0,10
2023-09-27T20:59:26,1,9,0,10
2023-09-27T21:12:29,1,9,0,10
2023-09-27T21:25:32,1,9,0,10
2023-09-27T21:38:45,1,9,0,10
2023-09-27T21:51:48,1,9,0,10
2023-09-27T22:05:03,1,9,0,10
2023-09-27T22:18:06,1,9,0,10
2023-09-27T22:31:09,1,9,0,10
2023-09-27T22:44:24,1,9,0,10
2023-09-27T22:57:26,1,9,0,10
2023-09-27T23:10:30,1,9,0,10
2023-09-27T23:23:45,1,9,0,10
2023-09-27T23:36:52,1,9,0,10
2023-09-27T23:49:56,1,9,0,10
2023-09-28T00:04:25,1,9,0,10
2023-09-28T00:17:38,1,9,0,10
2023-09-28T00:30:47,1,9,0,10
2023-09-28T00:43:54,1,9,0,10
2023-09-28T00:57:12,1,9,0,10
2023-09-28T01:10:18,1,9,0,10
2023-09-28T01:23:23,1,9,0,10
2023-09-28T01:36:29,1,9,0,10
2023-09-28T01:49:35,1,9,0,10
2023-09-28T02:02:44,1,9,0,10
2023-09-28T02:16:01,1,9,0,10
2023-09-28T02:29:06,1,9,0,10
2023-09-28T02:42:13,1,9,0,10
2023-09-28T02:55:18,1,9,0,10
2023-09-28T03:08:21,1,9,0,10
2023-09-28T03:21:29,1,9,0,10
2023-09-28T03:34:35,1,9,0,10
2023-09-28T03:47:40,1,9,0,10
2023-09-28T04:00:48,1,9,0,10
2023-09-28T04:27:49,1,9,0,10
2023-09-28T04:41:17,1,9,0,10
2023-09-28T04:54:25,1,9,0,10
2023-09-28T05:07:32,1,9,0,10
2023-09-28T05:20:39,1,9,0,10
2023-09-28T05:33:45,1,9,0,10
2023-09-28T05:46:52,1,9,0,10
