time,enrolled,available,waitlisted,total
2023-07-11T15:01:29,0,0,0,0
2023-07-11T15:13:53,0,0,0,0
2023-07-11T15:26:18,0,0,0,0
2023-07-11T15:38:43,0,0,0,0
2023-07-11T15:51:08,0,0,0,0
2023-07-11T16:03:32,0,0,0,0
2023-07-11T16:15:57,0,0,0,0
2023-07-11T16:28:22,0,0,0,0
2023-07-11T16:40:47,0,0,0,0
2023-07-11T16:53:13,0,0,0,0
2023-07-11T17:05:39,0,0,0,0
2023-07-11T17:18:04,0,0,0,0
2023-07-11T17:30:29,0,0,0,0
2023-07-11T17:42:53,0,0,0,0
2023-07-11T17:55:29,0,0,0,0
2023-07-11T18:07:54,0,0,0,0
2023-07-11T18:20:19,0,0,0,0
2023-07-11T18:32:43,0,0,0,0
2023-07-11T18:45:08,0,0,0,0
2023-07-11T18:57:32,0,0,0,0
2023-07-11T19:09:57,0,0,0,0
2023-07-11T19:22:22,0,0,0,0
2023-07-11T19:34:47,0,0,0,0
2023-07-11T19:47:12,0,0,0,0
2023-07-11T19:59:37,0,0,0,0
2023-07-11T20:12:02,0,0,0,0
2023-07-11T20:24:26,0,0,0,0
2023-07-11T20:36:51,0,0,0,0
2023-07-11T20:49:16,0,0,0,0
2023-07-11T21:01:40,0,0,0,0
2023-07-11T21:14:16,0,0,0,0
2023-07-11T21:26:41,0,0,0,0
2023-07-11T21:39:06,0,0,0,0
2023-07-11T21:51:31,0,0,0,0
2023-07-11T22:03:57,0,0,0,0
2023-07-11T22:16:22,0,0,0,0
2023-07-11T22:28:48,0,0,0,0
2023-07-11T22:41:13,0,0,0,0
2023-07-11T22:53:38,0,0,0,0
2023-07-11T23:06:03,0,0,0,0
2023-07-11T23:18:29,0,0,0,0
2023-07-11T23:30:56,0,0,0,0
2023-07-11T23:43:21,0,0,0,0
2023-07-11T23:55:47,0,0,0,0
2023-07-12T00:08:13,0,0,0,0
2023-07-12T00:20:44,0,0,0,0
2023-07-12T00:33:11,0,0,0,0
2023-07-12T00:45:50,0,0,0,0
2023-07-12T00:58:20,0,0,0,0
2023-07-12T01:10:49,0,0,0,0
2023-07-12T01:23:17,0,0,0,0
2023-07-12T01:35:47,0,0,0,0
2023-07-12T01:48:17,0,0,0,0
2023-07-12T02:00:46,0,0,0,0
2023-07-12T02:13:38,0,0,0,0
2023-07-12T02:26:07,0,0,0,0
2023-07-12T02:38:37,0,0,0,0
2023-07-12T02:51:07,0,0,0,0
2023-07-12T03:03:35,0,0,0,0
2023-07-12T03:16:04,0,0,0,0
2023-07-12T03:28:32,0,0,0,0
2023-07-12T03:41:00,0,0,0,0
2023-07-12T03:53:28,0,0,0,0
2023-07-12T04:05:56,0,0,0,0
2023-07-12T04:18:24,0,0,0,0
2023-07-12T04:40:51,0,0,0,0
2023-07-12T04:53:38,0,0,0,0
2023-07-12T05:06:07,0,0,0,0
2023-07-12T05:18:35,0,0,0,0
2023-07-12T05:31:03,0,0,0,0
2023-07-12T05:43:31,0,0,0,0
2023-07-12T05:56:03,0,0,0,0
2023-07-12T06:08:31,0,0,0,0
2023-07-12T06:20:59,0,0,0,0
2023-07-12T06:33:27,0,0,0,0
2023-07-12T06:45:54,0,0,0,0
2023-07-12T06:58:23,0,0,0,0
2023-07-12T07:10:53,0,0,0,0
2023-07-12T07:23:20,0,0,0,0
2023-07-12T07:35:46,0,0,0,0
2023-07-12T07:48:12,0,0,0,0
2023-07-12T08:00:36,0,0,0,0
2023-07-12T08:13:01,0,0,0,0
2023-07-12T08:25:27,0,0,0,0
2023-07-12T08:37:52,0,0,0,0
2023-07-12T08:50:17,0,0,0,0
2023-07-12T09:02:41,0,0,0,0
2023-07-12T09:15:16,0,0,0,0
2023-07-12T09:27:40,0,0,0,0
2023-07-12T09:40:05,0,0,0,0
2023-07-12T09:52:30,0,0,0,0
2023-07-12T10:04:54,0,0,0,0
2023-07-12T10:17:19,0,0,0,0
2023-07-12T10:29:44,0,0,0,0
2023-07-12T10:42:09,0,0,0,0
2023-07-12T10:54:33,0,0,0,0
2023-07-12T11:06:58,0,0,0,0
2023-07-12T11:19:23,0,0,0,0
2023-07-12T11:31:48,0,0,0,0
2023-07-12T11:44:24,0,0,0,0
2023-07-12T11:56:49,0,0,0,0
2023-07-12T12:09:13,0,0,0,0
2023-07-12T12:21:39,0,0,0,0
2023-07-12T12:34:04,0,0,0,0
2023-07-12T12:46:29,0,0,0,0
2023-07-12T12:58:53,0,0,0,0
2023-07-12T13:11:18,0,0,0,0
2023-07-12T13:23:43,0,0,0,0
2023-07-12T13:36:08,0,0,0,0
2023-07-12T13:48:33,0,0,0,0
2023-07-12T14:01:17,0,0,0,0
2023-07-12T14:13:42,0,0,0,0
2023-07-12T14:26:06,0,0,0,0
2023-07-12T14:38:31,0,0,0,0
2023-07-12T14:50:56,0,0,0,0
2023-07-12T15:03:21,0,0,0,0
2023-07-12T15:15:46,0,0,0,0
2023-07-12T15:28:11,0,0,0,0
2023-07-12T15:40:37,0,0,0,0
2023-07-12T15:53:02,0,0,0,0
2023-07-12T16:05:27,0,0,0,0
2023-07-12T16:17:52,0,0,0,0
2023-07-12T16:30:27,0,0,0,0
2023-07-12T16:42:52,0,0,0,0
2023-07-12T16:55:16,0,0,0,0
2023-07-12T17:07:42,0,0,0,0
2023-07-12T17:20:07,0,0,0,0
2023-07-12T17:32:31,0,0,0,0
2023-07-12T17:44:56,0,0,0,0
2023-07-12T17:57:20,0,0,0,0
2023-07-12T18:09:45,0,0,0,0
2023-07-12T18:22:09,0,0,0,0
2023-07-12T18:34:33,0,0,0,0
2023-07-12T18:46:57,0,0,0,0
2023-07-12T18:59:21,0,0,0,0
2023-07-12T19:11:46,0,0,0,0
2023-07-12T19:24:10,0,0,0,0
2023-07-12T19:36:48,0,0,0,0
2023-07-12T19:49:13,0,0,0,0
2023-07-12T20:01:37,0,0,0,0
2023-07-12T20:14:02,0,0,0,0
2023-07-12T20:26:26,0,0,0,0
2023-07-12T20:38:51,0,0,0,0
2023-07-12T20:51:15,0,0,0,0
2023-07-12T21:03:39,0,0,0,0
2023-07-12T21:16:04,0,0,0,0
2023-07-12T21:28:29,0,0,0,0
2023-07-12T21:40:53,0,0,0,0
2023-07-12T21:53:18,0,0,0,0
2023-07-12T22:05:42,0,0,0,0
2023-07-12T22:18:07,0,0,0,0
2023-07-12T22:30:32,0,0,0,0
2023-07-12T22:42:57,0,0,0,0
2023-07-12T22:55:22,0,0,0,0
2023-07-12T23:07:47,0,0,0,0
2023-07-12T23:20:32,0,0,0,0
2023-07-12T23:32:56,0,0,0,0
2023-07-12T23:45:21,0,0,0,0
2023-07-12T23:57:46,0,0,0,0
2023-07-13T00:10:13,0,0,0,0
2023-07-13T00:22:44,0,0,0,0
2023-07-13T00:35:11,0,0,0,0
2023-07-13T00:47:40,0,0,0,0
2023-07-13T01:00:10,0,0,0,0
2023-07-13T01:12:38,0,0,0,0
2023-07-13T01:25:05,0,0,0,0
2023-07-13T01:37:34,0,0,0,0
2023-07-13T01:50:03,0,0,0,0
2023-07-13T02:02:30,0,0,0,0
2023-07-13T02:14:57,0,0,0,0
2023-07-13T02:27:23,0,0,0,0
2023-07-13T02:39:49,0,0,0,0
2023-07-13T02:52:14,0,0,0,0
2023-07-13T03:04:39,0,0,0,0
2023-07-13T03:17:04,0,0,0,0
2023-07-13T03:29:28,0,0,0,0
2023-07-13T03:41:53,0,0,0,0
2023-07-13T03:54:17,0,0,0,0
2023-07-13T04:06:41,0,0,0,0
2023-07-13T04:39:00,0,0,0,0
2023-07-13T04:51:26,0,0,0,0
2023-07-13T05:03:53,0,0,0,0
2023-07-13T05:16:18,0,0,0,0
2023-07-13T05:28:42,0,0,0,0
2023-07-13T05:41:08,0,0,0,0
2023-07-13T05:53:37,0,0,0,0
2023-07-13T06:06:10,0,0,0,0
2023-07-13T06:18:39,0,0,0,0
2023-07-13T06:31:10,0,0,0,0
2023-07-13T06:43:42,0,0,0,0
2023-07-13T06:56:11,0,0,0,0
2023-07-13T07:08:41,0,0,0,0
2023-07-13T07:21:10,0,0,0,0
2023-07-13T07:33:38,0,0,0,0
2023-07-13T07:46:05,0,0,0,0
2023-07-13T07:58:34,0,0,0,0
2023-07-13T08:11:02,0,0,0,0
2023-07-13T08:23:30,0,0,0,0
2023-07-13T08:35:58,0,0,0,0
2023-07-13T08:48:25,0,0,0,0
2023-07-13T09:00:51,0,0,0,0
2023-07-13T09:13:17,0,0,0,0
2023-07-13T09:26:03,0,0,0,0
2023-07-13T09:38:29,0,0,0,0
2023-07-13T09:50:55,0,0,0,0
2023-07-13T10:03:21,0,0,0,0
2023-07-13T10:15:47,0,0,0,0
2023-07-13T10:28:13,0,0,0,0
2023-07-13T10:40:39,0,0,0,0
2023-07-13T10:53:05,0,0,0,0
2023-07-13T11:05:31,0,0,0,0
2023-07-13T11:18:08,0,0,0,0
2023-07-13T11:30:34,0,0,0,0
2023-07-13T11:43:00,0,0,0,0
2023-07-13T11:55:26,0,0,0,0
2023-07-13T12:07:52,0,0,0,0
2023-07-13T12:20:16,0,0,0,0
2023-07-13T12:32:41,0,0,0,0
2023-07-13T12:45:05,0,0,0,0
2023-07-13T12:57:30,0,0,0,0
2023-07-13T13:09:55,0,0,0,0
2023-07-13T13:22:19,0,0,0,0
2023-07-13T13:34:44,0,0,0,0
2023-07-13T13:47:19,0,0,0,0
2023-07-13T13:59:43,0,0,0,0
2023-07-13T14:12:07,0,0,0,0
2023-07-13T14:24:32,0,0,0,0
2023-07-13T14:36:57,0,0,0,0
2023-07-13T14:49:21,0,0,0,0
2023-07-13T15:01:46,0,0,0,0
2023-07-13T15:14:10,0,0,0,0
2023-07-13T15:26:34,0,0,0,0
2023-07-13T15:38:58,0,0,0,0
2023-07-13T15:51:23,0,0,0,0
2023-07-13T16:03:58,0,0,0,0
2023-07-13T16:16:22,0,0,0,0
2023-07-13T16:28:46,0,0,0,0
2023-07-13T16:41:11,0,0,0,0
2023-07-13T16:53:36,0,0,0,0
2023-07-13T17:06:00,0,0,0,0
2023-07-13T17:18:26,0,0,0,0
2023-07-13T17:30:50,0,0,0,0
2023-07-13T17:43:14,0,0,0,0
2023-07-13T17:55:39,0,0,0,0
2023-07-13T18:08:03,0,0,0,0
2023-07-13T18:20:27,0,0,0,0
2023-07-13T18:32:51,0,0,0,0
2023-07-13T18:45:16,0,0,0,0
2023-07-13T18:57:40,0,0,0,0
2023-07-13T19:10:23,0,0,0,0
2023-07-13T19:22:48,0,0,0,0
2023-07-13T19:35:12,0,0,0,0
2023-07-13T19:47:36,0,0,0,0
2023-07-13T20:00:01,0,0,0,0
2023-07-13T20:12:25,0,0,0,0
2023-07-13T20:24:50,0,0,0,0
2023-07-13T20:37:14,0,0,0,0
2023-07-13T20:49:39,0,0,0,0
2023-07-13T21:02:04,0,0,0,0
2023-07-13T21:14:28,0,0,0,0
2023-07-13T21:26:53,0,0,0,0
2023-07-13T21:39:17,0,0,0,0
2023-07-13T21:51:42,0,0,0,0
2023-07-13T22:04:06,0,0,0,0
2023-07-13T22:16:30,0,0,0,0
2023-07-13T22:28:54,0,0,0,0
2023-07-13T22:41:19,0,0,0,0
2023-07-13T22:53:54,0,0,0,0
2023-07-13T23:06:19,0,0,0,0
2023-07-13T23:18:44,0,0,0,0
2023-07-13T23:31:09,0,0,0,0
2023-07-13T23:43:34,0,0,0,0
2023-07-13T23:55:59,0,0,0,0
2023-07-14T00:08:25,0,0,0,0
2023-07-14T00:20:55,0,0,0,0
2023-07-14T00:33:23,0,0,0,0
2023-07-14T00:45:52,0,0,0,0
2023-07-14T00:58:21,0,0,0,0
2023-07-14T01:10:49,0,0,0,0
2023-07-14T01:23:18,0,0,0,0
2023-07-14T01:35:47,0,0,0,0
2023-07-14T01:48:18,0,0,0,0
2023-07-14T02:00:47,0,0,0,0
2023-07-14T02:13:27,0,0,0,0
2023-07-14T02:25:57,0,0,0,0
2023-07-14T02:38:29,0,0,0,0
2023-07-14T02:50:59,0,0,0,0
2023-07-14T03:03:27,0,0,0,0
2023-07-14T03:15:55,0,0,0,0
2023-07-14T03:28:23,0,0,0,0
2023-07-14T03:40:50,0,0,0,0
2023-07-14T03:53:18,0,0,0,0
2023-07-14T04:05:46,0,0,0,0
2023-07-14T04:33:09,0,0,0,0
2023-07-14T04:46:51,0,0,0,0
2023-07-14T04:59:36,0,0,0,0
2023-07-14T05:12:05,0,0,0,0
2023-07-14T05:24:32,0,0,0,0
2023-07-14T05:37:00,0,0,0,0
2023-07-14T05:49:28,0,0,0,0
2023-07-14T06:01:56,0,0,0,0
2023-07-14T06:14:24,0,0,0,0
2023-07-14T06:26:51,0,0,0,0
2023-07-14T06:39:20,0,0,0,0
2023-07-14T06:51:48,0,0,0,0
2023-07-14T07:04:17,0,0,0,0
2023-07-14T07:16:44,0,0,0,0
2023-07-14T07:29:11,0,0,0,0
2023-07-14T07:41:36,0,0,0,0
2023-07-14T07:54:00,0,0,0,0
2023-07-14T08:06:25,0,0,0,0
2023-07-14T08:18:51,0,0,0,0
2023-07-14T08:31:17,0,0,0,0
2023-07-14T08:43:42,0,0,0,0
2023-07-14T08:56:07,0,0,0,0
2023-07-14T09:08:32,0,0,0,0
2023-07-14T09:20:56,0,0,0,0
2023-07-14T09:33:21,0,0,0,0
2023-07-14T09:45:46,0,0,0,0
2023-07-14T09:58:21,0,0,0,0
2023-07-14T10:10:46,0,0,0,0
2023-07-14T10:23:11,0,0,0,0
2023-07-14T10:35:36,0,0,0,0
2023-07-14T10:48:00,0,0,0,0
2023-07-14T11:00:25,0,0,0,0
2023-07-14T11:12:51,0,0,0,0
2023-07-14T11:25:16,0,0,0,0
2023-07-14T11:37:42,0,0,0,0
2023-07-14T11:50:07,0,0,0,0
2023-07-14T12:02:33,0,0,0,0
2023-07-14T12:14:58,0,0,0,0
