time,enrolled,available,waitlisted,total
2023-08-15T13:14:56,0,0,0,0
2023-08-15T13:27:35,0,0,0,0
2023-08-15T13:40:24,0,15,0,15
2023-08-15T13:53:03,0,15,0,15
2023-08-15T14:05:42,0,15,0,15
2023-08-15T14:18:21,0,15,0,15
2023-08-15T14:31:02,0,15,0,15
2023-08-15T14:43:40,0,15,0,15
2023-08-15T14:56:19,0,15,0,15
2023-08-15T15:08:59,0,15,0,15
2023-08-15T15:21:47,0,15,0,15
2023-08-15T15:34:26,0,15,0,15
2023-08-15T15:47:05,0,15,0,15
2023-08-15T15:59:45,0,15,0,15
2023-08-15T16:12:24,0,15,0,15
2023-08-15T16:25:04,0,15,0,15
2023-08-15T16:37:43,0,15,0,15
2023-08-15T16:50:22,0,15,0,15
2023-08-15T17:03:13,0,15,0,15
2023-08-15T17:15:53,0,15,0,15
2023-08-15T17:28:32,0,15,0,15
2023-08-15T17:41:11,0,15,0,15
2023-08-15T17:53:49,0,15,0,15
2023-08-15T18:06:28,0,15,0,15
2023-08-15T18:19:07,0,15,0,15
2023-08-15T18:31:46,1,14,0,15
2023-08-15T18:44:24,1,14,0,15
2023-08-15T18:57:12,1,14,0,15
2023-08-15T19:09:51,1,14,0,15
2023-08-15T19:22:30,1,14,0,15
2023-08-15T19:35:09,1,14,0,15
2023-08-15T19:47:48,1,14,0,15
2023-08-15T20:00:27,1,14,0,15
2023-08-15T20:13:05,1,14,0,15
2023-08-15T20:25:44,1,14,0,15
2023-08-15T20:38:22,1,14,0,15
2023-08-15T20:51:01,1,14,0,15
2023-08-15T21:03:49,1,14,0,15
2023-08-15T21:16:28,1,14,0,15
2023-08-15T21:29:06,1,14,0,15
2023-08-15T21:41:44,1,14,0,15
2023-08-15T21:54:23,1,14,0,15
2023-08-15T22:07:02,1,14,0,15
2023-08-15T22:19:41,1,14,0,15
2023-08-15T22:32:20,1,14,0,15
2023-08-15T22:44:58,1,14,0,15
2023-08-15T22:57:48,1,14,0,15
2023-08-15T23:10:28,1,14,0,15
2023-08-15T23:23:07,1,14,0,15
2023-08-15T23:35:46,1,14,0,15
2023-08-15T23:48:26,1,14,0,15
2023-08-16T00:01:05,1,14,0,15
2023-08-16T00:13:48,1,14,0,15
2023-08-16T00:26:31,1,14,0,15
2023-08-16T00:39:13,1,14,0,15
2023-08-16T00:51:57,1,14,0,15
2023-08-16T01:04:51,1,14,0,15
2023-08-16T01:17:34,1,14,0,15
2023-08-16T01:30:17,1,14,0,15
2023-08-16T01:43:01,1,14,0,15
2023-08-16T01:55:45,1,14,0,15
2023-08-16T02:08:36,1,14,0,15
2023-08-16T02:21:16,1,14,0,15
2023-08-16T02:33:55,1,14,0,15
2023-08-16T02:46:35,1,14,0,15
2023-08-16T02:59:25,1,14,0,15
2023-08-16T03:12:05,1,14,0,15
2023-08-16T03:24:43,1,14,0,15
2023-08-16T03:37:23,1,14,0,15
2023-08-16T03:50:04,1,14,0,15
2023-08-16T04:02:46,1,14,0,15
